symbol,type,direction,signal_index,entry_index,entry_price,sl_price,sl_dist_pct,exit_price,max_roe_pct,net_pnl_pct,sl_hit,label
ADAUSDT,TREND,SELL,19,20,0.6477,0.6704,3.5,0.6348,8.646,1.992,False,win
ADAUSDT,TREND,BUY,488,489,0.6827,0.6355,6.907,0.6413,0.161,-6.064,False,lose
ADAUSDT,TREND,SELL,528,529,0.6413,0.6637,3.5,0.6418,5.738,-0.078,False,win
ADAUSDT,TREND,BUY,680,681,0.6418,0.6296,1.908,0.6646,8.024,3.553,False,win
ADAUSDT,TREND,SELL,1116,1117,0.6646,0.6879,3.5,0.5474,26.362,17.635,False,win
ADAUSDT,TREND,SELL,2031,2032,0.5247,0.5431,3.5,0.5667,0.724,-3.5,True,lose
ADAUSDT,TREND,BUY,2125,2126,0.5667,0.5184,8.519,0.5605,4.606,-1.094,False,win
ADAUSDT,TREND,SELL,2233,2234,0.5605,0.5801,3.5,0.5772,2.302,-2.979,False,win
ADAUSDT,TREND,BUY,2317,2318,0.5772,0.557,3.5,0.5702,5.128,-1.213,False,win
ADAUSDT,TREND,SELL,2514,2515,0.5702,0.5902,3.5,0.5798,3.139,-1.684,False,win
ADAUSDT,TREND,BUY,2594,2595,0.5798,0.5595,3.5,0.5448,0.052,-3.5,True,lose
ADAUSDT,TREND,SELL,2606,2607,0.5448,0.5814,6.713,0.5632,1.083,-3.377,False,lose
ADAUSDT,TREND,BUY,2683,2684,0.5632,0.5435,3.5,0.529,0.959,-3.5,True,lose
ADAUSDT,TREND,SELL,2705,2706,0.529,0.5724,8.196,0.4141,26.749,21.72,False,win
ADAUSDT,TREND,SELL,4087,4088,0.4242,0.4396,3.621,0.3935,12.659,7.237,False,win
ADAUSDT,TREND,BUY,4505,4506,0.3935,0.3845,2.281,0.4307,15.807,9.454,False,win
ADAUSDT,TREND,SELL,4784,4785,0.4307,0.4433,2.917,0.4338,5.921,-0.72,False,win
ADAUSDT,TREND,BUY,5011,5012,0.4338,0.4046,6.733,0.4469,11.503,3.02,False,win
ADAUSDT,TREND,SELL,5324,5325,0.4469,0.4625,3.5,0.3657,22.511,18.17,False,win
ADAUSDT,TREND,BUY,6129,6130,0.3657,0.3529,3.5,0.3678,4.156,0.574,False,win
ADAUSDT,TREND,SELL,6292,6293,0.3678,0.3807,3.5,0.3741,2.855,-1.713,False,win
ADAUSDT,TREND,SELL,6514,6515,0.3638,0.3765,3.5,0.3566,6.844,1.979,False,win
ADAUSDT,TREND,BUY,6906,6907,0.357,0.3445,3.5,0.3634,5.686,1.793,False,win
ADAUSDT,TREND,SELL,7036,7037,0.3634,0.3761,3.5,0.3766,0.413,-3.5,True,lose
ADAUSDT,TREND,SELL,7105,7106,0.3639,0.3766,3.5,0.3461,9.975,4.891,False,win
ADAUSDT,TREND,BUY,7400,7401,0.3461,0.334,3.5,0.4116,26.351,18.925,False,win
ADAUSDT,TREND,SELL,7931,7932,0.4116,0.4226,2.681,0.4018,0.559,-2.681,True,lose
ADAUSDT,TREND,SELL,8449,8450,0.3822,0.3956,3.5,0.4061,0.262,-3.5,True,lose
ADAUSDT,TREND,BUY,8553,8554,0.4061,0.3919,3.5,0.3999,5.171,-1.527,False,win
ADAUSDT,TREND,SELL,8696,8697,0.3999,0.4139,3.5,0.3944,5.426,1.375,False,win
ADAUSDT,TREND,BUY,8889,8890,0.3944,0.3927,0.428,0.3918,2.485,-0.428,True,lose
ADAUSDT,TREND,SELL,9041,9042,0.3918,0.4055,3.5,0.3684,12.94,5.972,False,win
ADAUSDT,TREND,SELL,9508,9509,0.3544,0.3668,3.5,0.3521,0.621,-3.5,True,lose
ADAUSDT,TREND,BUY,9802,9803,0.3521,0.3442,2.249,0.3501,3.635,-0.568,False,win
ADAUSDT,TREND,SELL,10046,10047,0.3501,0.3624,3.5,0.3004,23.222,14.196,False,win
ADAUSDT,TREND,SELL,10664,10665,0.2862,0.2962,3.5,0.2769,22.991,3.249,False,win
ADAUSDT,TREND,BUY,10858,10859,0.2769,0.2672,3.5,0.2637,2.6,-3.5,True,lose
ADAUSDT,TREND,SELL,11122,11123,0.2637,0.2729,3.5,0.2654,1.631,-3.5,True,lose
ADAUSDT,TREND,SELL,11720,11721,0.2844,0.3022,6.242,0.2888,6.153,-1.547,False,win
ADAUSDT,TREND,BUY,12201,12202,0.2888,0.2692,6.788,0.2756,1.697,-4.571,False,lose
ADAUSDT,TREND,SELL,12350,12351,0.2756,0.2852,3.5,0.2736,6.785,0.726,False,win
ADAUSDT,TREND,BUY,12477,12478,0.2736,0.264,3.5,0.2608,0.183,-3.5,True,lose
ADAUSDT,TREND,BUY,12627,12628,0.2706,0.257,5.021,0.2833,15.817,4.693,False,win
ADAUSDT,TREND,SELL,12786,12787,0.2833,0.2932,3.5,0.2781,0.176,-3.5,True,lose
ADAUSDT,TREND,BUY,12993,12994,0.2781,0.2684,3.5,0.2709,5.07,-2.589,False,win
ADAUSDT,TREND,SELL,13082,13083,0.2709,0.2804,3.5,0.288,0.738,-3.5,True,lose
ADAUSDT,TREND,BUY,13162,13163,0.288,0.2779,3.5,0.269,0.174,-3.5,True,lose
ADAUSDT,TREND,SELL,13221,13222,0.269,0.2784,3.5,0.2728,4.015,-1.413,False,win
ADAUSDT,TREND,BUY,13347,13348,0.2728,0.2633,3.5,0.269,4.472,-1.393,False,win
ADAUSDT,TREND,BUY,14156,14157,0.2699,0.2605,3.5,0.2652,4.261,-1.741,False,win
ADAUSDT,TREND,SELL,14247,14248,0.2652,0.2745,3.5,0.2653,2.715,-0.038,False,win
ADAUSDT,TREND,BUY,14366,14367,0.2653,0.256,3.5,0.2762,11.383,4.109,False,win
ADAUSDT,TREND,SELL,14684,14685,0.2762,0.2959,7.148,0.26,10.391,5.865,False,win
ADAUSDT,TREND,BUY,15166,15167,0.26,0.2471,4.95,0.2622,6.462,0.846,False,win
ADAUSDT,TREND,SELL,15425,15426,0.2622,0.2714,3.5,0.2509,11.365,4.31,False,win
ADAUSDT,TREND,BUY,15820,15821,0.2509,0.2421,3.5,0.2405,0.757,-3.5,True,lose
ADAUSDT,TREND,SELL,15922,15923,0.2405,0.2489,3.5,0.2527,2.62,-3.5,True,lose
ADAUSDT,TREND,SELL,16089,16090,0.2389,0.2473,3.5,0.2439,1.8,-2.093,False,lose
ADAUSDT,TREND,BUY,16203,16204,0.2439,0.2354,3.5,0.2423,3.034,-0.656,False,win
ADAUSDT,TREND,BUY,16643,16644,0.2549,0.246,3.5,0.2517,4.472,-1.255,False,win
ADAUSDT,TREND,SELL,16732,16733,0.2517,0.2605,3.5,0.2568,1.748,-2.026,False,lose
ADAUSDT,TREND,BUY,16832,16833,0.2568,0.2483,3.299,0.2503,1.674,-2.531,False,lose
ADAUSDT,TREND,BUY,17221,17222,0.2473,0.2369,4.188,0.2401,0.89,-2.911,False,lose
ADAUSDT,TREND,SELL,18095,18096,0.247,0.2556,3.5,0.2504,1.053,-1.377,False,lose
ADAUSDT,TREND,BUY,18245,18246,0.2504,0.2416,3.5,0.2486,1.358,-0.719,False,lose
ADAUSDT,TREND,SELL,18503,18504,0.2472,0.2565,3.756,0.2496,1.78,-0.971,False,lose
ADAUSDT,TREND,BUY,18874,18875,0.2494,0.2447,1.872,0.261,9.743,4.651,False,win
