symbol,trend_trades,trend_wins,trend_wr,trend_pnl,fade_trades,fade_wins,fade_wr,fade_pnl,dual_trades,dual_wins,dual_wr,dual_pnl
ADAUSDT,98,63,64.3,133.0,21,14,66.7,46.7,119,77,64.7,179.8
AVAXUSDT,81,53,65.4,-2.4,27,21,77.8,50.9,108,74,68.5,48.5
BNBUSDT,35,24,68.6,23.4,25,11,44.0,39.4,60,35,58.3,62.8
BTCUSDT,41,28,68.3,14.4,23,8,34.8,9.3,64,36,56.2,23.7
DOGEUSDT,75,50,66.7,10.2,22,9,40.9,1.3,97,59,60.8,11.6
ETHUSDT,63,45,71.4,57.9,21,15,71.4,56.1,84,60,71.4,114.0
LINKUSDT,82,54,65.9,30.1,25,20,80.0,60.2,107,74,69.2,90.3
NEARUSDT,102,56,54.9,42.9,16,10,62.5,25.6,118,66,55.9,68.5
SOLUSDT,75,44,58.7,-33.9,32,16,50.0,31.7,107,60,56.1,-2.2
XRPUSDT,62,34,54.8,-10.6,27,19,70.4,55.7,89,53,59.6,45.2
