symbol,rev_direction,entry_price,rev_max_roe_pct,rev_max_sl_pct,duration_bars,atr_pct,strong_breakout_loss,sideway_stuck_loss
ADAUSDT,BUY,0.269,1.041,8.699,377,0.632,True,False
ADAUSDT,SELL,0.2592,1.813,5.826,238,0.772,True,False
ADAUSDT,SELL,0.2465,1.217,8.682,254,0.568,True,False
ADAUSDT,BUY,0.2527,0.198,4.749,267,0.514,True,False
ADAUSDT,BUY,0.2607,0.69,6.022,637,0.46,True,False
AVAXUSDT,BUY,12.254,1.959,0.816,84,0.417,False,False
AVAXUSDT,BUY,12.568,1.321,3.016,302,0.549,True,False
AVAXUSDT,BUY,14.11,0.907,3.756,402,0.548,True,False
AVAXUSDT,BUY,13.57,1.356,12.587,333,0.217,True,False
AVAXUSDT,SELL,9.301,1.484,4.0,215,0.502,True,False
AVAXUSDT,BUY,9.309,1.794,1.794,177,0.491,False,False
AVAXUSDT,SELL,9.432,1.633,0.7,85,0.339,False,False
AVAXUSDT,BUY,9.299,1.699,0.194,64,0.272,False,False
AVAXUSDT,BUY,9.242,1.212,1.796,187,0.48,False,False
AVAXUSDT,SELL,9.174,1.711,0.774,130,0.334,False,False
AVAXUSDT,SELL,9.255,1.243,3.717,215,0.364,True,False
AVAXUSDT,SELL,6.683,1.9,6.419,376,0.572,True,False
AVAXUSDT,BUY,6.601,0.803,3.575,160,0.388,True,False
AVAXUSDT,SELL,6.539,1.254,2.233,174,0.45,False,False
AVAXUSDT,SELL,6.515,1.335,0.982,136,0.362,False,False
AVAXUSDT,BUY,6.48,1.682,0.108,19,0.196,False,False
BNBUSDT,BUY,883.61,1.408,4.849,216,0.349,True,False
BNBUSDT,BUY,849.27,0.5,1.639,173,0.25,False,True
BNBUSDT,SELL,846.5,1.317,0.214,38,0.171,False,False
BNBUSDT,BUY,838.2,1.11,2.051,182,0.17,False,False
BNBUSDT,SELL,841.8,0.513,3.677,207,0.169,True,False
BNBUSDT,BUY,848.05,1.96,0.196,115,0.311,False,False
BNBUSDT,BUY,902.0,0.373,2.993,228,0.353,False,False
BNBUSDT,SELL,899.78,0.123,2.025,175,0.2,False,False
BNBUSDT,BUY,901.37,1.588,0.811,170,0.196,False,False
BNBUSDT,BUY,888.59,0.171,3.664,218,0.102,True,False
BNBUSDT,SELL,882.96,0.649,3.06,238,0.212,True,False
BNBUSDT,SELL,615.9,0.95,4.351,193,0.594,True,False
BNBUSDT,BUY,653.16,1.237,0.488,115,0.281,False,False
BNBUSDT,BUY,629.24,1.955,0.41,84,0.273,False,False
BNBUSDT,SELL,639.88,1.017,2.079,113,0.247,False,False
BNBUSDT,SELL,612.19,1.753,2.155,79,0.34,False,False
BNBUSDT,BUY,632.27,0.465,2.709,216,0.324,False,False
BNBUSDT,SELL,629.4,0.68,4.05,231,0.31,True,False
BNBUSDT,SELL,635.57,1.611,0.757,44,0.156,False,False
BNBUSDT,BUY,626.41,0.557,1.221,206,0.299,False,True
BNBUSDT,BUY,616.75,1.041,1.047,186,0.274,False,False
BNBUSDT,BUY,616.07,0.997,0.174,59,0.116,False,True
BNBUSDT,SELL,648.15,0.455,1.308,131,0.274,False,True
BNBUSDT,SELL,653.26,0.499,3.1,219,0.219,True,False
BNBUSDT,BUY,657.93,1.607,4.485,383,0.255,True,False
BNBUSDT,BUY,605.57,1.21,5.76,359,0.423,True,False
BNBUSDT,SELL,561.02,1.962,0.216,48,0.348,False,False
BNBUSDT,BUY,550.35,1.067,2.369,140,0.217,False,False
BNBUSDT,BUY,577.82,1.67,2.984,176,0.206,False,False
BNBUSDT,SELL,582.76,1.654,0.079,45,0.265,False,False
BNBUSDT,BUY,574.13,1.458,2.022,151,0.188,False,False
BNBUSDT,SELL,579.92,0.936,1.107,212,0.282,False,True
