symbol,direction,signal_index,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,duration_bars,label,atr_pct_of_price,trail_gap_pct,price_vs_trail2_pct,trend_age_bars,trend_age_bucket,candle_body_pct,is_bullish_candle,volume_ratio,high_volume,fvg_at_signal,fvg_direction,fvg_aligned,fvg_counter,recent_bullish_fvg_count,recent_bearish_fvg_count,fvg_aligned_window,fvg_counter_window,ob_at_signal,ob_bullish,ob_bearish,ob_aligned,ob_counter,price_inside_ob,recent_bull_bos,recent_bear_bos,recent_bull_choch,recent_bear_choch,bos_confirmed_direction,choch_confirmed_direction,bos_choch_any,recent_swing_high,recent_swing_low,swing_aligned,liq_at_signal,recent_bsl,recent_ssl,unswept_liq_against_trade,has_liq_trap,vsr_spike_at_signal,vsr_signal_strength,recent_vsr_spikes,vsr_active_zone,price_inside_vsr,vsr_zone_width_pct,atr_expansion,tight_trail_gap,wide_trail_gap
ADAUSDT,SELL,19,2025-10-16 18:15:00,0.6477,8.646,1.22,1.992,194,win,1.127,2.254,-5.311,0,fresh,17.6,False,0.47,False,False,none,False,False,0,5,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,False,False,0,0,0,False,False,0.38,0,False,False,0.0,True,False,True
ADAUSDT,BUY,213,2025-10-18 18:45:00,0.6348,6.411,2.001,1.008,231,win,0.457,0.898,1.717,0,fresh,50.0,False,0.58,False,False,none,False,False,2,2,False,False,False,False,False,False,False,False,0,1,0,0,False,False,True,0,1,True,False,0,1,0,False,False,0.21,0,True,True,1.56,False,False,False
ADAUSDT,SELL,444,2025-10-21 04:30:00,0.6412,0.733,6.862,-6.472,44,lose,0.577,1.154,-3.711,0,fresh,80.3,False,1.76,True,True,bearish,True,False,0,5,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.27,0,True,False,2.308,True,False,False
ADAUSDT,BUY,488,2025-10-21 15:30:00,0.6827,0.161,6.65,-6.064,40,lose,0.952,1.904,5.844,0,fresh,10.3,True,1.31,False,False,none,False,False,5,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,1,0,0,False,False,0.46,0,True,False,2.168,True,False,True
ADAUSDT,SELL,528,2025-10-22 01:30:00,0.6413,5.738,0.702,-0.078,152,win,0.78,1.544,-3.462,0,fresh,7.7,True,0.41,False,False,none,False,False,0,4,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.42,0,True,False,2.308,True,False,True
ADAUSDT,BUY,680,2025-10-23 15:30:00,0.6418,8.024,0.888,3.553,436,win,0.576,1.168,2.243,0,fresh,6.8,False,1.16,False,False,none,False,False,0,2,False,True,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,True,False,0,1,0,False,False,0.33,0,True,False,2.524,True,False,False
ADAUSDT,SELL,1116,2025-10-28 04:30:00,0.6646,26.362,1.595,17.635,825,win,0.542,1.084,-2.257,0,fresh,10.0,False,0.5,False,False,none,False,False,1,1,False,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.08,0,True,False,3.416,True,False,False
ADAUSDT,BUY,1941,2025-11-05 18:45:00,0.5474,0.183,5.663,-4.147,90,lose,0.712,1.443,3.27,0,fresh,20.9,True,0.79,False,False,none,False,False,1,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.29,0,True,False,4.421,True,False,False
ADAUSDT,SELL,2031,2025-11-06 17:15:00,0.5247,1.048,8.672,-8.005,94,lose,0.896,1.792,-3.355,0,fresh,44.4,True,0.77,False,False,none,False,False,2,3,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,False,False,0,1,0,False,False,1.07,0,True,False,4.613,True,False,True
ADAUSDT,BUY,2125,2025-11-07 16:45:00,0.5667,4.606,2.329,-1.094,108,win,1.164,2.329,7.022,0,fresh,35.6,True,2.01,True,False,none,False,False,3,2,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,True,False,0,0,0,False,False,0.06,0,True,True,4.27,True,False,True
