trade_idx,datetime,symbol,trade_type,direction,entry_price,exit_price,exit_reason,duration_bars,pos_size_usd,leverage_used,sl_pct,net_pnl_pct,pnl_usd,is_win,equity_after,drawdown_pct
1,2026-03-04 18:40:00,NEARUSDT,TREND,SELL,1.309,1.2828,TP,70,594.8839976204639,0.594883997620464,1.6810000000000003,1.9,11.302795954788813,True,1011.3027959547888,0.0
2,2026-03-05 00:20:00,ADAUSDT,TREND,SELL,0.2746,0.2691,TP,188,674.2018639698592,0.6666666666666666,1.5,1.9,12.809835415427326,True,1024.1126313702161,0.0
3,2026-03-05 00:50:00,RENDERUSDT,TREND,SELL,1.402,1.374,TP,175,682.7417542468108,0.6666666666666667,1.5,1.9,12.972093330689406,True,1037.0847247009056,0.0
4,2026-03-05 01:50:00,ARBUSDT,FADE,BUY,0.1027,0.1048,TP,104,691.3898164672704,0.6666666666666667,1.5,1.93,13.343823457818317,True,1050.428548158724,0.0
5,2026-03-05 01:55:00,ETHUSDT,FADE,BUY,2110.825,2153.0415,TP,85,700.2856987724828,0.6666666666666667,1.5,1.93,13.515513986308916,True,1063.9440621450328,0.0
6,2026-03-05 03:20:00,FETUSDT,FADE,BUY,0.1533,0.1564,TP,83,709.2960414300219,0.6666666666666666,1.5,1.93,13.68941359959942,True,1077.6334757446323,0.0
7,2026-03-05 03:30:00,INJUSDT,FADE,BUY,3.0568,3.118,TP,84,718.4223171630882,0.6666666666666667,1.5,1.93,13.865550721247601,True,1091.49902646588,0.0
8,2026-03-05 05:50:00,APTUSDT,FADE,BUY,0.9916,1.0115,TP,14,727.66601764392,0.6666666666666666,1.5,1.93,14.043954140527655,True,1105.5429806064076,0.0
9,2026-03-05 10:30:00,SOLUSDT,TREND,BUY,92.73,89.4756,SL,56,302.3914060739627,0.2735229759299781,3.656,-3.61,-10.916329759270052,False,1094.6266508471376,0.9874179431072123
10,2026-03-05 11:00:00,LINKUSDT,TREND,BUY,9.426,9.0961,SL,61,310.7968912115666,0.2839295854628052,3.5220000000000002,-3.6,-11.1886880836164,False,1083.4379627635212,1.999471592751772
11,2026-03-05 14:25:00,ARBUSDT,FADE,SELL,0.1052,0.1031,TP,13,722.2919751756809,0.6666666666666667,1.5,1.93,13.940235120890641,True,1097.378197884412,0.7385314605785019
12,2026-03-05 15:30:00,ETHUSDT,TREND,SELL,2074.12,2032.6376,TP,269,731.5854652562747,0.6666666666666667,1.5,1.9,13.900123839869218,True,1111.278321724281,0.0
13,2026-03-05 16:05:00,SEIUSDT,TREND,SELL,0.0667,0.0686,REVERSE_SIGNAL,135,370.302673017088,0.3332222592469177,3.001,-3.026,-11.205358885497082,False,1100.072962838784,1.00833055648118
14,2026-03-05 16:05:00,BNBUSDT,FADE,BUY,647.136,630.9576,SL,264,420.8389299306748,0.38255547054322875,2.614,-2.57,-10.815560499218341,False,1089.2574023395657,1.9815845368554754
15,2026-03-05 16:20:00,FETUSDT,FADE,BUY,0.1501,0.1531,TP,23,726.1716015597104,0.6666666666666666,1.5,1.93,14.01511191010241,True,1103.2725142496681,0.72041425789635
16,2026-03-05 16:20:00,FILUSDT,FADE,BUY,0.995,1.0149,TP,19,441.30900569986727,0.4,2.5,1.93,8.517263810007437,True,1111.7897780596757,0.0
17,2026-03-05 17:20:00,TIAUSDT,TREND,SELL,0.3333,0.3442,REVERSE_SIGNAL,44,330.889814898713,0.2976190476190476,3.36,-3.37,-11.150986762086628,False,1100.638791297589,1.0029761904761907
18,2026-03-05 17:30:00,NEARUSDT,FADE,BUY,1.2522,1.2772,TP,18,733.7591941983927,0.6666666666666667,1.5,1.93,14.161552448028978,True,1114.800343745618,0.0
19,2026-03-05 17:50:00,ARBUSDT,TREND,SELL,0.1011,0.1046,SL,100,313.0582262694799,0.2808199943836001,3.5610000000000004,-3.6,-11.27009614570128,False,1103.5302475999167,1.0109519797809576
