symbol,direction,signal_index,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,duration_bars,label,total_active_bsl,total_active_ssl,danger_zone_type,n_danger_zones,n_safe_zones,nearest_danger_dist_pct,nearest_safe_dist_pct,has_danger_liq,danger_liq_close,safe_liq_present,liq_ratio,liq_ratio_risky,all_danger_dists
ADAUSDT,SELL,19,2025-10-16 18:15:00,0.6477,8.646,1.22,1.992,194,win,0,0,SSL,0,0,,,False,False,False,,False,[]
ADAUSDT,BUY,213,2025-10-18 18:45:00,0.6348,6.411,2.001,1.008,231,win,1,1,BSL,1,1,0.78,1.785,True,True,True,0.437,True,[0.78]
ADAUSDT,SELL,444,2025-10-21 04:30:00,0.6412,0.733,6.862,-6.472,44,lose,0,2,SSL,2,0,0.546,,True,True,False,,False,"[0.546, 2.766]"
ADAUSDT,BUY,488,2025-10-21 15:30:00,0.6827,0.161,6.65,-6.064,40,lose,0,1,BSL,0,1,,8.676,False,False,True,,False,[]
ADAUSDT,SELL,528,2025-10-22 01:30:00,0.6413,5.738,0.702,-0.078,152,win,1,1,SSL,1,1,2.781,6.448,True,False,True,0.431,True,[2.781]
ADAUSDT,BUY,680,2025-10-23 15:30:00,0.6418,8.024,0.888,3.553,436,win,1,1,BSL,1,1,6.365,1.41,True,False,True,4.514,False,[6.365]
ADAUSDT,SELL,1116,2025-10-28 04:30:00,0.6646,26.362,1.595,17.635,825,win,0,1,SSL,1,0,4.792,,True,False,False,,False,[4.792]
ADAUSDT,BUY,1941,2025-11-05 18:45:00,0.5474,0.183,5.663,-4.147,90,lose,2,1,BSL,2,1,0.664,10.407,True,True,True,0.064,True,"[0.664, 11.326]"
ADAUSDT,SELL,2031,2025-11-06 17:15:00,0.5247,1.048,8.672,-8.005,94,lose,2,2,SSL,2,2,1.563,5.019,True,False,True,0.311,True,"[1.563, 6.531]"
ADAUSDT,BUY,2125,2025-11-07 16:45:00,0.5667,4.606,2.329,-1.094,108,win,1,2,BSL,1,2,7.535,8.858,True,False,True,0.851,True,[7.535]
ADAUSDT,SELL,2233,2025-11-08 19:45:00,0.5605,2.302,3.301,-2.979,84,win,1,2,SSL,2,1,7.85,8.724,True,False,True,0.9,True,"[7.85, 12.501]"
ADAUSDT,BUY,2317,2025-11-09 16:45:00,0.5772,5.128,1.906,-1.213,197,win,1,3,BSL,1,3,5.579,4.721,True,False,True,1.182,False,[5.579]
ADAUSDT,SELL,2514,2025-11-11 18:00:00,0.5702,3.139,1.806,-1.684,80,win,0,3,SSL,3,0,3.551,,True,False,False,,False,"[3.551, 9.418, 13.989]"
ADAUSDT,BUY,2594,2025-11-12 14:00:00,0.5798,0.052,6.106,-6.037,12,lose,0,2,BSL,0,2,,10.918,False,False,True,,False,[]
ADAUSDT,SELL,2606,2025-11-12 17:00:00,0.5448,1.083,4.901,-3.377,77,lose,0,2,SSL,2,0,5.195,,True,False,False,,False,"[5.195, 9.979]"
ADAUSDT,BUY,2683,2025-11-13 12:15:00,0.5632,0.959,6.214,-6.072,22,lose,0,2,BSL,0,2,,8.292,False,False,True,,False,[]
ADAUSDT,SELL,2705,2025-11-13 17:45:00,0.529,26.749,1.002,21.72,943,win,0,2,SSL,2,0,2.363,,True,False,False,,False,"[2.363, 7.29]"
ADAUSDT,BUY,3648,2025-11-23 13:30:00,0.4141,4.781,2.994,-0.652,192,win,3,1,BSL,3,1,0.996,1.928,True,True,True,0.517,True,"[0.996, 7.716, 16.626]"
ADAUSDT,SELL,3840,2025-11-25 13:30:00,0.4114,1.702,5.907,-5.688,117,lose,3,1,SSL,1,3,1.284,6.004,True,True,True,0.214,True,[1.284]
ADAUSDT,BUY,3957,2025-11-26 18:45:00,0.4348,0.943,3.082,-2.438,130,lose,3,1,BSL,3,1,0.299,6.597,True,True,True,0.045,True,"[0.299, 2.587, 11.074]"
ADAUSDT,SELL,4087,2025-11-28 03:15:00,0.4242,12.659,2.994,7.237,418,win,3,1,SSL,1,3,4.263,2.805,True,False,True,1.52,False,[4.263]
