symbol,trend_trades,trend_wins,trend_wr,trend_pnl,fade_trades,fade_wins,fade_wr,fade_pnl,dual_total_trades,dual_total_wins,dual_overall_wr,dual_total_pnl
ADAUSDT,105,75,71.4,104.8,38,33,86.8,93.5,143,108,75.5,198.3
AVAXUSDT,114,82,71.9,26.0,52,36,69.2,59.4,166,118,71.1,85.3
BNBUSDT,82,56,68.3,81.3,80,37,46.2,99.1,162,93,57.4,180.4
BTCUSDT,83,54,65.1,43.9,67,27,40.3,31.6,150,81,54.0,75.5
DOGEUSDT,96,67,69.8,5.4,57,39,68.4,10.7,153,106,69.3,16.1
ETHUSDT,88,66,75.0,68.1,58,34,58.6,35.7,146,100,68.5,103.7
LINKUSDT,99,71,71.7,16.8,64,50,78.1,115.8,163,121,74.2,132.6
NEARUSDT,109,83,76.1,83.5,31,24,77.4,15.1,140,107,76.4,98.6
SOLUSDT,88,60,68.2,-22.7,66,36,54.5,11.8,154,96,62.3,-10.9
XRPUSDT,86,54,62.8,72.6,68,36,52.9,78.8,154,90,58.4,151.4
