Method,Initial Capital,Final Equity,Net Profit ($),Net Return (%),Win Rate (%),Profit Factor,Max Drawdown ($),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Consec Wins,Max Consec Losses,Ruin (<50%)
"1. Fixed Sizing ($1,000 / Trade)",10000.0,18823.169999999634,8823.169999999634,88.23169999999635,73.2153055396916,1.7190818293323986,395.10000000002765,2.2001654996677447,8.136253142792073,14.658205934015863,40.102301401108484,22,7,NO 🛡️
2. Fixed Risk (1.0% Equity Risk),10000.0,111275264.73692971,111265264.73692971,1112652.6473692972,73.2153055396916,3.1131307942087063,3434444.0065452084,8.678083368119314,18.956561432677955,77.7373132856926,128214.099838779,22,7,NO 🛡️
3. Fixed Risk (2.0% Equity Risk),10000.0,1024385399486.8925,1024385389486.8925,10243853894.868925,73.2153055396916,3.1941378336159767,41853056434.880005,16.774610045822396,18.956561432677955,77.73731328569271,610676127.0089905,22,7,NO 🛡️
"4. Martingale (1.5x on Loss, Cap 4)",10000.0,556789509.3551464,556779509.3551464,5567795.093551464,73.2153055396916,2.488976021334739,58378041.146059066,28.15228074496231,15.08907068930234,27.93943959297782,197774.2103381016,22,7,NO 🛡️
"5. Martingale (2.0x on Loss, Cap 3)",10000.0,4218807866.969075,4218797866.969075,42187978.66969075,73.2153055396916,2.1925738327773487,800761301.5872993,48.70266325725984,11.514515923828213,16.18927999953987,866235.5577320921,22,7,NO 🛡️
6. Anti-Martingale (+30% Win Booster),10000.0,493261175509353.44,493261175499353.44,4932611754993.534,73.2153055396916,3.872702603327016,24853059026181.062,14.63502714093112,19.033983340688433,50.55594013845289,337041517415.30066,22,7,NO 🛡️
7. Full Kelly Criterion (30.6%),10000.0,143952.61886572157,133952.61886572157,1339.5261886572157,73.2153055396916,1.6314988905668426,12744.755888295826,11.49222357780412,7.968000215532227,15.252086502837262,116.5593568197153,22,7,NO 🛡️
8. Half Kelly (15.3% - Hedge Fund),10000.0,38277.13265831583,28277.13265831583,282.7713265831583,73.2153055396916,1.6638857853077569,1978.784392587022,5.8960215497653,7.968000215532227,15.252086502837248,47.95968335536604,22,7,NO 🛡️
9. Quarter Kelly (7.7% - Conservative),10000.0,19607.66773455699,9607.667734556991,96.07667734556992,73.2153055396916,1.6885982792606413,548.1388365257408,2.9862625294115532,7.96800021553222,15.252086502837265,32.17288379682477,22,7,NO 🛡️
10. Hybrid SMC Master (Optimal),10000.0,866280.6734953865,856280.6734953865,8562.806734953865,73.2153055396916,3.324172400578967,17598.674715009576,3.467729189635096,19.29714337409279,68.53344253384981,2469.283576280337,22,7,NO 🛡️
