entry_price,exit_price,entry_bar,exit_bar,duration_bars,exit_reason,max_roe_pct,max_sl_pct,gross_pnl_pct,fee_pct,net_pnl_pct,net_profit_usd,is_win,symbol,strategy_mode,trade_type,direction,signal_bar,signal_datetime
0.2746,0.2547,145,1126,982,REVERSE_SIGNAL,9.213,1.202,7.247,0.1,7.147,71.47,True,ADAUSDT,2,TREND,SELL,144,2026-03-05 00:20:00
0.2547,0.2503,1127,1184,58,REVERSE_SIGNAL,2.042,0.982,1.728,0.1,1.628,16.28,True,ADAUSDT,2,FADE,SELL,1126,2026-03-08 10:10:00
0.2503,0.2526,1185,1244,60,REVERSE_SIGNAL,1.518,0.999,0.919,0.1,0.819,8.19,True,ADAUSDT,2,FADE,BUY,1184,2026-03-08 15:00:00
0.2526,0.2504,1245,1258,14,SL,0.713,0.871,-0.871,0.1,-0.971,-9.71,False,ADAUSDT,2,TREND,BUY,1244,2026-03-08 20:00:00
0.2628,0.2633,1817,2027,211,REVERSE_SIGNAL,0.685,2.435,0.19,0.1,0.09,0.9,True,ADAUSDT,2,FADE,BUY,1816,2026-03-10 19:40:00
0.2633,0.2609,2028,2180,153,REVERSE_SIGNAL,1.671,1.595,-0.912,0.1,-1.012,-10.12,False,ADAUSDT,2,TREND,BUY,2027,2026-03-11 13:15:00
0.2609,0.2632,2181,2284,104,REVERSE_SIGNAL,1.112,1.227,0.882,0.1,0.782,7.82,True,ADAUSDT,2,FADE,BUY,2180,2026-03-12 02:00:00
0.2632,0.2594,2285,2330,46,SL,0.342,1.634,-1.444,0.1,-1.544,-15.44,False,ADAUSDT,2,TREND,BUY,2284,2026-03-12 10:40:00
0.2693,0.2624,2655,3015,361,REVERSE_SIGNAL,4.196,0.037,2.562,0.1,2.462,24.62,True,ADAUSDT,2,TREND,SELL,2654,2026-03-13 17:30:00
0.2624,0.2633,3016,3256,241,REVERSE_SIGNAL,0.534,1.791,-0.343,0.1,-0.443,-4.43,False,ADAUSDT,2,FADE,SELL,3015,2026-03-14 23:35:00
0.2633,0.2689,3257,3291,35,REVERSE_SIGNAL,2.241,0.342,2.127,0.1,2.027,20.27,True,ADAUSDT,2,FADE,BUY,3256,2026-03-15 19:40:00
0.2689,0.2842,3292,3659,368,REVERSE_SIGNAL,9.186,0.446,5.69,0.1,5.59,55.9,True,ADAUSDT,2,TREND,BUY,3291,2026-03-15 22:35:00
0.2842,0.2898,3660,3816,157,REVERSE_SIGNAL,2.357,0.915,1.97,0.1,1.87,18.7,True,ADAUSDT,2,FADE,BUY,3659,2026-03-17 05:15:00
0.2898,0.2821,3817,4022,206,REVERSE_SIGNAL,2.899,1.967,2.657,0.1,2.557,25.57,True,ADAUSDT,2,FADE,SELL,3816,2026-03-17 18:20:00
0.2821,0.2679,4023,4428,406,REVERSE_SIGNAL,7.019,0.071,5.034,0.1,4.934,49.34,True,ADAUSDT,2,TREND,SELL,4022,2026-03-18 11:30:00
0.2679,0.2671,4429,4610,182,REVERSE_SIGNAL,1.866,0.896,-0.299,0.1,-0.399,-3.99,False,ADAUSDT,2,TREND,BUY,4428,2026-03-19 21:20:00
0.2671,0.266,4611,4999,389,REVERSE_SIGNAL,0.524,2.097,-0.412,0.1,-0.512,-5.12,False,ADAUSDT,2,FADE,BUY,4610,2026-03-20 12:30:00
0.266,0.2589,5000,5034,35,REVERSE_SIGNAL,3.459,0.075,2.669,0.1,2.569,25.69,True,ADAUSDT,2,FADE,SELL,4999,2026-03-21 20:55:00
0.2589,0.2617,5035,5458,424,REVERSE_SIGNAL,4.403,2.124,-1.081,0.1,-1.181,-11.81,False,ADAUSDT,2,TREND,SELL,5034,2026-03-21 23:50:00
0.2617,0.2588,5459,5643,185,REVERSE_SIGNAL,2.025,1.911,-1.108,0.1,-1.208,-12.08,False,ADAUSDT,2,TREND,BUY,5458,2026-03-23 11:10:00
0.2588,0.2644,5644,5706,63,REVERSE_SIGNAL,2.202,0.193,2.164,0.1,2.064,20.64,True,ADAUSDT,2,FADE,BUY,5643,2026-03-24 02:35:00
0.2644,0.2601,5707,5784,78,REVERSE_SIGNAL,1.815,1.475,1.626,0.1,1.526,15.26,True,ADAUSDT,2,FADE,SELL,5706,2026-03-24 07:50:00
0.2601,0.2646,5785,5862,78,REVERSE_SIGNAL,2.076,0.884,1.73,0.1,1.63,16.3,True,ADAUSDT,2,FADE,BUY,5784,2026-03-24 14:20:00
0.2646,0.2725,5863,6020,158,SL,0.454,3.326,-3.0,0.1,-3.1,-31.0,False,ADAUSDT,2,FADE,SELL,5862,2026-03-24 20:50:00
0.2693,0.2483,6196,6859,664,REVERSE_SIGNAL,9.432,0.371,7.798,0.1,7.698,76.98,True,ADAUSDT,2,TREND,SELL,6195,2026-03-26 00:35:00
0.2483,0.248,6860,7040,181,REVERSE_SIGNAL,0.765,1.812,0.121,0.1,0.021,0.21,True,ADAUSDT,2,FADE,SELL,6859,2026-03-28 07:55:00
0.248,0.2441,7041,7370,330,REVERSE_SIGNAL,6.29,0.04,1.573,0.1,1.473,14.73,True,ADAUSDT,2,TREND,SELL,7040,2026-03-28 23:00:00
0.2441,0.2514,7371,7443,73,SL,0.123,3.073,-3.0,0.1,-3.1,-31.0,False,ADAUSDT,2,FADE,SELL,7370,2026-03-30 02:30:00
0.2463,0.2473,7552,7654,103,REVERSE_SIGNAL,1.624,1.299,-0.406,0.1,-0.506,-5.06,False,ADAUSDT,2,TREND,SELL,7551,2026-03-30 17:35:00
0.2473,0.2441,7655,7688,34,SL,0.687,1.456,-1.294,0.1,-1.394,-13.94,False,ADAUSDT,2,TREND,BUY,7654,2026-03-31 02:10:00
0.2438,0.2441,7721,7954,234,REVERSE_SIGNAL,3.938,0.656,-0.123,0.1,-0.223,-2.23,False,ADAUSDT,2,TREND,SELL,7720,2026-03-31 07:40:00
0.2441,0.2418,7955,8224,270,REVERSE_SIGNAL,4.342,1.065,-0.942,0.1,-1.042,-10.42,False,ADAUSDT,2,TREND,BUY,7954,2026-04-01 03:10:00
0.2418,0.2413,8225,8384,160,REVERSE_SIGNAL,2.978,0.744,0.207,0.1,0.107,1.07,True,ADAUSDT,2,TREND,SELL,8224,2026-04-02 01:40:00
0.2413,0.2456,8385,8784,400,REVERSE_SIGNAL,4.144,1.45,1.782,0.1,1.682,16.82,True,ADAUSDT,2,TREND,BUY,8384,2026-04-02 15:00:00
0.2456,0.2465,8785,8986,202,REVERSE_SIGNAL,0.651,1.14,0.366,0.1,0.266,2.66,True,ADAUSDT,2,FADE,BUY,8784,2026-04-04 00:20:00
0.2465,0.2447,8987,9133,147,REVERSE_SIGNAL,0.73,1.379,0.73,0.1,0.63,6.3,True,ADAUSDT,2,FADE,SELL,8986,2026-04-04 17:10:00
0.2447,0.2442,9134,9318,185,REVERSE_SIGNAL,0.45,2.125,-0.204,0.1,-0.304,-3.04,False,ADAUSDT,2,FADE,BUY,9133,2026-04-05 05:25:00
0.2442,0.2421,9319,9327,9,SL,0.041,0.942,-0.86,0.1,-0.96,-9.6,False,ADAUSDT,2,TREND,BUY,9318,2026-04-05 20:50:00
0.2533,0.2472,9556,9884,329,REVERSE_SIGNAL,5.369,0.395,2.408,0.1,2.308,23.08,True,ADAUSDT,2,TREND,SELL,9555,2026-04-06 16:35:00
0.2472,0.2574,9885,10070,186,REVERSE_SIGNAL,7.727,0.647,4.126,0.1,4.026,40.26,True,ADAUSDT,2,TREND,BUY,9884,2026-04-07 20:00:00
0.2574,0.2537,10071,10407,337,REVERSE_SIGNAL,3.924,0.894,1.437,0.1,1.337,13.37,True,ADAUSDT,2,TREND,SELL,10070,2026-04-08 11:30:00
0.2537,0.252,10408,10547,140,REVERSE_SIGNAL,0.985,2.917,0.67,0.1,0.57,5.7,True,ADAUSDT,2,FADE,SELL,10407,2026-04-09 15:35:00
0.252,0.2544,10548,10684,137,REVERSE_SIGNAL,1.429,0.952,0.952,0.1,0.852,8.52,True,ADAUSDT,2,FADE,BUY,10547,2026-04-10 03:15:00
0.2544,0.253,10685,10808,124,REVERSE_SIGNAL,0.59,1.73,0.55,0.1,0.45,4.5,True,ADAUSDT,2,FADE,SELL,10684,2026-04-10 14:40:00
0.253,0.2524,10809,11023,215,REVERSE_SIGNAL,0.83,2.648,-0.237,0.1,-0.337,-3.37,False,ADAUSDT,2,FADE,BUY,10808,2026-04-11 01:00:00
0.2524,0.2493,11024,11090,67,REVERSE_SIGNAL,1.704,1.387,1.228,0.1,1.128,11.28,True,ADAUSDT,2,FADE,SELL,11023,2026-04-11 18:55:00
0.2493,0.241,11091,11527,437,REVERSE_SIGNAL,5.696,0.401,3.329,0.1,3.229,32.29,True,ADAUSDT,2,TREND,SELL,11090,2026-04-12 00:30:00
0.241,0.2373,11528,11590,63,SL,0.913,1.535,-1.535,0.1,-1.635,-16.35,False,ADAUSDT,2,TREND,BUY,11527,2026-04-13 12:55:00
0.2425,0.245,11730,11745,16,SL,0.742,1.155,-1.031,0.1,-1.131,-11.31,False,ADAUSDT,2,TREND,SELL,11729,2026-04-14 05:45:00
0.2483,0.2392,11828,11892,65,REVERSE_SIGNAL,3.625,0.483,3.665,0.1,3.565,35.65,True,ADAUSDT,2,FADE,SELL,11827,2026-04-14 13:55:00
0.2392,0.2421,11893,12101,209,REVERSE_SIGNAL,1.421,0.502,1.212,0.1,1.112,11.12,True,ADAUSDT,2,FADE,BUY,11892,2026-04-14 19:20:00
0.2421,0.2547,12102,12580,479,REVERSE_SIGNAL,8.013,0.991,5.204,0.1,5.104,51.04,True,ADAUSDT,2,TREND,BUY,12101,2026-04-15 12:45:00
0.2547,0.2576,12581,12626,46,SL,1.099,1.178,-1.139,0.1,-1.239,-12.39,False,ADAUSDT,2,TREND,SELL,12580,2026-04-17 04:40:00
0.2567,0.2583,12636,12804,169,REVERSE_SIGNAL,4.363,0.974,0.623,0.1,0.523,5.23,True,ADAUSDT,2,TREND,BUY,12635,2026-04-17 09:15:00
0.2583,0.2498,12805,13261,457,REVERSE_SIGNAL,5.497,0.465,3.291,0.1,3.191,31.91,True,ADAUSDT,2,TREND,SELL,12804,2026-04-17 23:20:00
0.2498,0.2448,13262,13344,83,REVERSE_SIGNAL,2.282,0.4,2.002,0.1,1.902,19.02,True,ADAUSDT,2,FADE,SELL,13261,2026-04-19 13:25:00
0.2448,0.2479,13345,13476,132,SL,1.675,1.757,-1.266,0.1,-1.366,-13.66,False,ADAUSDT,2,TREND,SELL,13344,2026-04-19 20:20:00
0.246,0.2443,13481,13883,403,REVERSE_SIGNAL,0.813,2.561,0.691,0.1,0.591,5.91,True,ADAUSDT,2,FADE,SELL,13480,2026-04-20 07:40:00
0.2443,0.2503,13884,13973,90,REVERSE_SIGNAL,2.62,0.205,2.456,0.1,2.356,23.56,True,ADAUSDT,2,FADE,BUY,13883,2026-04-21 17:15:00
0.2503,0.2517,13974,14199,226,REVERSE_SIGNAL,2.877,0.679,0.559,0.1,0.459,4.59,True,ADAUSDT,2,TREND,BUY,13973,2026-04-22 00:45:00
0.2517,0.2491,14200,14431,232,REVERSE_SIGNAL,2.821,0.318,1.033,0.1,0.933,9.33,True,ADAUSDT,2,TREND,SELL,14199,2026-04-22 19:35:00
0.2491,0.2462,14432,14463,32,SL,0.682,1.485,-1.164,0.1,-1.264,-12.64,False,ADAUSDT,2,TREND,BUY,14431,2026-04-23 14:55:00
0.2464,0.2506,14472,14543,72,REVERSE_SIGNAL,1.745,0.446,1.705,0.1,1.605,16.05,True,ADAUSDT,2,FADE,BUY,14471,2026-04-23 18:15:00
0.2506,0.2506,14544,15014,471,REVERSE_SIGNAL,1.437,1.277,0.0,0.1,-0.1,-1.0,False,ADAUSDT,2,FADE,SELL,14543,2026-04-24 00:15:00
0.2506,0.2515,15015,15195,181,REVERSE_SIGNAL,0.399,1.077,0.359,0.1,0.259,2.59,True,ADAUSDT,2,FADE,BUY,15014,2026-04-25 15:30:00
0.2515,0.2484,15196,15471,276,REVERSE_SIGNAL,1.59,1.829,1.233,0.1,1.133,11.33,True,ADAUSDT,2,FADE,SELL,15195,2026-04-26 06:35:00
0.2484,0.2476,15472,15689,218,REVERSE_SIGNAL,0.201,2.254,-0.322,0.1,-0.422,-4.22,False,ADAUSDT,2,FADE,BUY,15471,2026-04-27 05:35:00
0.2476,0.2456,15690,15835,146,REVERSE_SIGNAL,1.09,0.444,0.808,0.1,0.708,7.08,True,ADAUSDT,2,FADE,SELL,15689,2026-04-27 23:45:00
0.2456,0.2477,15836,16017,182,REVERSE_SIGNAL,0.977,0.651,0.855,0.1,0.755,7.55,True,ADAUSDT,2,FADE,BUY,15835,2026-04-28 11:55:00
0.2477,0.2487,16018,16133,116,REVERSE_SIGNAL,2.543,0.04,0.404,0.1,0.304,3.04,True,ADAUSDT,2,TREND,BUY,16017,2026-04-29 03:05:00
0.2487,0.2468,16134,16278,145,REVERSE_SIGNAL,4.262,0.241,0.764,0.1,0.664,6.64,True,ADAUSDT,2,TREND,SELL,16133,2026-04-29 12:45:00
0.2468,0.2475,16279,16838,560,REVERSE_SIGNAL,1.823,1.013,0.284,0.1,0.184,1.84,True,ADAUSDT,2,TREND,BUY,16278,2026-04-30 00:50:00
0.2475,0.2494,16839,17017,179,REVERSE_SIGNAL,0.768,0.323,0.768,0.1,0.668,6.68,True,ADAUSDT,2,FADE,BUY,16838,2026-05-01 23:30:00
0.2494,0.2483,17018,17153,136,REVERSE_SIGNAL,0.561,1.363,0.441,0.1,0.341,3.41,True,ADAUSDT,2,FADE,SELL,17017,2026-05-02 14:25:00
0.2483,0.2503,17154,17280,127,REVERSE_SIGNAL,1.007,0.443,0.805,0.1,0.705,7.05,True,ADAUSDT,2,FADE,BUY,17153,2026-05-03 01:45:00
0.2503,0.2476,17281,17424,144,REVERSE_SIGNAL,1.278,0.559,1.079,0.1,0.979,9.79,True,ADAUSDT,2,FADE,SELL,17280,2026-05-03 12:20:00
0.2476,0.2521,17425,17449,25,REVERSE_SIGNAL,2.342,0.121,1.817,0.1,1.717,17.17,True,ADAUSDT,2,FADE,BUY,17424,2026-05-04 00:20:00
0.2521,0.2476,17450,17545,96,REVERSE_SIGNAL,2.142,1.15,1.785,0.1,1.685,16.85,True,ADAUSDT,2,FADE,SELL,17449,2026-05-04 02:25:00
0.2476,0.2522,17546,17637,92,REVERSE_SIGNAL,2.262,0.162,1.858,0.1,1.758,17.58,True,ADAUSDT,2,FADE,BUY,17545,2026-05-04 10:25:00
0.2522,0.2495,17638,17666,29,SL,0.079,1.11,-1.071,0.1,-1.171,-11.71,False,ADAUSDT,2,TREND,BUY,17637,2026-05-04 18:05:00
0.2645,0.2681,18166,18382,217,REVERSE_SIGNAL,1.588,0.567,1.361,0.1,1.261,12.61,True,ADAUSDT,2,FADE,BUY,18165,2026-05-06 14:05:00
0.2681,0.2654,18383,18449,67,SL,0.783,1.119,-1.007,0.1,-1.107,-11.07,False,ADAUSDT,2,TREND,BUY,18382,2026-05-07 08:10:00
0.2633,0.2634,18461,18696,236,REVERSE_SIGNAL,0.456,1.481,0.038,0.1,-0.062,-0.62,False,ADAUSDT,2,FADE,BUY,18460,2026-05-07 14:40:00
0.2634,0.2713,18697,18781,85,SL,0.304,3.037,-3.0,0.1,-3.1,-31.0,False,ADAUSDT,2,FADE,SELL,18696,2026-05-08 10:20:00
0.2725,0.2731,18981,19254,274,REVERSE_SIGNAL,0.55,1.578,0.22,0.1,0.12,1.2,True,ADAUSDT,2,FADE,BUY,18980,2026-05-09 10:00:00
0.2731,0.2813,19255,19337,83,SL,0.769,3.442,-3.0,0.1,-3.1,-31.0,False,ADAUSDT,2,FADE,SELL,19254,2026-05-10 08:50:00
0.2787,0.2797,19404,19602,199,REVERSE_SIGNAL,1.794,1.722,0.359,0.1,0.259,2.59,True,ADAUSDT,2,FADE,BUY,19403,2026-05-10 21:15:00
