symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
ADAUSDT,BUY,SELL,213,214,0.6348,0.6398,232,2.001,6.411,-0.788,win
ADAUSDT,SELL,BUY,444,445,0.6412,0.6802,45,6.862,0.733,6.082,win
ADAUSDT,BUY,SELL,1941,1942,0.5474,0.5237,91,5.663,0.183,4.33,win
ADAUSDT,BUY,SELL,3648,3649,0.4141,0.4117,193,2.994,4.781,0.58,win
ADAUSDT,SELL,BUY,3840,3841,0.4114,0.4337,118,5.907,1.702,5.421,win
ADAUSDT,BUY,SELL,3957,3958,0.4348,0.4243,131,3.082,0.943,2.415,win
ADAUSDT,BUY,SELL,6430,6431,0.3741,0.3648,85,3.234,2.165,2.486,win
ADAUSDT,BUY,SELL,6816,6817,0.3566,0.3459,14,3.561,0.337,3.001,win
ADAUSDT,SELL,BUY,6829,6830,0.3442,0.3579,78,4.271,0.029,3.98,win
ADAUSDT,BUY,SELL,7059,7060,0.3766,0.365,47,3.956,2.124,3.08,win
ADAUSDT,BUY,SELL,8405,8406,0.4018,0.3844,45,5.077,0.423,4.331,win
ADAUSDT,BUY,SELL,9348,9349,0.3684,0.3548,161,4.397,0.299,3.692,win
ADAUSDT,BUY,SELL,10494,10495,0.3004,0.2864,171,6.258,1.498,4.66,win
ADAUSDT,BUY,SELL,11411,11412,0.2654,0.284,310,3.052,13.677,-7.008,win
ADAUSDT,SELL,BUY,12506,12507,0.2608,0.2696,122,4.103,2.837,3.374,win
ADAUSDT,SELL,BUY,13473,13474,0.269,0.2589,377,1.041,8.699,-3.755,lose
ADAUSDT,BUY,SELL,13849,13850,0.2592,0.2594,238,1.813,5.826,-0.077,lose
ADAUSDT,BUY,SELL,16004,16005,0.2527,0.2383,86,6.015,0.237,5.698,win
ADAUSDT,BUY,SELL,16458,16459,0.2547,0.246,94,4.005,2.081,3.416,win
ADAUSDT,SELL,BUY,16551,16552,0.245,0.2588,93,6.776,2.163,5.633,win
ADAUSDT,BUY,SELL,17399,17400,0.2465,0.2525,254,1.217,8.682,-2.434,lose
ADAUSDT,SELL,BUY,17652,17653,0.2527,0.2494,267,0.198,4.749,-1.306,lose
ADAUSDT,BUY,SELL,17918,17919,0.2493,0.2477,178,2.206,3.289,0.642,win
ADAUSDT,SELL,BUY,18357,18358,0.2486,0.2538,67,2.293,0.121,2.092,win
ADAUSDT,BUY,SELL,18423,18424,0.2541,0.2474,81,3.188,0.787,2.637,win
ADAUSDT,SELL,BUY,18729,18730,0.2438,0.2485,146,2.666,2.338,1.928,win
ADAUSDT,SELL,BUY,19524,19525,0.261,0.2715,76,4.33,0.421,4.023,win
ADAUSDT,SELL,BUY,20256,20257,0.2607,0.2516,637,0.69,6.022,-3.491,lose
ADAUSDT,BUY,SELL,20892,20893,0.2514,0.2442,61,3.699,1.233,2.864,win
ADAUSDT,BUY,SELL,21227,21228,0.2459,0.2405,39,2.521,0.732,2.196,win
ADAUSDT,BUY,SELL,21653,21654,0.2384,0.2328,152,2.643,0.419,2.349,win
