sl_method,total,sl_hit,hit_rate_pct,survival_rate_pct,avg_sl_dist_pct,avg_roe_before_sl,avg_rr_when_survived,avg_bars_to_sl,score
atr_1.0x,950,805,84.7,15.3,0.553,1.047,20.9,21.4,2.693
fixed_0.5pct,950,790,83.2,16.8,0.5,1.013,18.51,21.6,2.672
atr_1.5x,950,748,78.7,21.3,0.83,1.22,13.97,30.1,2.327
ob_midpoint,57,8,14.0,86.0,4.077,1.062,6.37,48.2,2.32
atr_2.0x,950,692,72.8,27.2,1.106,1.29,9.9,36.4,1.965
fixed_1.0pct,950,671,70.6,29.4,1.0,1.325,8.38,36.0,1.846
ob_beyond,63,10,15.9,84.1,4.216,0.456,5.07,20.5,1.772
atr_3.0x,950,558,58.7,41.3,1.659,1.345,6.15,47.8,1.634
fixed_1.5pct,950,571,60.1,39.9,1.5,1.421,5.43,44.5,1.445
fixed_2.0pct,950,464,48.8,51.2,2.0,1.517,4.07,53.2,1.249
trail2,950,360,37.9,62.1,2.865,1.226,3.28,53.9,1.041
vsr_edge,838,274,32.7,67.3,3.43,1.077,3.23,46.2,1.014
trail2_buf,950,342,36.0,64.0,2.965,1.223,3.11,55.1,1.002
swing_hl,337,76,22.6,77.4,3.817,1.202,2.83,52.4,0.965
fixed_3.0pct,950,289,30.4,69.6,3.0,1.428,2.64,53.8,0.917
