symbol,direction,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,duration_bars,atr_pct,trail_gap_pct,is_low_volatility,is_tight_gap,has_counter_fvg,has_recent_choch,has_recent_bos,quick_loss_under_10_bars
ADAUSDT,BUY,2025-10-21 15:30:00,0.6827,0.161,6.65,40,0.952,1.904,False,False,False,False,False,False
ADAUSDT,SELL,2025-11-06 17:15:00,0.5247,1.048,8.672,94,0.896,1.792,False,False,False,False,False,False
ADAUSDT,BUY,2025-11-12 14:00:00,0.5798,0.052,6.106,12,0.5,1.018,False,False,False,False,False,False
ADAUSDT,SELL,2025-11-12 17:00:00,0.5448,1.083,4.901,77,0.954,1.927,False,False,False,False,False,False
ADAUSDT,BUY,2025-11-13 12:15:00,0.5632,0.959,6.214,22,0.586,1.172,False,False,True,False,False,False
ADAUSDT,SELL,2025-12-28 20:30:00,0.3634,0.413,4.568,23,0.44,0.853,False,False,False,True,False,False
ADAUSDT,SELL,2026-01-12 13:45:00,0.3822,0.262,6.306,104,0.549,1.099,False,False,False,False,False,False
ADAUSDT,BUY,2026-02-20 15:45:00,0.2888,1.697,4.709,149,1.039,2.078,False,False,True,False,False,False
ADAUSDT,BUY,2026-02-23 12:45:00,0.2736,0.183,4.934,29,0.548,1.096,False,False,False,False,False,False
ADAUSDT,SELL,2026-03-01 20:00:00,0.2709,0.997,6.423,80,0.775,1.551,False,False,True,False,False,False
ADAUSDT,BUY,2026-03-02 16:00:00,0.288,0.174,6.875,59,0.972,1.91,False,False,False,False,False,False
ADAUSDT,SELL,2026-03-12 07:00:00,0.259,0.347,5.367,70,0.347,0.695,True,False,False,False,False,False
ADAUSDT,BUY,2026-03-30 08:30:00,0.2509,0.757,4.583,102,0.558,1.116,False,False,False,False,False,False
ADAUSDT,SELL,2026-04-02 03:45:00,0.2389,1.8,2.637,114,0.795,1.632,False,False,False,False,False,False
ADAUSDT,SELL,2026-04-05 07:15:00,0.2423,1.156,5.943,67,0.33,0.66,True,False,False,False,False,False
ADAUSDT,SELL,2026-04-08 20:30:00,0.2517,1.748,2.463,100,0.477,0.913,False,False,False,False,False,False
ADAUSDT,BUY,2026-04-09 21:30:00,0.2568,1.674,2.96,139,0.545,1.051,False,False,False,False,False,False
ADAUSDT,BUY,2026-04-13 22:45:00,0.2473,0.89,3.761,134,0.647,1.294,False,False,False,False,False,False
ADAUSDT,SELL,2026-04-15 08:15:00,0.2401,0.625,3.124,44,0.375,0.75,False,False,True,False,False,False
ADAUSDT,SELL,2026-04-23 01:15:00,0.247,1.053,1.984,150,0.445,0.891,False,False,False,False,False,False
ADAUSDT,BUY,2026-04-24 14:45:00,0.2504,1.358,0.998,112,0.359,0.719,False,False,False,False,False,False
ADAUSDT,SELL,2026-04-27 07:15:00,0.2472,1.78,1.335,193,0.485,0.971,False,False,False,False,True,False
ADAUSDT,BUY,2026-04-29 07:30:00,0.2496,1.763,2.644,33,0.32,0.601,True,False,False,False,False,False
ADAUSDT,SELL,2026-05-10 05:45:00,0.2696,0.519,2.856,39,0.297,0.594,True,False,True,False,False,False
ADAUSDT,BUY,2026-05-23 20:30:00,0.2487,0.844,3.177,97,0.483,1.005,False,False,False,False,False,False
ADAUSDT,SELL,2026-05-24 20:45:00,0.2418,1.447,2.233,78,0.29,0.538,True,False,False,False,False,False
ADAUSDT,BUY,2026-06-29 22:30:00,0.1466,0.0,3.138,57,0.478,0.956,False,False,True,False,False,False
ADAUSDT,BUY,2026-07-11 15:30:00,0.1721,0.581,5.404,36,0.639,1.278,False,False,False,False,False,False
ADAUSDT,SELL,2026-07-20 06:15:00,0.1616,0.681,5.569,49,0.618,1.299,False,False,False,False,False,False
ADAUSDT,SELL,2026-08-06 04:30:00,0.1876,0.32,8.369,41,0.64,1.28,False,False,False,False,False,False
AVAXUSDT,BUY,2025-10-21 15:15:00,20.768,0.347,6.736,37,0.831,1.662,False,False,True,False,False,False
AVAXUSDT,SELL,2025-10-23 23:30:00,19.053,0.226,3.133,31,0.418,0.837,False,False,False,False,False,False
AVAXUSDT,SELL,2025-11-09 02:45:00,16.905,0.68,5.732,47,0.598,1.197,False,False,False,False,False,False
AVAXUSDT,BUY,2025-11-13 07:15:00,17.562,0.216,7.562,43,0.735,1.469,False,False,False,False,False,False
AVAXUSDT,BUY,2025-12-13 09:00:00,13.399,0.455,2.358,100,0.349,0.697,True,False,False,False,False,False
AVAXUSDT,SELL,2025-12-21 07:45:00,12.117,1.428,2.682,115,0.217,0.434,True,True,False,False,False,False
AVAXUSDT,SELL,2025-12-23 14:45:00,11.932,0.511,3.771,166,0.629,1.257,False,False,False,False,False,False
AVAXUSDT,BUY,2025-12-26 04:15:00,12.537,0.295,3.254,48,0.499,0.996,False,False,False,False,False,False
AVAXUSDT,BUY,2026-01-17 14:30:00,13.866,0.426,2.178,83,0.342,0.684,True,False,False,False,False,False
AVAXUSDT,BUY,2026-01-21 22:15:00,12.54,0.606,4.035,68,0.882,1.763,False,False,True,False,False,False
AVAXUSDT,SELL,2026-03-03 11:45:00,9.009,1.31,5.45,87,0.434,0.868,False,False,False,False,False,False
AVAXUSDT,BUY,2026-03-28 18:30:00,8.911,0.045,2.211,35,0.355,0.709,False,False,True,False,False,False
AVAXUSDT,BUY,2026-03-30 07:45:00,8.914,1.851,2.535,109,0.475,0.948,False,False,True,False,False,False
AVAXUSDT,SELL,2026-04-09 00:15:00,8.979,0.791,4.555,66,0.499,0.999,False,False,False,False,False,False
AVAXUSDT,BUY,2026-04-11 18:45:00,9.488,1.286,4.933,30,0.426,0.852,False,False,True,False,False,False
AVAXUSDT,BUY,2026-04-29 05:15:00,9.34,1.092,2.794,50,0.308,0.618,True,False,False,False,False,False
AVAXUSDT,BUY,2026-05-13 04:15:00,10.026,1.257,3.271,42,0.298,0.596,True,False,False,False,False,False
AVAXUSDT,SELL,2026-05-13 14:45:00,9.797,1.878,2.674,97,0.551,1.103,False,False,False,False,False,False
AVAXUSDT,SELL,2026-05-24 20:30:00,9.206,1.575,1.857,52,0.272,0.542,True,False,False,False,False,False
AVAXUSDT,BUY,2026-05-25 09:30:00,9.376,1.376,2.197,65,0.285,0.571,True,False,False,False,False,False
AVAXUSDT,BUY,2026-05-30 15:00:00,8.988,1.035,2.047,103,0.274,0.547,True,False,False,False,False,False
AVAXUSDT,BUY,2026-06-11 18:45:00,6.646,1.896,1.986,270,0.685,1.369,False,False,False,False,False,False
AVAXUSDT,SELL,2026-06-22 00:15:00,6.149,0.0,4.44,50,0.561,1.12,False,False,True,False,False,False
