timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1760621400000,0.19932,0.20024,0.19877,0.19943,123197697.0,2025-10-16 13:30:00,,,,,-1.0,0.19877,,,,,,,,,,,,,,,0.1994,0.1965,1,False,False,0.0015,,,0.0,False
1760622300000,0.19943,0.19994,0.19717,0.19789,153163282.0,2025-10-16 13:45:00,-1.0,0.19877,0.19816,4.0,,,,,,,,,,,,,,,,,0.1993,0.1965,1,False,False,0.0016,,,0.0,False
1760623200000,0.1979,0.19816,0.19576,0.19635,213291438.0,2025-10-16 14:00:00,-1.0,0.19717,0.19697,4.0,,,,,,,,,,,,,,,,,0.199,0.1965,1,False,False,0.0016,,,3.228,False
1760624100000,0.19635,0.19697,0.19354,0.19434,460402845.0,2025-10-16 14:15:00,,,,,,,,,,,,,,,,,,,,,0.1986,0.1965,1,False,False,0.0018,,,7.161,False
1760625000000,0.19433,0.19821,0.19415,0.19772,266440849.0,2025-10-16 14:30:00,,,,,,,,,,,,,,,,,,,,,0.1986,0.1965,1,False,False,0.0019,,,0.9725,False
1760625900000,0.19773,0.19809,0.19486,0.19502,213327362.0,2025-10-16 14:45:00,,,,,,,,,,,,,,,,,,,,,0.1985,0.1965,1,False,False,0.002,,,0.3828,False
1760626800000,0.19503,0.19586,0.19366,0.19576,164418638.0,2025-10-16 15:00:00,,,,,,,,,,,,,,,,,,,,,0.1984,0.1965,1,False,False,0.002,,,0.4521,False
1760627700000,0.19576,0.19599,0.19288,0.19329,152603902.0,2025-10-16 15:15:00,,,,,,,,,,,,,,,,,,,,,0.1982,0.1965,1,False,False,0.0021,,,0.1459,False
1760628600000,0.19329,0.19395,0.19131,0.19185,314503866.0,2025-10-16 15:30:00,-1.0,0.19288,0.192,13.0,,,,,,,,,,,,,,,,,0.1979,0.1965,1,False,False,0.0021,,,2.2779,False
1760629500000,0.19184,0.192,0.18757,0.1893,619367233.0,2025-10-16 15:45:00,-1.0,0.19131,0.19054,12.0,,,,,,,,,,,,,,,,,0.1975,0.1965,1,False,False,0.0023,,,1.8244,False
1760630400000,0.1893,0.19054,0.18733,0.18986,439975892.0,2025-10-16 16:00:00,,,,,,,,,,,,,,,,,,,,,0.1971,0.1965,1,False,False,0.0024,,,0.5242,False
1760631300000,0.18986,0.19045,0.18833,0.18981,310365918.0,2025-10-16 16:15:00,,,,,,,,,,,,,,,,,,,,,0.1968,0.1965,1,False,False,0.0024,,,0.5131,False
1760632200000,0.18981,0.19134,0.18849,0.19043,261360585.0,2025-10-16 16:30:00,,,,,,,,,,,,,,,,,,,,,0.1965,0.1965,1,False,False,0.0024,,,0.264,False
1760633100000,0.19042,0.19485,0.19,0.19467,277794177.0,2025-10-16 16:45:00,1.0,0.19179,0.19134,16.0,,,,,,,,,,,,,,,,,0.1965,0.2016,-1,False,True,0.0026,,,0.1041,False
1760634000000,0.19467,0.19469,0.19179,0.19191,305716419.0,2025-10-16 17:00:00,,,,,,,,,,,,,,,,,,,,,0.1964,0.2015,-1,False,False,0.0026,,,0.2002,False
1760634900000,0.1919,0.19383,0.19185,0.19293,129402634.0,2025-10-16 17:15:00,,,,,,,,,,,,,,,,,,,,,0.1963,0.2014,-1,False,False,0.0025,,,1.2073,False
1760635800000,0.19293,0.19341,0.19125,0.19158,107215774.0,2025-10-16 17:30:00,,,,,,,,,,,,,,,,,,,,,0.1962,0.2013,-1,False,False,0.0025,,,0.3342,False
1760636700000,0.19158,0.19189,0.19061,0.19122,108357706.0,2025-10-16 17:45:00,,,,,,,,,,,,,,,,,,,,,0.1962,0.201,-1,False,False,0.0024,,,0.0209,False
1760637600000,0.19122,0.19136,0.18893,0.18962,141624169.0,2025-10-16 18:00:00,-1.0,0.19061,0.19027,20.0,,,,,,,,,,,,,,,,,0.196,0.2008,-1,False,False,0.0024,,,0.6037,False
1760638500000,0.18961,0.19027,0.18855,0.18905,155174105.0,2025-10-16 18:15:00,,,,,,,,,,,,,,,,,,,,,0.1958,0.2005,-1,False,False,0.0024,,,0.2388,False
1760639400000,0.18904,0.19111,0.18849,0.19041,143942450.0,2025-10-16 18:30:00,,,,,,,,,,,,,,,,,,,,,0.1956,0.2004,-1,False,False,0.0024,,,0.2976,False
1760640300000,0.19041,0.19126,0.18959,0.19043,102628643.0,2025-10-16 18:45:00,,,,,,,,,,,,,,,,,,,,,0.1956,0.2003,-1,False,False,0.0023,,,1.226,False
1760641200000,0.19043,0.19082,0.18858,0.18899,118114456.0,2025-10-16 19:00:00,-1.0,0.18959,0.18932,43.0,,,,,,,,,,,,,,,,,0.1955,0.2002,-1,False,False,0.0023,,,0.6465,False
1760642100000,0.189,0.18932,0.18696,0.18795,174067657.0,2025-10-16 19:15:00,-1.0,0.18858,0.18813,25.0,,,,,,,,,,,,,,,,,0.1954,0.2001,-1,False,False,0.0023,,,1.9746,False
1760643000000,0.18795,0.18813,0.18552,0.18693,188744926.0,2025-10-16 19:30:00,,,,,,,,,,,,,,,,,,,,,0.1953,0.2,-1,False,False,0.0024,,,0.2962,False
1760643900000,0.18693,0.18914,0.1861,0.18766,124569778.0,2025-10-16 19:45:00,,,,,,,,,,,,,,,,,,,,,0.1952,0.2,-1,False,False,0.0024,,,1.1966,False
1760644800000,0.18767,0.18852,0.18684,0.18692,74826102.0,2025-10-16 20:00:00,,,,,,,,,,,,,,,,,,,,,0.1951,0.1998,-1,False,False,0.0024,,,1.6523,False
1760645700000,0.18692,0.18772,0.18601,0.18686,59959253.0,2025-10-16 20:15:00,,,,,,,,,,,,,,,,,,,,,0.1947,0.1993,-1,False,False,0.0023,,,0.7402,False
1760646600000,0.18686,0.18712,0.18455,0.18559,175962608.0,2025-10-16 20:30:00,,,,,,,,,,,,,,,,,,,,,0.1942,0.1989,-1,False,False,0.0023,,,7.0346,False
1760647500000,0.18558,0.18665,0.18487,0.1855,89625510.0,2025-10-16 20:45:00,,,,,,,,,,,,,,,,,,,,,0.1937,0.1983,-1,False,False,0.0023,,,0.757,False
1760648400000,0.1855,0.18667,0.18538,0.18648,81705644.0,2025-10-16 21:00:00,,,,,,,,,,,,,,,,,,,,,0.1934,0.1979,-1,False,False,0.0022,,,0.1308,False
1760649300000,0.18647,0.18722,0.1861,0.18707,51136319.0,2025-10-16 21:15:00,1.0,0.18695,0.18667,34.0,,,,,,,,,,,,,,,,,0.1932,0.1975,-1,False,False,0.0021,,,0.5533,False
1760650200000,0.18706,0.18795,0.18695,0.18739,44818103.0,2025-10-16 21:30:00,1.0,0.18723,0.18722,34.0,,,,,,,,,,,,,,,,,0.1931,0.1972,-1,False,False,0.0021,,,0.1813,False
1760651100000,0.18739,0.18818,0.18723,0.18805,27230118.0,2025-10-16 21:45:00,,,,,,,,,,,,,,,,,,,,,0.1931,0.197,-1,False,False,0.002,,,0.5742,False
1760652000000,0.18806,0.18841,0.18688,0.18695,57533978.0,2025-10-16 22:00:00,,,,,,,,,,,,,,,,,,,,,0.1929,0.1968,-1,False,False,0.0019,,,1.6395,False
1760652900000,0.18695,0.18741,0.18672,0.18714,44120205.0,2025-10-16 22:15:00,,,,,,,,,,,,,,,,,,,,,0.1927,0.1964,-1,False,False,0.0019,,,0.3058,False
1760653800000,0.18713,0.18767,0.18676,0.18691,39271758.0,2025-10-16 22:30:00,,,,,,,,,,,,,,,,,,,,,0.1926,0.1962,-1,False,False,0.0018,,,0.1451,False
1760654700000,0.18692,0.1873,0.18625,0.18629,34551061.0,2025-10-16 22:45:00,,,,,,,,,,,,,,,,,,,,,0.1925,0.1959,-1,False,False,0.0017,,,0.1615,False
1760655600000,0.18629,0.18734,0.18602,0.18712,44484372.0,2025-10-16 23:00:00,,,,,,,,,,,,,,,,,,,,,0.1925,0.1959,-1,False,False,0.0017,,,0.3878,False
1760656500000,0.18711,0.18868,0.18711,0.18837,104289589.0,2025-10-16 23:15:00,1.0,0.18792,0.18734,41.0,,,,,,,,,,,,,,,,,0.1924,0.1958,-1,False,False,0.0017,,,3.059,False
1760657400000,0.18836,0.1888,0.18792,0.1881,54995564.0,2025-10-16 23:30:00,,,,,,,,,,,,,,,,,,,,,0.1924,0.1957,-1,False,False,0.0016,,,0.8158,False
1760658300000,0.1881,0.18878,0.18775,0.18838,50038961.0,2025-10-16 23:45:00,,,,,,,,,,,,,,,,,,,,,0.1923,0.1955,-1,False,False,0.0016,,,0.149,False
