timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1760621400000,2.358,2.373,2.353,2.365,830350.0,2025-10-16 13:30:00,,,,,-1.0,2.353,,,,,,,,,,,,,,,2.365,2.325,1,False,False,0.02,,,0.0,False
1760622300000,2.365,2.372,2.337,2.345,856178.0,2025-10-16 13:45:00,-1.0,2.353,2.35,4.0,,,,,,,,,,,,,,,,,2.3632,2.325,1,False,False,0.0211,,,0.0,False
1760623200000,2.345,2.35,2.314,2.323,2064683.0,2025-10-16 14:00:00,-1.0,2.337,2.332,4.0,,,,,,,,,,,,,,,,,2.3595,2.325,1,False,False,0.0221,2.35,2.314,90.758,True
1760624100000,2.322,2.332,2.298,2.313,2181787.0,2025-10-16 14:15:00,,,,,,,,,,,,,,,,,,,,,2.3553,2.325,1,False,False,0.023,2.35,2.314,0.0862,False
1760625000000,2.312,2.359,2.311,2.353,1594785.0,2025-10-16 14:30:00,,,,,,,,,,,,,,,,,,,,,2.3553,2.325,1,False,False,0.0248,2.35,2.314,0.4493,False
1760625900000,2.353,2.356,2.318,2.321,1325119.0,2025-10-16 14:45:00,,,,,,,,,,,,,,,,,,,,,2.3542,2.325,1,False,False,0.0257,2.35,2.314,0.2845,False
1760626800000,2.322,2.328,2.305,2.327,914549.0,2025-10-16 15:00:00,,,,,,,,,,,,,,,,,,,,,2.3534,2.325,1,False,False,0.0255,2.35,2.314,0.5492,False
1760627700000,2.327,2.332,2.292,2.296,954476.0,2025-10-16 15:15:00,,,,,,,,,,,,,,,,,,,,,2.3512,2.325,1,False,False,0.0266,2.35,2.314,0.0795,False
1760628600000,2.296,2.308,2.275,2.284,1758172.0,2025-10-16 15:30:00,-1.0,2.292,2.286,13.0,,,,,,,,,,,,,,,,,2.3483,2.325,1,False,False,0.027,2.35,2.314,1.6371,False
1760629500000,2.285,2.286,2.238,2.248,3010535.0,2025-10-16 15:45:00,-1.0,2.275,2.266,13.0,,,,,,,,,,,,,,,,,2.3432,2.325,1,False,False,0.0285,2.35,2.314,1.3236,False
1760630400000,2.249,2.266,2.205,2.253,3393134.0,2025-10-16 16:00:00,,,,,,,,,,,,,,,,,,,,,2.3389,2.325,1,False,False,0.0308,2.35,2.314,0.2376,False
1760631300000,2.253,2.262,2.233,2.243,1359539.0,2025-10-16 16:15:00,,,,,,,,,,,,,,,,,,,,,2.3342,2.325,1,False,False,0.0307,2.35,2.314,1.1297,False
1760632200000,2.244,2.263,2.223,2.248,1245867.0,2025-10-16 16:30:00,,,,,,,,,,,,,,,,,,,,,2.3302,2.325,1,False,False,0.0314,2.35,2.314,0.1424,False
1760633100000,2.248,2.3,2.242,2.299,1143928.0,2025-10-16 16:45:00,1.0,2.267,2.263,15.0,,,,,,,,,,,,,,,,,2.3295,2.325,1,False,False,0.0333,2.35,2.314,0.1935,False
1760634000000,2.299,2.3,2.267,2.267,1391367.0,2025-10-16 17:00:00,,,,,,,,,,,,,,,,,,,,,2.3277,2.325,1,False,False,0.0333,2.35,2.314,0.5099,False
1760634900000,2.267,2.293,2.267,2.281,909214.0,2025-10-16 17:15:00,,,,,,,,,,,,,,,,,,,,,2.3268,2.325,1,False,False,0.0327,2.35,2.314,0.8331,False
1760635800000,2.28,2.285,2.256,2.262,616538.0,2025-10-16 17:30:00,-1.0,2.267,2.264,20.0,,,,,,,,,,,,,,,,,2.3257,2.325,1,False,False,0.0325,2.35,2.314,0.7498,False
1760636700000,2.262,2.264,2.251,2.257,625397.0,2025-10-16 17:45:00,,,,,,,,,,,,,,,,,,,,,2.3245,2.3866,-1,False,True,0.0311,2.35,2.314,0.0334,False
1760637600000,2.258,2.26,2.228,2.237,1569099.0,2025-10-16 18:00:00,-1.0,2.251,2.247,20.0,,,,,,,,,,,,,,,,,2.3212,2.3835,-1,False,False,0.0311,2.35,2.314,3.5053,False
1760638500000,2.236,2.247,2.228,2.234,673261.0,2025-10-16 18:15:00,,,,,,,,,,,,,,,,,,,,,2.3184,2.379,-1,False,False,0.0303,2.35,2.314,0.9919,False
1760639400000,2.234,2.264,2.231,2.252,1001958.0,2025-10-16 18:30:00,,,,,,,,,,,,,,,,,,,,,2.3167,2.3776,-1,False,False,0.0305,2.35,2.314,0.855,False
1760640300000,2.252,2.262,2.24,2.251,513317.0,2025-10-16 18:45:00,,,,,,,,,,,,,,,,,,,,,2.3155,2.3752,-1,False,False,0.0299,2.35,2.314,0.8267,False
1760641200000,2.251,2.256,2.229,2.232,566423.0,2025-10-16 19:00:00,-1.0,2.24,2.239,279.0,,,,,,,,,,,,,,,,,2.3138,2.3732,-1,False,False,0.0297,2.35,2.314,0.1787,False
1760642100000,2.232,2.239,2.212,2.222,922163.0,2025-10-16 19:15:00,-1.0,2.229,2.226,25.0,,,,,,,,,,,,,,,,,2.3128,2.3718,-1,False,False,0.0295,2.35,2.314,1.0867,False
1760643000000,2.223,2.226,2.192,2.207,2280945.0,2025-10-16 19:30:00,,,,,,,,,,,,,,,,,,,,,2.3108,2.3704,-1,False,False,0.0298,2.35,2.314,2.4547,False
1760643900000,2.208,2.236,2.197,2.217,1108368.0,2025-10-16 19:45:00,,,,,,,,,,,,,,,,,,,,,2.3098,2.3704,-1,False,False,0.0305,2.35,2.314,0.7088,False
1760644800000,2.217,2.228,2.205,2.207,800011.0,2025-10-16 20:00:00,,,,,,,,,,,,,,,,,,,,,2.3081,2.368,-1,False,False,0.0299,2.35,2.314,0.3757,False
1760645700000,2.207,2.22,2.196,2.207,726063.0,2025-10-16 20:15:00,,,,,,,,,,,,,,,,,,,,,2.3033,2.3623,-1,False,False,0.0295,2.35,2.314,0.1254,False
1760646600000,2.207,2.209,2.181,2.197,1537726.0,2025-10-16 20:30:00,,,,,,,,,,,,,,,,,,,,,2.2989,2.3577,-1,False,False,0.0294,2.35,2.314,1.508,False
1760647500000,2.197,2.21,2.192,2.2,927576.0,2025-10-16 20:45:00,,,,,,,,,,,,,,,,,,,,,2.2938,2.351,-1,False,False,0.0286,2.35,2.314,0.5832,False
1760648400000,2.2,2.21,2.192,2.207,554916.0,2025-10-16 21:00:00,,,,,,,,,,,,,,,,,,,,,2.2905,2.3462,-1,False,False,0.0278,2.35,2.314,0.6062,False
1760649300000,2.207,2.216,2.203,2.212,497036.0,2025-10-16 21:15:00,,,,,,,,,,,,,,,,,,,,,2.2881,2.3416,-1,False,False,0.0268,2.35,2.314,0.1538,False
1760650200000,2.211,2.223,2.209,2.211,443914.0,2025-10-16 21:30:00,,,,,,,,,,,,,,,,,,,,,2.2865,2.3382,-1,False,False,0.0259,2.35,2.314,0.1636,False
1760651100000,2.211,2.225,2.21,2.223,369108.0,2025-10-16 21:45:00,,,,,,,,,,,,,,,,,,,,,2.2859,2.3361,-1,False,False,0.0251,2.35,2.314,0.2561,False
1760652000000,2.224,2.228,2.211,2.213,1085880.0,2025-10-16 22:00:00,,,,,,,,,,,,,,,,,,,,,2.2836,2.3326,-1,False,False,0.0245,2.35,2.314,3.0281,False
1760652900000,2.212,2.215,2.208,2.21,515969.0,2025-10-16 22:15:00,,,,,,,,,,,,,,,,,,,,,2.2813,2.3277,-1,False,False,0.0232,2.35,2.314,0.6988,False
1760653800000,2.21,2.214,2.199,2.202,451314.0,2025-10-16 22:30:00,-1.0,2.208,2.204,38.0,,,,,,,,,,,,,,,,,2.2792,2.3245,-1,False,False,0.0227,2.35,2.314,0.1666,False
1760654700000,2.201,2.204,2.189,2.191,554128.0,2025-10-16 22:45:00,,,,,,,,,,,,,,,,,,,,,2.2768,2.321,-1,False,False,0.0221,2.35,2.314,0.3055,False
1760655600000,2.19,2.209,2.186,2.206,923653.0,2025-10-16 23:00:00,,,,,,,,,,,,,,,,,,,,,2.2767,2.321,-1,False,False,0.0222,2.35,2.314,0.8975,False
1760656500000,2.205,2.218,2.202,2.203,727689.0,2025-10-16 23:15:00,,,,,,,,,,,,,,,,,,,,,2.2758,2.3193,-1,False,False,0.0217,2.35,2.314,0.3054,False
1760657400000,2.204,2.209,2.194,2.198,386093.0,2025-10-16 23:30:00,,,,,,,,,,,,,,,,,,,,,2.2751,2.3176,-1,False,False,0.0213,2.35,2.314,0.6867,False
1760658300000,2.198,2.206,2.189,2.198,409435.0,2025-10-16 23:45:00,,,,,,,,,,,,,,,,,,,,,2.2744,2.3163,-1,False,False,0.0209,2.35,2.314,0.0877,False
1760659200000,2.197,2.206,2.193,2.204,543246.0,2025-10-17 00:00:00,,,,,,,,,,,,,,,,,,,,,2.2739,2.3147,-1,False,False,0.0204,2.35,2.314,0.4767,False
1760660100000,2.203,2.214,2.201,2.208,652542.0,2025-10-17 00:15:00,,,,,,,,,,,,,,,,,,,,,2.2734,2.3131,-1,False,False,0.0199,2.35,2.314,0.2945,False
1760661000000,2.207,2.215,2.202,2.207,572917.0,2025-10-17 00:30:00,,,,,,,,,,,,,,,,,,,,,2.2734,2.3121,-1,False,False,0.0194,2.35,2.314,0.1812,False
1760661900000,2.206,2.214,2.197,2.214,415375.0,2025-10-17 00:45:00,,,,,,,,,,,,,,,,,,,,,2.2733,2.3117,-1,False,False,0.0192,2.35,2.314,0.7876,False
