timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1772627100000,1.842,1.846,1.84,1.84,29243.27,2026-03-04 12:25:00,,,,,-1.0,1.84,,,,,,,,,,,,,,,1.84,1.828,1,False,False,0.006,,,0.0,False
1772627400000,1.84,1.851,1.835,1.849,234113.34,2026-03-04 12:30:00,,,,,,,,,,,,,,,,,,,,,1.8408,1.828,1,False,False,0.0067,,,0.0,False
1772627700000,1.85,1.852,1.844,1.847,98161.67,2026-03-04 12:35:00,,,,,,,,,,,,,,,,,,,,,1.8412,1.828,1,False,False,0.0068,,,0.1658,False
1772628000000,1.847,1.851,1.846,1.849,31587.05,2026-03-04 12:40:00,,,,,,,,,,,,,,,,,,,,,1.8417,1.8283,1,False,False,0.0067,,,0.1967,False
1772628300000,1.848,1.849,1.846,1.849,48508.6,2026-03-04 12:45:00,,,,,,,,,,,,,,,,,,,,,1.8421,1.8293,1,False,False,0.0064,,,0.1661,False
1772628600000,1.848,1.849,1.841,1.843,30328.33,2026-03-04 12:50:00,,,,,,,,,,,,,,,,,,,,,1.8421,1.8293,1,False,False,0.0065,,,0.1289,False
1772628900000,1.843,1.848,1.842,1.847,24071.55,2026-03-04 12:55:00,,,,,,,,,,,,,,,,,,,,,1.8423,1.8293,1,False,False,0.0065,,,0.0758,False
1772629200000,1.847,1.854,1.846,1.851,45367.0,2026-03-04 13:00:00,1.0,1.851,1.848,11.0,,,,,,,,,,,,,,,,,1.8426,1.8294,1,False,False,0.0066,,,0.3462,False
1772629500000,1.852,1.861,1.851,1.856,111764.08,2026-03-04 13:05:00,1.0,1.856,1.854,10.0,,,,,,,,,,,,,,,,,1.8432,1.8295,1,False,False,0.0068,,,0.6123,False
1772629800000,1.856,1.859,1.856,1.859,31186.93,2026-03-04 13:10:00,,,,,,,,,,,,,,,,,,,,,1.844,1.8309,1,False,False,0.0066,,,0.3186,False
1772630100000,1.859,1.86,1.855,1.856,33636.69,2026-03-04 13:15:00,,,,,,,,,,,,,,,,,,,,,1.8444,1.8315,1,False,False,0.0065,,,0.0357,False
1772630400000,1.856,1.858,1.851,1.853,30794.52,2026-03-04 13:20:00,,,,,,,,,,,,,,,,,,,,,1.8447,1.8317,1,False,False,0.0065,,,0.0384,False
1772630700000,1.852,1.858,1.852,1.858,20250.41,2026-03-04 13:25:00,,,,,,,,,,,,,,,,,,,,,1.8452,1.8323,1,False,False,0.0065,,,0.4987,False
1772631000000,1.857,1.859,1.853,1.858,57613.47,2026-03-04 13:30:00,,,,,,,,,,,,,,,,,,,,,1.8456,1.8328,1,False,False,0.0064,,,2.7584,False
1772631300000,1.858,1.858,1.853,1.856,11960.3,2026-03-04 13:35:00,,,,,,,,,,,,,,,,,,,,,1.8459,1.8333,1,False,False,0.0063,,,0.9827,False
1772631600000,1.855,1.858,1.854,1.854,14839.74,2026-03-04 13:40:00,,,,,,,,,,,,,,,,,,,,,1.846,1.8337,1,False,False,0.0062,,,0.2783,False
1772631900000,1.854,1.855,1.852,1.853,14184.06,2026-03-04 13:45:00,,,,,,,,,,,,,,,,,,,,,1.8461,1.8343,1,False,False,0.0059,,,0.0523,False
1772632200000,1.852,1.855,1.85,1.855,16219.38,2026-03-04 13:50:00,,,,,,,,,,,,,,,,,,,,,1.8462,1.8345,1,False,False,0.0059,,,0.1712,False
1772632500000,1.854,1.86,1.854,1.858,24555.9,2026-03-04 13:55:00,1.0,1.857,1.855,20.0,,,,,,,,,,,,,,,,,1.8465,1.8347,1,False,False,0.0059,,,0.6334,False
1772632800000,1.857,1.866,1.857,1.86,76475.26,2026-03-04 14:00:00,,,,,,,,,,,,,,,,,,,,,1.847,1.8348,1,False,False,0.0061,,,3.0031,False
1772633100000,1.861,1.862,1.855,1.858,124981.01,2026-03-04 14:05:00,,,,,,,,,,,,,,,,,,,,,1.8473,1.835,1,False,False,0.0062,,,0.7262,False
1772633400000,1.859,1.866,1.859,1.866,32984.7,2026-03-04 14:10:00,,,,,,,,,,,,,,,,,,,,,1.8479,1.8353,1,False,False,0.0063,,,0.8451,False
1772633700000,1.865,1.867,1.86,1.866,27860.49,2026-03-04 14:15:00,,,,,,,,,,,,,,,,,,,,,1.8484,1.8357,1,False,False,0.0063,,,0.1672,False
1772634000000,1.865,1.875,1.864,1.871,113294.37,2026-03-04 14:20:00,,,,,,,,,,,,,,,,,,,,,1.849,1.8357,1,False,False,0.0067,,,3.3461,False
1772634300000,1.87,1.872,1.866,1.871,45302.76,2026-03-04 14:25:00,,,,,,,,,,,,,,,,,,,,,1.8499,1.8366,1,False,False,0.0066,,,0.5198,False
1772634600000,1.87,1.891,1.87,1.882,251703.65,2026-03-04 14:30:00,,,,,,,,,,,,,,,,,,,,,1.8519,1.8366,1,False,False,0.0077,,,4.0166,False
1772634900000,1.883,1.884,1.867,1.873,153837.78,2026-03-04 14:35:00,,,,,,,,,,,,,,,,,,,,,1.8525,1.8366,1,False,False,0.0083,,,0.2356,False
1772635200000,1.873,1.875,1.863,1.866,144525.31,2026-03-04 14:40:00,,,,,,,,,,,,,,,,,,,,,1.8526,1.8366,1,False,False,0.0086,,,0.0362,False
1772635500000,1.865,1.869,1.86,1.867,115807.3,2026-03-04 14:45:00,,,,,,,,,,,,,,,,,,,,,1.8529,1.8366,1,False,False,0.0086,,,0.118,False
1772635800000,1.867,1.87,1.861,1.867,110266.21,2026-03-04 14:50:00,,,,,,,,,,,,,,,,,,,,,1.8532,1.8366,1,False,False,0.0086,,,0.0279,False
1772636100000,1.866,1.87,1.863,1.865,22350.49,2026-03-04 14:55:00,,,,,,,,,,,,,,,,,,,,,1.8535,1.8366,1,False,False,0.0085,,,0.4765,False
1772636400000,1.864,1.877,1.864,1.869,174078.5,2026-03-04 15:00:00,,,,,,,,,,,,,,,,,,,,,1.8539,1.8366,1,False,False,0.0088,,,3.9346,False
1772636700000,1.87,1.876,1.868,1.871,127609.58,2026-03-04 15:05:00,,,,,,,,,,,,,,,,,,,,,1.8542,1.8367,1,False,False,0.0088,,,0.1066,False
1772637000000,1.87,1.875,1.867,1.869,79299.74,2026-03-04 15:10:00,,,,,,,,,,,,,,,,,,,,,1.8545,1.837,1,False,False,0.0087,,,0.1508,False
1772637300000,1.869,1.877,1.869,1.877,36465.73,2026-03-04 15:15:00,,,,,,,,,,,,,,,,,,,,,1.8551,1.8378,1,False,False,0.0087,,,0.219,False
1772637600000,1.878,1.88,1.874,1.876,27029.37,2026-03-04 15:20:00,,,,,,,,,,,,,,,,,,,,,1.8555,1.8385,1,False,False,0.0085,,,0.1051,False
1772637900000,1.876,1.893,1.875,1.893,106704.26,2026-03-04 15:25:00,1.0,1.881,1.88,38.0,,,,,,,,,,,,,,,,,1.8568,1.8385,1,False,False,0.0092,,,1.3743,False
1772638200000,1.892,1.896,1.881,1.883,134214.44,2026-03-04 15:30:00,,,,,,,,,,,,,,,,,,,,,1.8572,1.8385,1,False,False,0.0096,,,0.1143,False
1772638500000,1.882,1.885,1.877,1.88,70169.6,2026-03-04 15:35:00,,,,,,,,,,,,,,,,,,,,,1.8575,1.8385,1,False,False,0.0095,,,0.2124,False
1772638800000,1.881,1.884,1.878,1.881,24062.15,2026-03-04 15:40:00,,,,,,,,,,,,,,,,,,,,,1.8575,1.839,1,False,False,0.0092,,,0.2908,False
1772639100000,1.881,1.885,1.88,1.881,61565.27,2026-03-04 15:45:00,,,,,,,,,,,,,,,,,,,,,1.8578,1.8399,1,False,False,0.0089,,,0.6813,False
1772639400000,1.881,1.889,1.88,1.886,31744.64,2026-03-04 15:50:00,,,,,,,,,,,,,,,,,,,,,1.8587,1.8408,1,False,False,0.0089,,,0.2157,False
1772639700000,1.887,1.896,1.885,1.895,78640.08,2026-03-04 15:55:00,1.0,1.89,1.889,44.0,,,,,,,,,,,,,,,,,1.8601,1.842,1,False,False,0.0091,,,1.3286,False
1772640000000,1.896,1.901,1.89,1.894,94110.46,2026-03-04 16:00:00,,,,,1.0,1.901,1.0,,1.901,87.0,,,,,,,1.0,1.89875,2626.0,3404.0,1.8614,1.843,1,False,False,0.0092,,,0.1688,False
