timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1772626800000,70767.4,70783.5,70635.0,70646.5,746.108,2026-03-04 12:20:00,,,,,-1.0,70635.0,,,,,,,,,,,-1.0,70623.9,354.0,445.0,70646.5,70349.5,1,False,False,148.5,,,0.0,False
1772627100000,70646.5,70768.3,70589.4,70603.2,1142.879,2026-03-04 12:25:00,,,,,,,,,,,,,,,,,,,,,70642.5636,70349.5,1,False,False,150.6714,,,0.0,False
1772627400000,70603.2,70787.3,70559.7,70775.6,799.034,2026-03-04 12:30:00,,,,,,,,,,,,,,,,,,,,,70649.8022,70349.5,1,False,False,156.1663,,,1.1315,False
1772627700000,70775.6,70931.2,70600.0,70888.8,1262.636,2026-03-04 12:35:00,1.0,70857.2,70787.3,5.0,,,,,,,,,,,,,,,,,70665.8085,70349.5,1,False,False,168.6687,,,1.6854,False
1772628000000,70888.9,71041.9,70857.2,70943.2,1626.045,2026-03-04 12:40:00,,,,,,,,,,,,,,,,,,,,,70685.3285,70349.5,1,False,False,169.8138,,,0.7794,False
1772628300000,70943.2,71136.3,70850.0,71104.2,1823.65,2026-03-04 12:45:00,1.0,71045.4,71041.9,333.0,,,,,,,,,,,,,,,,,70717.3492,70361.0807,1,False,False,178.1343,,,0.366,False
1772628600000,71104.1,71161.5,71045.4,71106.3,1632.137,2026-03-04 12:50:00,,,,,,,,,,,,,,,,,,,,,70747.1042,70399.6977,1,False,False,173.7032,,,0.344,False
1772628900000,71106.3,71340.0,71081.5,71307.8,1598.08,2026-03-04 12:55:00,1.0,71240.0,71161.5,11.0,,,,,,,,,,,,,,,,,70792.1744,70432.6541,1,False,False,179.7602,,,0.069,False
1772629200000,71307.9,71382.0,71240.0,71283.8,820.961,2026-03-04 13:00:00,,,,,,,,,,,,,,,,,,,,,70829.0743,70474.9483,1,False,False,177.063,,,1.6813,False
1772629500000,71283.7,71589.8,71278.2,71490.8,2076.14,2026-03-04 13:05:00,,,,,,,,,,,,,,,,,,,,,70880.9595,70507.6139,1,False,False,186.6728,,,4.5541,False
1772629800000,71490.7,71517.4,71251.7,71266.1,1084.044,2026-03-04 13:10:00,,,,,,,,,,,,,,,,,,,,,70898.9837,70514.3485,1,False,False,192.3176,,,0.8819,False
1772630100000,71266.1,71380.3,71236.2,71292.8,686.526,2026-03-04 13:15:00,,,,,,,,,,,,,,,,,,,,,70917.7909,70540.0439,1,False,False,188.8735,,,0.6339,False
1772630400000,71292.7,71345.2,71177.7,71220.7,981.921,2026-03-04 13:20:00,,,,,,,,,,,,,,,,,,,,,70929.9314,70555.2379,1,False,False,187.3468,,,0.7363,False
1772630700000,71220.7,71399.6,71220.7,71327.2,411.601,2026-03-04 13:25:00,,,,,,,,,,,,,,,,,,,,,70947.3803,70573.8934,1,False,False,186.7435,,,1.0042,False
1772631000000,71327.0,71389.5,71233.3,71297.4,496.543,2026-03-04 13:30:00,,,,,,,,,,,,,,,,,,,,,70961.7764,70592.6528,1,False,False,184.5618,,,0.346,False
1772631300000,71297.5,71424.6,71216.7,71418.9,486.134,2026-03-04 13:35:00,,,,,,,,,,,,,,,,,,,,,70984.1231,70611.6655,1,False,False,186.2288,,,0.0353,False
1772631600000,71418.8,71533.3,71377.0,71410.0,1301.145,2026-03-04 13:40:00,,,,,,,,,,,,,,,,,,,,,71002.2711,70634.0891,1,False,False,184.091,,,2.8287,False
1772631900000,71410.1,71440.8,71351.0,71361.7,407.655,2026-03-04 13:45:00,,,,,,,,,,,,,,,,,,,,,71014.2635,70659.5516,1,False,False,177.356,,,0.8897,False
1772632200000,71361.8,71427.6,71287.3,71388.6,416.037,2026-03-04 13:50:00,,,,,,,,,,,,,,,,,,,,,71026.2835,70676.8653,1,False,False,174.7091,,,0.0252,False
1772632500000,71388.5,71510.5,71341.9,71447.9,477.139,2026-03-04 13:55:00,,,,,,,,,,,,,,,,,,,,,71037.6469,70689.1014,1,False,False,174.2727,,,0.1858,False
1772632800000,71448.0,71522.0,71367.0,71411.0,524.108,2026-03-04 14:00:00,,,,,,,,,,,,,,,,,,,,,71046.3077,70700.5155,1,False,False,172.8961,,,0.1515,False
1772633100000,71411.0,71724.5,71363.0,71525.7,1795.995,2026-03-04 14:05:00,,,,,,,,,,,,,,,,,,,,,71054.8838,70700.5155,1,False,False,186.3678,,,3.8718,False
1772633400000,71525.7,71798.6,71512.2,71763.9,1016.318,2026-03-04 14:10:00,,,,,,,,,,,,,,,,,,,,,71078.3006,70700.5155,1,False,False,193.513,,,0.474,False
1772633700000,71763.8,71986.5,71587.7,71682.0,2740.962,2026-03-04 14:15:00,,,,,,,,,,,,,,,,,,,,,71087.0715,70700.5155,1,False,False,208.1763,,,1.7929,False
1772634000000,71682.0,71689.6,71541.8,71551.3,1071.12,2026-03-04 14:20:00,,,,,,,,,,,,,,,,,,,,,71097.9896,70700.5155,1,False,False,203.8637,,,0.6191,False
1772634300000,71551.2,71717.1,71542.9,71698.5,843.641,2026-03-04 14:25:00,,,,,,,,,,,,,,,,,,,,,71116.1006,70712.6108,1,False,False,201.7449,,,0.2045,False
1772634600000,71698.5,72630.0,71637.4,72397.9,10610.454,2026-03-04 14:30:00,,,,,,,,,,,,,,,,,,,,,71190.2417,70712.6108,1,False,False,258.2345,72630.0,71637.4,11.0447,True
1772634900000,72398.0,72428.2,71689.0,71871.2,4774.65,2026-03-04 14:35:00,,,,,,,,,,,,,,,,,,,,,71205.0745,70712.6108,1,False,False,292.5892,72630.0,71637.4,0.156,False
1772635200000,71871.2,72078.5,71353.4,71379.1,5959.469,2026-03-04 14:40:00,-1.0,71689.0,71636.4,30.0,,,,,,,,,,,,,,,,,71205.5475,70712.6108,1,False,False,323.4829,72630.0,71637.4,0.0706,False
