timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1772626800000,1.338,1.34,1.337,1.337,206307.0,2026-03-04 12:20:00,,,,,1.0,1.34,,,,,,,,,,,,,,,1.337,1.331,1,False,False,0.003,,,0.0,False
1772627100000,1.338,1.34,1.33,1.33,422951.0,2026-03-04 12:25:00,-1.0,1.337,1.335,3.0,,,,,,,,,,,,,,,,,1.3364,1.331,1,False,False,0.0035,,,0.0,False
1772627400000,1.33,1.335,1.325,1.332,903399.0,2026-03-04 12:30:00,,,,,,,,,,,,,,,,,,,,,1.3361,1.331,1,False,False,0.004,,,2.1635,False
1772627700000,1.332,1.337,1.33,1.336,567798.0,2026-03-04 12:35:00,,,,,,,,,,,,,,,,,,,,,1.3361,1.331,1,False,False,0.0042,,,0.7193,False
1772628000000,1.335,1.335,1.33,1.33,284137.0,2026-03-04 12:40:00,,,,,,,,,,,,,,,,,,,,,1.3359,1.331,1,False,False,0.0043,,,0.7645,False
1772628300000,1.331,1.332,1.326,1.33,425496.0,2026-03-04 12:45:00,,,,,,,,,,,,,,,,,,,,,1.3357,1.331,1,False,False,0.0044,,,0.7129,False
1772628600000,1.33,1.336,1.327,1.333,690287.0,2026-03-04 12:50:00,,,,,,,,,,,,,,,,,,,,,1.3357,1.331,1,False,False,0.0048,,,0.9678,False
1772628900000,1.332,1.335,1.332,1.333,178042.0,2026-03-04 12:55:00,,,,,,,,,,,,,,,,,,,,,1.3356,1.331,1,False,False,0.0046,,,1.225,False
1772629200000,1.333,1.335,1.33,1.333,254717.0,2026-03-04 13:00:00,,,,,,,,,,,,,,,,,,,,,1.3356,1.331,1,False,False,0.0047,,,0.6413,False
1772629500000,1.333,1.339,1.331,1.332,584715.0,2026-03-04 13:05:00,,,,,,,,,,,,,,,,,,,,,1.3355,1.331,1,False,False,0.0049,,,2.0342,False
1772629800000,1.332,1.334,1.329,1.332,547788.0,2026-03-04 13:10:00,,,,,,,,,,,,,,,,,,,,,1.3355,1.331,1,False,False,0.0049,,,0.0925,False
1772630100000,1.331,1.334,1.328,1.329,685155.0,2026-03-04 13:15:00,,,,,,,,,,,,,,,,,,,,,1.3353,1.331,1,False,False,0.005,,,0.3655,False
1772630400000,1.329,1.331,1.327,1.328,330111.0,2026-03-04 13:20:00,,,,,,,,,,,,,,,,,,,,,1.3351,1.331,1,False,False,0.0049,,,0.8053,False
1772630700000,1.328,1.334,1.328,1.333,243015.0,2026-03-04 13:25:00,1.0,1.332,1.331,15.0,,,,,,,,,,,,,,,,,1.335,1.331,1,False,False,0.005,,,0.4343,False
1772631000000,1.333,1.337,1.332,1.335,511823.0,2026-03-04 13:30:00,,,,,,,,,,,,,,,,,,,,,1.335,1.331,1,False,False,0.005,,,1.8431,False
1772631300000,1.336,1.338,1.332,1.337,379655.0,2026-03-04 13:35:00,,,,,,,,,,,,,,,,,,,,,1.3351,1.331,1,False,False,0.0051,,,0.4086,False
1772631600000,1.338,1.34,1.336,1.34,394545.0,2026-03-04 13:40:00,,,,,,,,,,,,,,,,,,,,,1.3352,1.331,1,False,False,0.005,,,0.0609,False
1772631900000,1.34,1.341,1.337,1.34,349289.0,2026-03-04 13:45:00,,,,,,,,,,,,,,,,,,,,,1.3353,1.331,1,False,False,0.0049,,,0.1825,False
1772632200000,1.339,1.34,1.336,1.336,338668.0,2026-03-04 13:50:00,,,,,,,,,,,,,,,,,,,,,1.3353,1.331,1,False,False,0.0049,,,0.0537,False
1772632500000,1.336,1.341,1.335,1.338,296951.0,2026-03-04 13:55:00,,,,,,,,,,,,,,,,,,,,,1.3354,1.331,1,False,False,0.0049,,,0.2184,False
1772632800000,1.339,1.34,1.337,1.338,297889.0,2026-03-04 14:00:00,,,,,,,,,,,,,,,,,,,,,1.3354,1.331,1,False,False,0.0048,,,0.0076,False
1772633100000,1.338,1.342,1.337,1.339,414023.0,2026-03-04 14:05:00,,,,,,,,,,,,,,,,,,,,,1.3355,1.331,1,False,False,0.0048,,,0.9397,False
1772633400000,1.339,1.346,1.339,1.346,566703.0,2026-03-04 14:10:00,1.0,1.345,1.342,28.0,,,,,,,,,,,,,,,,,1.3359,1.331,1,False,False,0.005,,,0.8678,False
1772633700000,1.345,1.356,1.345,1.354,1038417.0,2026-03-04 14:15:00,1.0,1.347,1.346,28.0,,,,,,,,,,,,,,,,,1.3368,1.331,1,False,False,0.0054,,,2.1116,False
1772634000000,1.354,1.355,1.347,1.348,313226.0,2026-03-04 14:20:00,,,,,,,,,,,,,,,,,,,,,1.3372,1.331,1,False,False,0.0056,,,1.6405,False
1772634300000,1.349,1.371,1.348,1.363,3209314.0,2026-03-04 14:25:00,1.0,1.361,1.355,27.0,,,,,,,,,,,,,,,,,1.3386,1.331,1,False,False,0.0068,1.371,1.348,23.4898,True
1772634600000,1.363,1.374,1.361,1.369,1305674.0,2026-03-04 14:30:00,,,,,,,,,,,,,,,,,,,,,1.3405,1.331,1,False,False,0.0073,1.371,1.348,0.2135,False
1772634900000,1.368,1.368,1.349,1.358,1293588.0,2026-03-04 14:35:00,-1.0,1.361,1.359,37.0,,,,,,,,,,,,,,,,,1.3411,1.331,1,False,False,0.0082,1.371,1.348,0.0033,False
1772635200000,1.358,1.359,1.339,1.342,1249178.0,2026-03-04 14:40:00,-1.0,1.349,1.346,30.0,,,,,,,,,,,,,,,,,1.3411,1.331,1,False,False,0.009,1.371,1.348,0.0123,False
1772635500000,1.341,1.346,1.337,1.345,740533.0,2026-03-04 14:45:00,,,,,,,,,,,,,,,,,,,,,1.3411,1.331,1,False,False,0.009,1.371,1.348,0.1453,False
1772635800000,1.345,1.346,1.338,1.339,1074854.0,2026-03-04 14:50:00,,,,,,,,,,,,,,,,,,,,,1.3411,1.331,1,False,False,0.0089,1.371,1.348,0.1604,False
1772636100000,1.34,1.343,1.336,1.338,361049.0,2026-03-04 14:55:00,,,,,,,,,,,,,,,,,,,,,1.3411,1.331,1,False,False,0.0088,1.371,1.348,0.2369,False
1772636400000,1.337,1.349,1.326,1.328,1928016.0,2026-03-04 15:00:00,,,,,,,,,,,,,,,,,,,,,1.341,1.331,1,False,False,0.0098,1.371,1.348,1.5272,False
1772636700000,1.328,1.339,1.326,1.336,732112.0,2026-03-04 15:05:00,,,,,,,,,,,,,,,,,,,,,1.341,1.331,1,False,False,0.01,1.371,1.348,0.2055,False
1772637000000,1.335,1.336,1.326,1.327,455980.0,2026-03-04 15:10:00,,,,,,,,,,,,,,,,,,,,,1.3409,1.331,1,False,False,0.01,1.371,1.348,0.1229,False
1772637300000,1.327,1.342,1.326,1.341,653992.0,2026-03-04 15:15:00,1.0,1.338,1.336,47.0,,,,,,,,,,,,,,,,,1.3409,1.331,1,False,False,0.0105,1.371,1.348,0.1423,False
1772637600000,1.34,1.345,1.338,1.34,533359.0,2026-03-04 15:20:00,,,,,,,,,,,,,,,,,,,,,1.3409,1.331,1,False,False,0.0102,1.371,1.348,0.1302,False
1772637900000,1.341,1.36,1.339,1.357,1251399.0,2026-03-04 15:25:00,1.0,1.348,1.345,39.0,,,,,,,,,,,,,,,,,1.3409,1.331,1,False,False,0.011,1.371,1.348,0.9631,False
1772638200000,1.358,1.359,1.348,1.349,739738.0,2026-03-04 15:30:00,,,,,,,,,,,,,,,,,,,,,1.3409,1.331,1,False,False,0.011,1.371,1.348,0.2864,False
1772638500000,1.348,1.35,1.343,1.345,510971.0,2026-03-04 15:35:00,,,,,,,,,,,,,,,,,,,,,1.341,1.331,1,False,False,0.0107,1.371,1.348,0.2142,False
