timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1772627100000,1.378,1.385,1.378,1.38,53174.8,2026-03-04 12:25:00,,,,,-1.0,1.378,,,,,,,,,,,-1.0,1.3806666,233.0,325.0,1.38,1.366,1,False,False,0.007,,,0.0,False
1772627400000,1.379,1.383,1.375,1.383,65328.0,2026-03-04 12:30:00,,,,,,,,,,,,,,,,,,,,,1.3803,1.3661,1,False,False,0.0071,,,0.0,False
1772627700000,1.382,1.385,1.377,1.384,74933.2,2026-03-04 12:35:00,,,,,,,,,,,,,,,,,,,,,1.3806,1.3663,1,False,False,0.0071,,,1.2866,False
1772628000000,1.384,1.386,1.383,1.383,28467.2,2026-03-04 12:40:00,,,,,,,,,,,,,,,,,,,,,1.3807,1.3671,1,False,False,0.0068,,,6.5567,False
1772628300000,1.383,1.392,1.382,1.39,67655.8,2026-03-04 12:45:00,1.0,1.388,1.386,6.0,,,,,,,,,,,,,,,,,1.3814,1.3673,1,False,False,0.0071,,,4.1346,False
1772628600000,1.39,1.391,1.388,1.389,49439.4,2026-03-04 12:50:00,,,,,,,,,,,,,,,,,,,,,1.3819,1.3684,1,False,False,0.0068,,,0.4157,False
1772628900000,1.389,1.395,1.388,1.392,38262.9,2026-03-04 12:55:00,,,,,,,,,,,,,,,,,,,,,1.3826,1.369,1,False,False,0.0068,,,0.365,False
1772629200000,1.392,1.401,1.391,1.399,69353.3,2026-03-04 13:00:00,1.0,1.398,1.395,131.0,,,,,,,,,,,,,,,,,1.3838,1.3698,1,False,False,0.007,,,1.3822,False
1772629500000,1.399,1.411,1.398,1.402,164113.3,2026-03-04 13:05:00,,,,,,,,,,,,,,,,,,,,,1.3852,1.3703,1,False,False,0.0074,,,2.2793,False
1772629800000,1.401,1.403,1.4,1.401,66701.2,2026-03-04 13:10:00,,,,,,,,,,,,,,,,,,,,,1.3863,1.3721,1,False,False,0.0071,,,0.8769,False
1772630100000,1.402,1.405,1.399,1.399,58299.9,2026-03-04 13:15:00,,,,,,,,,,,,,,,,,,,,,1.3871,1.373,1,False,False,0.0071,,,0.1806,False
1772630400000,1.4,1.407,1.4,1.405,62699.0,2026-03-04 13:20:00,,,,,,,,,,,,,,,,,,,,,1.3883,1.374,1,False,False,0.0071,,,0.1074,False
1772630700000,1.405,1.409,1.401,1.409,72829.6,2026-03-04 13:25:00,,,,,,,,,,,,,,,,,,,,,1.3897,1.3753,1,False,False,0.0072,,,0.2297,False
1772631000000,1.409,1.413,1.406,1.412,71190.4,2026-03-04 13:30:00,,,,,,,,,,,,,,,,,,,,,1.3912,1.3769,1,False,False,0.0072,,,0.032,False
1772631300000,1.411,1.411,1.405,1.408,85740.8,2026-03-04 13:35:00,,,,,,,,,,,,,,,,,,,,,1.3921,1.3778,1,False,False,0.0072,,,0.3119,False
1772631600000,1.408,1.413,1.408,1.409,111832.5,2026-03-04 13:40:00,,,,,,,,,,,,,,,,,,,,,1.393,1.379,1,False,False,0.007,,,0.5649,False
1772631900000,1.409,1.411,1.404,1.408,80862.1,2026-03-04 13:45:00,,,,,,,,,,,,,,,,,,,,,1.3938,1.3798,1,False,False,0.007,,,0.53,False
1772632200000,1.408,1.409,1.4,1.407,74944.2,2026-03-04 13:50:00,,,,,,,,,,,,,,,,,,,,,1.3944,1.3802,1,False,False,0.0071,,,0.1389,False
1772632500000,1.407,1.411,1.406,1.407,34519.4,2026-03-04 13:55:00,,,,,,,,,,,,,,,,,,,,,1.395,1.381,1,False,False,0.007,,,1.1057,False
1772632800000,1.407,1.408,1.404,1.407,37264.5,2026-03-04 14:00:00,,,,,,,,,,,,,,,,,,,,,1.3955,1.382,1,False,False,0.0068,,,0.2761,False
1772633100000,1.407,1.411,1.405,1.407,76098.4,2026-03-04 14:05:00,,,,,,,,,,,,,,,,,,,,,1.396,1.3825,1,False,False,0.0067,,,4.4142,False
1772633400000,1.406,1.411,1.404,1.408,49420.5,2026-03-04 14:10:00,,,,,,,,,,,,,,,,,,,,,1.3964,1.3829,1,False,False,0.0067,,,0.8931,False
1772633700000,1.407,1.413,1.403,1.409,71361.5,2026-03-04 14:15:00,,,,,,,,,,,,,,,,,,,,,1.3967,1.3829,1,False,False,0.007,,,1.0701,False
1772634000000,1.409,1.412,1.405,1.411,33975.7,2026-03-04 14:20:00,,,,,,,,,,,,,,,,,,,,,1.3972,1.3832,1,False,False,0.007,,,1.2166,False
1772634300000,1.411,1.416,1.41,1.416,59881.8,2026-03-04 14:25:00,1.0,1.414,1.412,27.0,,,,,,,,,,,,,,,,,1.3982,1.3844,1,False,False,0.0069,,,1.6314,False
1772634600000,1.416,1.441,1.414,1.434,425263.7,2026-03-04 14:30:00,,,,,,,,,,,,,,,,,,,,,1.4005,1.3844,1,False,False,0.0083,1.441,1.414,11.8343,True
1772634900000,1.434,1.437,1.416,1.424,424690.8,2026-03-04 14:35:00,,,,,,,,,,,,,,,,,,,,,1.4012,1.3844,1,False,False,0.0092,1.441,1.414,0.0007,False
1772635200000,1.423,1.426,1.41,1.411,206014.9,2026-03-04 14:40:00,-1.0,1.416,1.413,30.0,,,,,,,,,,,,,,,,,1.4012,1.3844,1,False,False,0.0097,1.441,1.414,0.2753,False
1772635500000,1.41,1.413,1.404,1.409,274846.8,2026-03-04 14:45:00,,,,,,,,,,,,,,,,,,,,,1.4012,1.3844,1,False,False,0.0097,1.441,1.414,0.1765,False
1772635800000,1.408,1.41,1.401,1.406,140928.1,2026-03-04 14:50:00,,,,,,,,,,,,,,,,,,,,,1.4012,1.3844,1,False,False,0.0096,1.441,1.414,0.2626,False
1772636100000,1.406,1.415,1.405,1.411,104990.2,2026-03-04 14:55:00,,,,,,,,,,,,,,,,,,,,,1.4013,1.3844,1,False,False,0.0097,1.441,1.414,0.1354,False
1772636400000,1.41,1.423,1.409,1.412,296717.7,2026-03-04 15:00:00,,,,,,,,,,,,,,,,,,,,,1.4013,1.3844,1,False,False,0.01,1.441,1.414,0.9618,False
1772636700000,1.413,1.423,1.41,1.422,204598.5,2026-03-04 15:05:00,,,,,,,,,,,,,,,,,,,,,1.4017,1.3844,1,False,False,0.0102,1.441,1.414,0.1627,False
1772637000000,1.422,1.424,1.414,1.415,79068.2,2026-03-04 15:10:00,,,,,,,,,,,,,,,,,,,,,1.4019,1.3844,1,False,False,0.0102,1.441,1.414,0.3173,False
1772637300000,1.415,1.424,1.414,1.424,75880.1,2026-03-04 15:15:00,,,,,,,,,,,,,,,,,,,,,1.4023,1.3844,1,False,False,0.0102,1.441,1.414,0.0208,False
1772637600000,1.424,1.432,1.423,1.427,145493.6,2026-03-04 15:20:00,1.0,1.425,1.424,38.0,,,,,,,,,,,,,,,,,1.4027,1.3844,1,False,False,0.0101,1.441,1.414,0.4702,False
1772637900000,1.426,1.443,1.425,1.441,195553.4,2026-03-04 15:25:00,,,,,,,,,,,,,,,,,,,,,1.4038,1.3844,1,False,False,0.0106,1.441,1.414,0.4745,False
1772638200000,1.442,1.443,1.426,1.433,239798.3,2026-03-04 15:30:00,,,,,,,,,,,,,,,,,,,,,1.4044,1.3844,1,False,False,0.0111,1.441,1.414,0.3107,False
1772638500000,1.432,1.434,1.425,1.426,120653.7,2026-03-04 15:35:00,,,,,,,,,,,,,,,,,,,,,1.4045,1.3844,1,False,False,0.0109,1.441,1.414,0.7129,False
1772638800000,1.427,1.431,1.424,1.427,85438.0,2026-03-04 15:40:00,,,,,,,,,,,,,,,,,,,,,1.4047,1.3844,1,False,False,0.0107,1.441,1.414,0.403,False
1772639100000,1.427,1.431,1.426,1.429,88158.5,2026-03-04 15:45:00,,,,,,,,,,,,,,,,,,,,,1.4048,1.3844,1,False,False,0.0103,1.441,1.414,0.0448,False
1772639400000,1.429,1.435,1.428,1.432,129683.9,2026-03-04 15:50:00,1.0,1.432,1.431,45.0,,,,,,,,,,,,,,,,,1.4055,1.3855,1,False,False,0.01,1.441,1.414,0.6729,False
1772639700000,1.432,1.442,1.432,1.441,123117.4,2026-03-04 15:55:00,1.0,1.436,1.435,44.0,,,,,,,,,,,,,,,,,1.4068,1.3867,1,False,False,0.01,1.441,1.414,0.1122,False
1772640000000,1.441,1.45,1.436,1.445,341345.9,2026-03-04 16:00:00,,,,,1.0,1.45,1.0,,1.45,87.0,,,,,,,1.0,1.4536667,1644.0,1676.0,1.4084,1.3878,1,False,False,0.0103,1.441,1.414,4.0431,False
1772640300000,1.444,1.449,1.433,1.433,317985.5,2026-03-04 16:05:00,-1.0,1.436,1.434,54.0,,,,,,,,,,,,,,,,,1.409,1.3878,1,False,False,0.0107,1.441,1.414,0.1099,False
1772640600000,1.433,1.434,1.427,1.428,93038.6,2026-03-04 16:10:00,-1.0,1.433,1.43,50.0,,,,,,,,,,,,,,,,,1.4093,1.3884,1,False,False,0.0104,1.441,1.414,1.1328,False
1772640900000,1.428,1.43,1.422,1.422,77243.5,2026-03-04 16:15:00,-1.0,1.427,1.424,48.0,,,,,,,,,,,,,,,,,1.4093,1.3887,1,False,False,0.0103,1.441,1.414,0.2613,False
1772641200000,1.422,1.424,1.412,1.416,102016.5,2026-03-04 16:20:00,,,,,,,,,,,,,,,,,,,,,1.4093,1.3887,1,False,False,0.0104,1.441,1.414,0.4929,False
1772641500000,1.416,1.425,1.416,1.424,55268.1,2026-03-04 16:25:00,,,,,,,,,,,,,,,,,,,,,1.4093,1.3887,1,False,False,0.0103,1.441,1.414,0.7012,False
1772641800000,1.424,1.429,1.422,1.428,82252.0,2026-03-04 16:30:00,,,,,,,,,,,,,,,,,,,,,1.4093,1.3892,1,False,False,0.0101,1.441,1.414,0.751,False
1772642100000,1.428,1.431,1.425,1.427,41040.1,2026-03-04 16:35:00,,,,,,,,,,,,,,,,,,,,,1.4096,1.39,1,False,False,0.0098,1.441,1.414,0.7743,False
1772642400000,1.426,1.431,1.426,1.427,31957.8,2026-03-04 16:40:00,,,,,,,,,,,,,,,,,,,,,1.4097,1.3909,1,False,False,0.0094,1.441,1.414,0.3269,False
1772642700000,1.426,1.429,1.425,1.428,31015.9,2026-03-04 16:45:00,,,,,,,,,,,,,,,,,,,,,1.4098,1.3917,1,False,False,0.009,1.441,1.414,0.0439,False
1772643000000,1.428,1.43,1.424,1.427,52167.6,2026-03-04 16:50:00,,,,,,,,,,,,,,,,,,,,,1.4098,1.3921,1,False,False,0.0088,1.441,1.414,1.0155,False
1772643300000,1.428,1.434,1.428,1.43,69123.4,2026-03-04 16:55:00,,,,,,,,,,,,,,,,,,,,,1.4098,1.3924,1,False,False,0.0087,1.441,1.414,0.7646,False
1772643600000,1.43,1.441,1.429,1.438,125033.0,2026-03-04 17:00:00,,,,,,,,,,,,,,,,,,,,,1.41,1.3924,1,False,False,0.0089,1.441,1.414,1.8341,False
1772643900000,1.437,1.437,1.432,1.435,40256.8,2026-03-04 17:05:00,,,,,,,,,,,,,,,,,,,,,1.4102,1.3928,1,False,False,0.0087,1.441,1.414,1.5351,False
1772644200000,1.435,1.44,1.434,1.435,61839.1,2026-03-04 17:10:00,,,,,,,,,,,,,,,,,,,,,1.4106,1.3936,1,False,False,0.0085,1.441,1.414,1.076,False
1772644500000,1.435,1.442,1.429,1.43,105925.2,2026-03-04 17:15:00,-1.0,1.434,1.429,65.0,,,,,,,,,,,,,,,,,1.4107,1.3936,1,False,False,0.0088,1.441,1.414,1.39,False
1772644800000,1.429,1.429,1.417,1.418,116625.4,2026-03-04 17:20:00,-1.0,1.429,1.422,61.0,,,,,,,,,,,,,,,,,1.4108,1.3936,1,False,False,0.0091,1.441,1.414,0.1993,False
1772645100000,1.417,1.422,1.417,1.422,25368.7,2026-03-04 17:25:00,,,,,,,,,,,,,,,,,,,,,1.4108,1.3936,1,False,False,0.0088,1.441,1.414,1.5681,False
1772645400000,1.422,1.426,1.419,1.422,87549.4,2026-03-04 17:30:00,,,,,,,,,,,,,,,,,,,,,1.411,1.3936,1,False,False,0.0087,1.441,1.414,4.5197,False
1772645700000,1.422,1.428,1.421,1.426,58994.3,2026-03-04 17:35:00,,,,,,,,,,,,,,,,,,,,,1.411,1.3938,1,False,False,0.0086,1.441,1.414,0.3789,False
1772646000000,1.426,1.427,1.422,1.423,41555.2,2026-03-04 17:40:00,,,,,,,,,,,,,,,,,,,,,1.4112,1.3945,1,False,False,0.0083,1.441,1.414,0.3358,False
1772646300000,1.423,1.428,1.423,1.427,75754.9,2026-03-04 17:45:00,,,,,,,,,,,,,,,,,,,,,1.4112,1.395,1,False,False,0.0081,1.441,1.414,0.9187,False
1772646600000,1.427,1.431,1.424,1.427,65196.5,2026-03-04 17:50:00,,,,,,,,,,,,,,,,,,,,,1.4112,1.3951,1,False,False,0.008,1.441,1.414,0.1531,False
1772646900000,1.426,1.427,1.422,1.425,34326.1,2026-03-04 17:55:00,,,,,,,,,,,,,,,,,,,,,1.4112,1.3956,1,False,False,0.0078,1.441,1.414,0.5229,False
1772647200000,1.424,1.431,1.423,1.43,62678.3,2026-03-04 18:00:00,,,,,,,,,,,,,,,,,,,,,1.4113,1.3957,1,False,False,0.0078,1.441,1.414,0.9316,False
1772647500000,1.43,1.431,1.426,1.427,32948.5,2026-03-04 18:05:00,,,,,,,,,,,,,,,,,,,,,1.4114,1.3962,1,False,False,0.0076,1.441,1.414,0.5271,False
1772647800000,1.427,1.428,1.416,1.418,62822.9,2026-03-04 18:10:00,-1.0,1.426,1.425,71.0,-1.0,1.416,,-1.0,1.416,125.0,,,,,,,,,,,1.4116,1.3962,1,False,False,0.0079,1.441,1.414,0.9917,False
