entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,AVAXUSDT,SELL,12,1760632200000,2025-10-16 16:30:00,13,1760633100000,2025-10-16 16:45:00,21.035,256,1760852700000,2025-10-19 05:45:00,20.174,244,19.01,21.506,9.627,2.239,4.093,win
2,AVAXUSDT,BUY,256,1760851800000,2025-10-19 05:30:00,257,1760852700000,2025-10-19 05:45:00,20.174,426,1761005700000,2025-10-21 00:15:00,20.267,170,21.2,19.737,5.086,2.166,0.461,win
3,AVAXUSDT,SELL,426,1761004800000,2025-10-21 00:00:00,427,1761005700000,2025-10-21 00:15:00,20.267,487,1761060600000,2025-10-21 15:30:00,20.768,61,19.457,20.843,3.997,2.842,-2.472,win
4,AVAXUSDT,BUY,487,1761059700000,2025-10-21 15:15:00,488,1761060600000,2025-10-21 15:30:00,20.768,524,1761093900000,2025-10-22 00:45:00,19.468,37,20.84,19.369,0.347,6.736,-6.26,lose
5,AVAXUSDT,SELL,524,1761093000000,2025-10-22 00:30:00,525,1761093900000,2025-10-22 00:45:00,19.468,652,1761209100000,2025-10-23 08:45:00,19.536,128,18.387,19.714,5.553,1.264,-0.349,win
6,AVAXUSDT,BUY,652,1761208200000,2025-10-23 08:30:00,653,1761209100000,2025-10-23 08:45:00,19.536,712,1761263100000,2025-10-23 23:45:00,19.053,60,19.74,18.98,1.044,2.846,-2.472,lose
7,AVAXUSDT,SELL,712,1761262200000,2025-10-23 23:30:00,713,1761263100000,2025-10-23 23:45:00,19.053,743,1761291000000,2025-10-24 07:30:00,19.554,31,19.01,19.65,0.226,3.133,-2.63,lose
8,AVAXUSDT,BUY,743,1761290100000,2025-10-24 07:15:00,744,1761291000000,2025-10-24 07:30:00,19.554,1145,1761652800000,2025-10-28 12:00:00,20.179,402,21.083,19.116,7.819,2.24,3.196,win
9,AVAXUSDT,SELL,1145,1761651900000,2025-10-28 11:45:00,1146,1761652800000,2025-10-28 12:00:00,20.179,1523,1761993000000,2025-11-01 10:30:00,18.577,378,17.516,20.476,13.197,1.472,7.939,win
10,AVAXUSDT,BUY,1523,1761992100000,2025-11-01 10:15:00,1524,1761993000000,2025-11-01 10:30:00,18.577,1641,1762099200000,2025-11-02 16:00:00,18.263,118,19.0,18.181,2.277,2.132,-1.69,win
11,AVAXUSDT,SELL,1641,1762098300000,2025-11-02 15:45:00,1642,1762099200000,2025-11-02 16:00:00,18.263,1941,1762369200000,2025-11-05 19:00:00,16.915,300,14.974,18.907,18.009,3.526,7.381,win
12,AVAXUSDT,BUY,1941,1762368300000,2025-11-05 18:45:00,1942,1762369200000,2025-11-05 19:00:00,16.915,2022,1762442100000,2025-11-06 15:15:00,16.034,81,16.924,15.995,0.053,5.439,-5.208,lose
13,AVAXUSDT,SELL,2022,1762441200000,2025-11-06 15:00:00,2023,1762442100000,2025-11-06 15:15:00,16.034,2089,1762502400000,2025-11-07 08:00:00,16.91,67,15.588,16.929,2.782,5.582,-5.463,win
14,AVAXUSDT,BUY,2089,1762501500000,2025-11-07 07:45:00,2090,1762502400000,2025-11-07 08:00:00,16.91,2261,1762657200000,2025-11-09 03:00:00,16.905,172,18.403,16.077,8.829,4.926,-0.03,win
15,AVAXUSDT,SELL,2261,1762656300000,2025-11-09 02:45:00,2262,1762657200000,2025-11-09 03:00:00,16.905,2308,1762699500000,2025-11-09 14:45:00,17.767,47,16.79,17.874,0.68,5.732,-5.099,lose
