entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,BNBUSDT,SELL,12,1760632200000,2025-10-16 16:30:00,13,1760633100000,2025-10-16 16:45:00,1140.49,169,1760774400000,2025-10-18 08:00:00,1118.02,157,1021.0,1164.96,10.477,2.146,1.97,win
2,BNBUSDT,BUY,169,1760773500000,2025-10-18 07:45:00,170,1760774400000,2025-10-18 08:00:00,1118.02,271,1760866200000,2025-10-19 09:30:00,1069.44,102,1124.32,1067.7,0.563,4.501,-4.345,lose
3,BNBUSDT,SELL,271,1760865300000,2025-10-19 09:15:00,272,1760866200000,2025-10-19 09:30:00,1069.44,299,1760891400000,2025-10-19 16:30:00,1120.11,28,1069.07,1122.4,0.035,4.952,-4.738,lose
4,BNBUSDT,BUY,299,1760890500000,2025-10-19 16:15:00,300,1760891400000,2025-10-19 16:30:00,1120.11,405,1760986800000,2025-10-20 19:00:00,1097.9,106,1142.74,1086.87,2.02,2.968,-1.983,win
5,BNBUSDT,SELL,405,1760985900000,2025-10-20 18:45:00,406,1760986800000,2025-10-20 19:00:00,1097.9,643,1761201000000,2025-10-23 06:30:00,1105.0,238,1051.01,1114.65,4.271,1.526,-0.647,win
6,BNBUSDT,BUY,643,1761200100000,2025-10-23 06:15:00,644,1761201000000,2025-10-23 06:30:00,1105.0,782,1761326100000,2025-10-24 17:15:00,1100.82,139,1159.84,1076.37,4.963,2.591,-0.378,win
7,BNBUSDT,SELL,782,1761325200000,2025-10-24 17:00:00,783,1761326100000,2025-10-24 17:15:00,1100.82,948,1761475500000,2025-10-26 10:45:00,1124.27,166,1100.0,1132.53,0.074,2.881,-2.13,lose
8,BNBUSDT,BUY,948,1761474600000,2025-10-26 10:30:00,949,1761475500000,2025-10-26 10:45:00,1124.27,1180,1761684300000,2025-10-28 20:45:00,1098.94,232,1182.76,1088.0,5.202,3.226,-2.253,win
9,BNBUSDT,SELL,1180,1761683400000,2025-10-28 20:30:00,1181,1761684300000,2025-10-28 20:45:00,1098.94,2091,1762504200000,2025-11-07 08:30:00,968.98,911,878.96,1129.87,20.017,2.815,11.826,win
10,BNBUSDT,BUY,2091,1762503300000,2025-11-07 08:15:00,2092,1762504200000,2025-11-07 08:30:00,968.98,2112,1762523100000,2025-11-07 13:45:00,935.47,21,969.39,929.84,0.042,4.039,-3.458,lose
11,BNBUSDT,SELL,2112,1762522200000,2025-11-07 13:30:00,2113,1762523100000,2025-11-07 13:45:00,935.47,2134,1762542900000,2025-11-07 19:15:00,983.58,22,925.82,983.94,1.032,5.181,-5.143,lose
12,BNBUSDT,BUY,2134,1762542000000,2025-11-07 19:00:00,2135,1762542900000,2025-11-07 19:15:00,983.58,2413,1762794000000,2025-11-10 17:00:00,979.49,279,1019.15,974.71,3.616,0.902,-0.416,win
13,BNBUSDT,SELL,2413,1762793100000,2025-11-10 16:45:00,2414,1762794000000,2025-11-10 17:00:00,979.49,2902,1763234100000,2025-11-15 19:15:00,944.19,489,888.07,1008.84,9.333,2.996,3.604,win
14,BNBUSDT,BUY,2902,1763233200000,2025-11-15 19:00:00,2903,1763234100000,2025-11-15 19:15:00,944.19,2988,1763311500000,2025-11-16 16:45:00,917.27,86,950.58,915.2,0.677,3.07,-2.851,lose
15,BNBUSDT,SELL,2988,1763310600000,2025-11-16 16:30:00,2989,1763311500000,2025-11-16 16:45:00,917.27,3188,1763491500000,2025-11-18 18:45:00,936.54,200,884.07,940.54,3.619,2.537,-2.101,win
16,BNBUSDT,BUY,3188,1763490600000,2025-11-18 18:30:00,3189,1763491500000,2025-11-18 18:45:00,936.54,3274,1763568900000,2025-11-19 16:15:00,897.87,86,941.85,892.96,0.567,4.653,-4.129,lose
17,BNBUSDT,SELL,3274,1763568000000,2025-11-19 16:00:00,3275,1763568900000,2025-11-19 16:15:00,897.87,3609,1763870400000,2025-11-23 04:00:00,847.33,335,790.92,916.0,11.912,2.019,5.629,win
18,BNBUSDT,BUY,3609,1763869500000,2025-11-23 03:45:00,3610,1763870400000,2025-11-23 04:00:00,847.33,3846,1764083700000,2025-11-25 15:15:00,842.76,237,877.0,830.0,3.502,2.045,-0.539,win
19,BNBUSDT,SELL,3846,1764082800000,2025-11-25 15:00:00,3847,1764083700000,2025-11-25 15:15:00,842.76,3951,1764178200000,2025-11-26 17:30:00,885.33,105,840.0,887.62,0.327,5.323,-5.051,lose
20,BNBUSDT,BUY,3951,1764177300000,2025-11-26 17:15:00,3952,1764178200000,2025-11-26 17:30:00,885.33,4171,1764376200000,2025-11-29 00:30:00,885.88,220,906.99,876.16,2.447,1.036,0.062,win
21,BNBUSDT,SELL,4171,1764375300000,2025-11-29 00:15:00,4172,1764376200000,2025-11-29 00:30:00,885.88,4321,1764511200000,2025-11-30 14:00:00,896.82,150,868.55,896.86,1.956,1.239,-1.235,lose
22,BNBUSDT,BUY,4321,1764510300000,2025-11-30 13:45:00,4322,1764511200000,2025-11-30 14:00:00,896.82,4363,1764549000000,2025-12-01 00:30:00,849.75,42,900.35,847.7,0.394,5.477,-5.249,lose
23,BNBUSDT,SELL,4363,1764548100000,2025-12-01 00:15:00,4364,1764549000000,2025-12-01 00:30:00,849.75,4508,1764679500000,2025-12-02 12:45:00,841.07,145,801.4,850.37,5.69,0.073,1.021,win
