entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,DOGEUSDT,SELL,13,1760633100000,2025-10-16 16:45:00,14,1760634000000,2025-10-16 17:00:00,0.1947,209,1760810400000,2025-10-18 18:00:00,0.1899,196,0.1754,0.1947,9.909,0.01,2.445,win
2,DOGEUSDT,BUY,209,1760809500000,2025-10-18 17:45:00,210,1760810400000,2025-10-18 18:00:00,0.1899,446,1761023700000,2025-10-21 05:15:00,0.1934,237,0.2024,0.186,6.582,2.085,1.827,win
3,DOGEUSDT,SELL,446,1761022800000,2025-10-21 05:00:00,447,1761023700000,2025-10-21 05:15:00,0.1934,488,1761061500000,2025-10-21 15:45:00,0.2051,42,0.192,0.2055,0.719,6.247,-6.061,lose
4,DOGEUSDT,BUY,488,1761060600000,2025-10-21 15:30:00,489,1761061500000,2025-10-21 15:45:00,0.2051,536,1761104700000,2025-10-22 03:45:00,0.193,48,0.2056,0.1923,0.224,6.221,-5.914,lose
5,DOGEUSDT,SELL,536,1761103800000,2025-10-22 03:30:00,537,1761104700000,2025-10-22 03:45:00,0.193,663,1761219000000,2025-10-23 11:30:00,0.1943,127,0.1845,0.1959,4.405,1.503,-0.684,win
6,DOGEUSDT,BUY,663,1761218100000,2025-10-23 11:15:00,664,1761219000000,2025-10-23 11:30:00,0.1943,924,1761453900000,2025-10-26 04:45:00,0.1953,261,0.2011,0.1914,3.521,1.493,0.515,win
7,DOGEUSDT,SELL,924,1761453000000,2025-10-26 04:30:00,925,1761453900000,2025-10-26 04:45:00,0.1953,947,1761474600000,2025-10-26 10:30:00,0.1989,23,0.195,0.2009,0.133,2.868,-1.864,lose
8,DOGEUSDT,BUY,947,1761473700000,2025-10-26 10:15:00,948,1761474600000,2025-10-26 10:30:00,0.1989,1090,1761603300000,2025-10-27 22:15:00,0.2021,143,0.2094,0.1983,5.288,0.337,1.588,win
9,DOGEUSDT,SELL,1090,1761602400000,2025-10-27 22:00:00,1091,1761603300000,2025-10-27 22:15:00,0.2021,1478,1761952500000,2025-10-31 23:15:00,0.1861,388,0.1763,0.203,12.757,0.455,7.932,win
10,DOGEUSDT,BUY,1478,1761951600000,2025-10-31 23:00:00,1479,1761952500000,2025-10-31 23:15:00,0.1861,1641,1762099200000,2025-11-02 16:00:00,0.1834,163,0.1888,0.1827,1.457,1.806,-1.457,lose
11,DOGEUSDT,SELL,1641,1762098300000,2025-11-02 15:45:00,1642,1762099200000,2025-11-02 16:00:00,0.1834,1978,1762402500000,2025-11-06 04:15:00,0.1671,337,0.1515,0.1867,17.393,1.827,8.89,win
12,DOGEUSDT,BUY,1978,1762401600000,2025-11-06 04:00:00,1979,1762402500000,2025-11-06 04:15:00,0.1671,2023,1762443000000,2025-11-06 15:30:00,0.1608,45,0.1673,0.1602,0.174,4.119,-3.711,lose
13,DOGEUSDT,SELL,2023,1762442100000,2025-11-06 15:15:00,2024,1762443000000,2025-11-06 15:30:00,0.1608,2097,1762509600000,2025-11-07 10:00:00,0.165,74,0.1569,0.1673,2.449,3.998,-2.561,win
14,DOGEUSDT,BUY,2097,1762508700000,2025-11-07 09:45:00,2098,1762509600000,2025-11-07 10:00:00,0.165,2262,1762658100000,2025-11-09 03:15:00,0.1726,165,0.1833,0.1595,11.105,3.298,4.655,win
15,DOGEUSDT,SELL,2262,1762657200000,2025-11-09 03:00:00,2263,1762658100000,2025-11-09 03:15:00,0.1726,2329,1762718400000,2025-11-09 20:00:00,0.18,67,0.1711,0.1801,0.886,4.298,-4.275,lose
16,DOGEUSDT,BUY,2329,1762717500000,2025-11-09 19:45:00,2330,1762718400000,2025-11-09 20:00:00,0.18,2515,1762885800000,2025-11-11 18:30:00,0.175,186,0.1864,0.1742,3.516,3.244,-2.788,win
17,DOGEUSDT,SELL,2515,1762884900000,2025-11-11 18:15:00,2516,1762885800000,2025-11-11 18:30:00,0.175,2595,1762957800000,2025-11-12 14:30:00,0.1778,80,0.1708,0.1785,2.383,1.983,-1.577,win
18,DOGEUSDT,BUY,2595,1762956900000,2025-11-12 14:15:00,2596,1762957800000,2025-11-12 14:30:00,0.1778,2606,1762967700000,2025-11-12 17:15:00,0.1687,11,0.1778,0.1678,0.028,5.614,-5.119,lose
19,DOGEUSDT,SELL,2606,1762966800000,2025-11-12 17:00:00,2607,1762967700000,2025-11-12 17:15:00,0.1687,2666,1763021700000,2025-11-13 08:15:00,0.1758,60,0.1671,0.177,0.931,4.95,-4.239,lose
20,DOGEUSDT,BUY,2666,1763020800000,2025-11-13 08:00:00,2667,1763021700000,2025-11-13 08:15:00,0.1758,2706,1763057700000,2025-11-13 18:15:00,0.1645,40,0.1776,0.1641,1.035,6.677,-6.416,lose
21,DOGEUSDT,SELL,2706,1763056800000,2025-11-13 18:00:00,2707,1763057700000,2025-11-13 18:15:00,0.1645,3187,1763490600000,2025-11-18 18:30:00,0.1611,481,0.1493,0.1662,9.274,0.997,2.115,win
22,DOGEUSDT,BUY,3187,1763489700000,2025-11-18 18:15:00,3188,1763490600000,2025-11-18 18:30:00,0.1611,3275,1763569800000,2025-11-19 16:30:00,0.1533,88,0.1629,0.153,1.142,5.004,-4.799,lose
23,DOGEUSDT,SELL,3275,1763568900000,2025-11-19 16:15:00,3276,1763569800000,2025-11-19 16:30:00,0.1533,3325,1763614800000,2025-11-20 05:00:00,0.1584,50,0.147,0.1585,4.096,3.385,-3.3,win
