entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,ETHUSDT,SELL,19,1760638500000,2025-10-16 18:15:00,20,1760639400000,2025-10-16 18:30:00,3887.38,210,1760811300000,2025-10-18 18:15:00,3884.95,191,3671.0,3948.06,5.566,1.561,0.063,win
2,ETHUSDT,BUY,210,1760810400000,2025-10-18 18:00:00,211,1760811300000,2025-10-18 18:15:00,3884.95,404,1760985900000,2025-10-20 18:45:00,3961.61,194,4085.0,3810.0,5.149,1.929,1.973,win
3,ETHUSDT,SELL,404,1760985000000,2025-10-20 18:30:00,405,1760985900000,2025-10-20 18:45:00,3961.61,489,1761062400000,2025-10-21 16:00:00,4080.41,85,3838.21,4083.78,3.115,3.084,-2.999,win
4,ETHUSDT,BUY,489,1761061500000,2025-10-21 15:45:00,490,1761062400000,2025-10-21 16:00:00,4080.41,529,1761098400000,2025-10-22 02:00:00,3867.95,40,4108.41,3815.37,0.686,6.495,-5.207,lose
5,ETHUSDT,SELL,529,1761097500000,2025-10-22 01:45:00,530,1761098400000,2025-10-22 02:00:00,3867.95,657,1761213600000,2025-10-23 10:00:00,3888.88,128,3706.31,3905.47,4.179,0.97,-0.541,win
6,ETHUSDT,BUY,657,1761212700000,2025-10-23 09:45:00,658,1761213600000,2025-10-23 10:00:00,3888.88,1110,1761621300000,2025-10-28 03:15:00,4069.17,453,4253.0,3807.01,9.363,2.105,4.636,win
7,ETHUSDT,SELL,1110,1761620400000,2025-10-28 03:00:00,1111,1761621300000,2025-10-28 03:15:00,4069.17,1479,1761953400000,2025-10-31 23:30:00,3853.87,369,3677.7,4174.08,9.62,2.578,5.291,win
8,ETHUSDT,BUY,1479,1761952500000,2025-10-31 23:15:00,1480,1761953400000,2025-10-31 23:30:00,3853.87,1685,1762138800000,2025-11-03 03:00:00,3797.4,206,3917.0,3780.0,1.638,1.917,-1.465,lose
9,ETHUSDT,SELL,1685,1762137900000,2025-11-03 02:45:00,1686,1762138800000,2025-11-03 03:00:00,3797.4,1937,1762365600000,2025-11-05 18:00:00,3433.78,252,3055.0,3805.0,19.55,0.2,9.575,win
10,ETHUSDT,BUY,1937,1762364700000,2025-11-05 17:45:00,1938,1762365600000,2025-11-05 18:00:00,3433.78,2028,1762447500000,2025-11-06 16:45:00,3259.71,91,3479.0,3248.3,1.317,5.402,-5.069,lose
11,ETHUSDT,SELL,2028,1762446600000,2025-11-06 16:30:00,2029,1762447500000,2025-11-06 16:45:00,3259.71,2135,1762543800000,2025-11-07 19:30:00,3426.63,107,3192.92,3438.5,2.049,5.485,-5.121,win
12,ETHUSDT,BUY,2135,1762542900000,2025-11-07 19:15:00,2136,1762543800000,2025-11-07 19:30:00,3426.63,2269,1762664400000,2025-11-09 05:00:00,3373.08,134,3490.0,3353.31,1.849,2.14,-1.563,lose
13,ETHUSDT,SELL,2269,1762663500000,2025-11-09 04:45:00,2270,1762664400000,2025-11-09 05:00:00,3373.08,2307,1762698600000,2025-11-09 14:30:00,3553.74,38,3371.0,3553.75,0.062,5.356,-5.356,lose
14,ETHUSDT,BUY,2307,1762697700000,2025-11-09 14:15:00,2308,1762698600000,2025-11-09 14:30:00,3553.74,2503,1762875000000,2025-11-11 15:30:00,3485.46,196,3658.0,3483.71,2.934,1.971,-1.921,win
15,ETHUSDT,SELL,2503,1762874100000,2025-11-11 15:15:00,2504,1762875000000,2025-11-11 15:30:00,3485.46,2585,1762948800000,2025-11-12 12:00:00,3548.24,82,3403.02,3569.0,2.365,2.397,-1.801,win
16,ETHUSDT,BUY,2585,1762947900000,2025-11-12 11:45:00,2586,1762948800000,2025-11-12 12:00:00,3548.24,2606,1762967700000,2025-11-12 17:15:00,3400.98,21,3587.24,3370.0,1.099,5.023,-4.15,lose
17,ETHUSDT,SELL,2606,1762966800000,2025-11-12 17:00:00,2607,1762967700000,2025-11-12 17:15:00,3400.98,2665,1763020800000,2025-11-13 08:00:00,3537.16,59,3370.8,3565.0,0.887,4.823,-4.004,lose
