entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,LINKUSDT,SELL,20,1760639400000,2025-10-16 18:30:00,21,1760640300000,2025-10-16 18:45:00,17.693,276,1760870700000,2025-10-19 10:45:00,17.106,256,15.683,17.769,11.36,0.43,3.318,win
2,LINKUSDT,BUY,276,1760869800000,2025-10-19 10:30:00,277,1760870700000,2025-10-19 10:45:00,17.106,445,1761022800000,2025-10-21 05:00:00,17.731,169,19.18,16.921,12.124,1.081,3.654,win
3,LINKUSDT,SELL,445,1761021900000,2025-10-21 04:45:00,446,1761022800000,2025-10-21 05:00:00,17.731,743,1761291000000,2025-10-24 07:30:00,17.687,298,16.691,18.959,5.865,6.926,0.248,win
4,LINKUSDT,BUY,743,1761290100000,2025-10-24 07:15:00,744,1761291000000,2025-10-24 07:30:00,17.687,930,1761459300000,2025-10-26 06:15:00,17.756,187,18.244,17.443,3.149,1.38,0.39,win
5,LINKUSDT,SELL,930,1761458400000,2025-10-26 06:00:00,931,1761459300000,2025-10-26 06:15:00,17.756,953,1761480000000,2025-10-26 12:00:00,18.309,23,17.737,18.337,0.107,3.272,-3.114,lose
6,LINKUSDT,BUY,953,1761479100000,2025-10-26 11:45:00,954,1761480000000,2025-10-26 12:00:00,18.309,1097,1761609600000,2025-10-28 00:00:00,18.206,144,19.056,18.035,4.08,1.497,-0.563,win
7,LINKUSDT,SELL,1097,1761608700000,2025-10-27 23:45:00,1098,1761609600000,2025-10-28 00:00:00,18.206,1521,1761991200000,2025-11-01 10:00:00,17.334,424,16.311,18.814,10.409,3.34,4.79,win
8,LINKUSDT,BUY,1521,1761990300000,2025-11-01 09:45:00,1522,1761991200000,2025-11-01 10:00:00,17.334,1687,1762140600000,2025-11-03 03:30:00,16.525,166,17.659,16.503,1.875,4.794,-4.667,lose
9,LINKUSDT,SELL,1687,1762139700000,2025-11-03 03:15:00,1688,1762140600000,2025-11-03 03:30:00,16.525,1958,1762384500000,2025-11-05 23:15:00,15.176,271,13.686,16.538,17.18,0.079,8.163,win
10,LINKUSDT,BUY,1958,1762383600000,2025-11-05 23:00:00,1959,1762384500000,2025-11-05 23:15:00,15.176,2030,1762449300000,2025-11-06 17:15:00,14.388,72,15.266,14.234,0.593,6.207,-5.192,lose
11,LINKUSDT,SELL,2030,1762448400000,2025-11-06 17:00:00,2031,1762449300000,2025-11-06 17:15:00,14.388,2127,1762536600000,2025-11-07 17:30:00,15.797,97,14.3,15.804,0.612,9.842,-9.793,lose
12,LINKUSDT,BUY,2127,1762535700000,2025-11-07 17:15:00,2128,1762536600000,2025-11-07 17:30:00,15.797,2260,1762656300000,2025-11-09 02:45:00,15.195,133,16.213,15.109,2.633,4.355,-3.811,win
13,LINKUSDT,SELL,2260,1762655400000,2025-11-09 02:30:00,2261,1762656300000,2025-11-09 02:45:00,15.195,2313,1762704000000,2025-11-09 16:00:00,15.813,53,15.012,15.937,1.204,4.883,-4.067,lose
14,LINKUSDT,BUY,2313,1762703100000,2025-11-09 15:45:00,2314,1762704000000,2025-11-09 16:00:00,15.813,2520,1762890300000,2025-11-11 19:45:00,15.669,207,16.789,15.583,6.172,1.454,-0.911,win
15,LINKUSDT,SELL,2520,1762889400000,2025-11-11 19:30:00,2521,1762890300000,2025-11-11 19:45:00,15.669,2585,1762948800000,2025-11-12 12:00:00,16.107,65,15.174,16.187,3.159,3.306,-2.795,win
16,LINKUSDT,BUY,2585,1762947900000,2025-11-12 11:45:00,2586,1762948800000,2025-11-12 12:00:00,16.107,2605,1762966800000,2025-11-12 17:00:00,15.161,20,16.244,15.065,0.851,6.469,-5.873,lose
17,LINKUSDT,SELL,2605,1762965900000,2025-11-12 16:45:00,2606,1762966800000,2025-11-12 17:00:00,15.161,2664,1763019900000,2025-11-13 07:45:00,15.879,59,14.907,16.014,1.675,5.626,-4.736,lose
18,LINKUSDT,BUY,2664,1763019000000,2025-11-13 07:30:00,2665,1763019900000,2025-11-13 07:45:00,15.879,2704,1763055900000,2025-11-13 17:45:00,14.767,40,15.947,14.72,0.428,7.299,-7.003,lose
19,LINKUSDT,SELL,2704,1763055000000,2025-11-13 17:30:00,2705,1763055900000,2025-11-13 17:45:00,14.767,3207,1763508600000,2025-11-18 23:30:00,13.802,503,13.05,14.819,11.627,0.352,6.535,win
20,LINKUSDT,BUY,3207,1763507700000,2025-11-18 23:15:00,3208,1763508600000,2025-11-18 23:30:00,13.802,3235,1763533800000,2025-11-19 06:30:00,13.275,28,13.837,13.107,0.254,5.036,-3.818,lose
21,LINKUSDT,SELL,3235,1763532900000,2025-11-19 06:15:00,3236,1763533800000,2025-11-19 06:30:00,13.275,3325,1763614800000,2025-11-20 05:00:00,13.769,90,12.757,13.77,3.902,3.729,-3.721,win
22,LINKUSDT,BUY,3325,1763613900000,2025-11-20 04:45:00,3326,1763614800000,2025-11-20 05:00:00,13.769,3374,1763658900000,2025-11-20 17:15:00,12.837,49,14.0,12.778,1.678,7.197,-6.769,lose
23,LINKUSDT,SELL,3374,1763658000000,2025-11-20 17:00:00,3375,1763658900000,2025-11-20 17:15:00,12.837,3609,1763870400000,2025-11-23 04:00:00,12.455,235,11.602,13.336,9.621,3.887,2.976,win
24,LINKUSDT,BUY,3609,1763869500000,2025-11-23 03:45:00,3610,1763870400000,2025-11-23 04:00:00,12.455,4150,1764357300000,2025-11-28 19:15:00,13.155,541,13.568,12.292,8.936,1.309,5.62,win
25,LINKUSDT,SELL,4150,1764356400000,2025-11-28 19:00:00,4151,1764357300000,2025-11-28 19:15:00,13.155,4329,1764518400000,2025-11-30 16:00:00,13.24,179,12.904,13.326,1.908,1.3,-0.646,lose
26,LINKUSDT,BUY,4329,1764517500000,2025-11-30 15:45:00,4330,1764518400000,2025-11-30 16:00:00,13.24,4363,1764549000000,2025-12-01 00:30:00,12.49,34,13.413,12.434,1.307,6.088,-5.665,lose
27,LINKUSDT,SELL,4363,1764548100000,2025-12-01 00:15:00,4364,1764549000000,2025-12-01 00:30:00,12.49,4515,1764685800000,2025-12-02 14:30:00,12.481,152,11.739,12.538,6.013,0.384,0.072,win
28,LINKUSDT,BUY,4515,1764684900000,2025-12-02 14:15:00,4516,1764685800000,2025-12-02 14:30:00,12.481,4770,1764915300000,2025-12-05 06:15:00,14.21,255,14.921,12.458,19.55,0.184,13.853,win
29,LINKUSDT,SELL,4770,1764914400000,2025-12-05 06:00:00,4771,1764915300000,2025-12-05 06:15:00,14.21,4929,1765058400000,2025-12-06 22:00:00,13.958,159,13.355,14.324,6.017,0.802,1.773,win
30,LINKUSDT,BUY,4929,1765057500000,2025-12-06 21:45:00,4930,1765058400000,2025-12-06 22:00:00,13.958,4997,1765119600000,2025-12-07 15:00:00,13.23,68,14.029,13.207,0.509,5.38,-5.216,lose
31,LINKUSDT,SELL,4997,1765118700000,2025-12-07 14:45:00,4998,1765119600000,2025-12-07 15:00:00,13.23,5194,1765296900000,2025-12-09 16:15:00,14.726,197,13.168,14.756,0.469,11.534,-11.308,lose
