entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,NEARUSDT,SELL,17,1760636700000,2025-10-16 17:45:00,18,1760637600000,2025-10-16 18:00:00,2.258,279,1760873400000,2025-10-19 11:30:00,2.229,262,2.055,2.264,8.99,0.266,1.284,win
2,NEARUSDT,BUY,279,1760872500000,2025-10-19 11:15:00,280,1760873400000,2025-10-19 11:30:00,2.229,442,1761020100000,2025-10-21 04:15:00,2.197,163,2.337,2.189,4.845,1.795,-1.436,win
3,NEARUSDT,SELL,442,1761019200000,2025-10-21 04:00:00,443,1761020100000,2025-10-21 04:15:00,2.197,486,1761059700000,2025-10-21 15:15:00,2.337,44,2.162,2.346,1.593,6.782,-6.372,lose
4,NEARUSDT,BUY,486,1761058800000,2025-10-21 15:00:00,487,1761059700000,2025-10-21 15:15:00,2.337,546,1761113700000,2025-10-22 06:15:00,2.204,60,2.363,2.189,1.113,6.333,-5.691,lose
5,NEARUSDT,SELL,546,1761112800000,2025-10-22 06:00:00,547,1761113700000,2025-10-22 06:15:00,2.204,734,1761282900000,2025-10-24 05:15:00,2.247,188,2.093,2.254,5.036,2.269,-1.951,win
6,NEARUSDT,BUY,734,1761282000000,2025-10-24 05:00:00,735,1761282900000,2025-10-24 05:15:00,2.247,1173,1761678000000,2025-10-28 19:00:00,2.303,439,2.418,2.199,7.61,2.136,2.492,win
7,NEARUSDT,SELL,1173,1761677100000,2025-10-28 18:45:00,1174,1761678000000,2025-10-28 19:00:00,2.303,1250,1761747300000,2025-10-29 14:15:00,2.311,77,2.198,2.322,4.559,0.825,-0.347,win
8,NEARUSDT,BUY,1250,1761746400000,2025-10-29 14:00:00,1251,1761747300000,2025-10-29 14:15:00,2.311,1330,1761819300000,2025-10-30 10:15:00,2.206,80,2.347,2.191,1.558,5.193,-4.543,lose
9,NEARUSDT,SELL,1330,1761818400000,2025-10-30 10:00:00,1331,1761819300000,2025-10-30 10:15:00,2.206,1533,1762002000000,2025-11-01 13:00:00,2.175,203,2.028,2.22,8.069,0.635,1.405,win
10,NEARUSDT,BUY,1533,1762001100000,2025-11-01 12:45:00,1534,1762002000000,2025-11-01 13:00:00,2.175,1688,1762141500000,2025-11-03 03:45:00,2.058,155,2.202,2.054,1.241,5.563,-5.379,lose
11,NEARUSDT,SELL,1688,1762140600000,2025-11-03 03:30:00,1689,1762141500000,2025-11-03 03:45:00,2.058,1939,1762367400000,2025-11-05 18:30:00,1.938,251,1.719,2.069,16.472,0.534,5.831,win
12,NEARUSDT,BUY,1939,1762366500000,2025-11-05 18:15:00,1940,1762367400000,2025-11-05 18:30:00,1.938,2449,1762826400000,2025-11-11 02:00:00,2.746,510,3.184,1.886,64.293,2.683,41.692,win
13,NEARUSDT,SELL,2449,1762825500000,2025-11-11 01:45:00,2450,1762826400000,2025-11-11 02:00:00,2.746,2844,1763181900000,2025-11-15 04:45:00,2.547,395,2.304,2.834,16.096,3.205,7.247,win
14,NEARUSDT,BUY,2844,1763181000000,2025-11-15 04:30:00,2845,1763181900000,2025-11-15 04:45:00,2.547,2922,1763252100000,2025-11-16 00:15:00,2.39,78,2.622,2.389,2.945,6.203,-6.164,win
15,NEARUSDT,SELL,2922,1763251200000,2025-11-16 00:00:00,2923,1763252100000,2025-11-16 00:15:00,2.39,3306,1763597700000,2025-11-20 00:15:00,2.368,384,2.147,2.561,10.167,7.155,0.921,win
16,NEARUSDT,BUY,3306,1763596800000,2025-11-20 00:00:00,3307,1763597700000,2025-11-20 00:15:00,2.368,3373,1763658000000,2025-11-20 17:00:00,2.15,67,2.412,2.136,1.858,9.797,-9.206,lose
17,NEARUSDT,SELL,3373,1763657100000,2025-11-20 16:45:00,3374,1763658000000,2025-11-20 17:00:00,2.15,3757,1764003600000,2025-11-24 17:00:00,1.938,384,1.796,2.169,16.465,0.884,9.86,win
18,NEARUSDT,BUY,3757,1764002700000,2025-11-24 16:45:00,3758,1764003600000,2025-11-24 17:00:00,1.938,3823,1764063000000,2025-11-25 09:30:00,1.84,66,1.986,1.839,2.477,5.108,-5.057,win
19,NEARUSDT,SELL,3823,1764062100000,2025-11-25 09:15:00,3824,1764063000000,2025-11-25 09:30:00,1.84,3959,1764185400000,2025-11-26 19:30:00,1.943,136,1.815,1.959,1.359,6.467,-5.598,lose
20,NEARUSDT,BUY,3959,1764184500000,2025-11-26 19:15:00,3960,1764185400000,2025-11-26 19:30:00,1.943,4083,1764297000000,2025-11-28 02:30:00,1.867,124,1.954,1.867,0.566,3.911,-3.911,lose
21,NEARUSDT,SELL,4083,1764296100000,2025-11-28 02:15:00,4084,1764297000000,2025-11-28 02:30:00,1.867,4500,1764672300000,2025-12-02 10:45:00,1.697,417,1.583,1.955,15.212,4.713,9.106,win
22,NEARUSDT,BUY,4500,1764671400000,2025-12-02 10:30:00,4501,1764672300000,2025-12-02 10:45:00,1.697,4728,1764877500000,2025-12-04 19:45:00,1.785,228,1.898,1.696,11.844,0.059,5.186,win
23,NEARUSDT,SELL,4728,1764876600000,2025-12-04 19:30:00,4729,1764877500000,2025-12-04 19:45:00,1.785,5021,1765141200000,2025-12-07 21:00:00,1.767,293,1.637,1.817,8.291,1.793,1.008,win
24,NEARUSDT,BUY,5021,1765140300000,2025-12-07 20:45:00,5022,1765141200000,2025-12-07 21:00:00,1.767,5168,1765273500000,2025-12-09 09:45:00,1.711,147,1.802,1.683,1.981,4.754,-3.169,lose
25,NEARUSDT,SELL,5168,1765272600000,2025-12-09 09:30:00,5169,1765273500000,2025-12-09 09:45:00,1.711,5193,1765296000000,2025-12-09 16:00:00,1.834,25,1.71,1.842,0.058,7.656,-7.189,lose
26,NEARUSDT,BUY,5193,1765295100000,2025-12-09 15:45:00,5194,1765296000000,2025-12-09 16:00:00,1.834,5263,1765359000000,2025-12-10 09:30:00,1.756,70,1.885,1.751,2.781,4.526,-4.253,win
