entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,SOLUSDT,SELL,20,1760639400000,2025-10-16 18:30:00,21,1760640300000,2025-10-16 18:45:00,189.14,200,1760802300000,2025-10-18 15:45:00,185.0,180,174.0,189.76,8.005,0.328,2.189,win
2,SOLUSDT,BUY,200,1760801400000,2025-10-18 15:30:00,201,1760802300000,2025-10-18 15:45:00,185.0,406,1760987700000,2025-10-20 19:15:00,187.88,206,194.44,183.06,5.103,1.049,1.557,win
3,SOLUSDT,SELL,406,1760986800000,2025-10-20 19:00:00,407,1760987700000,2025-10-20 19:15:00,187.88,488,1761061500000,2025-10-21 15:45:00,196.66,82,182.65,196.83,2.784,4.764,-4.673,win
4,SOLUSDT,BUY,488,1761060600000,2025-10-21 15:30:00,489,1761061500000,2025-10-21 15:45:00,196.66,544,1761111900000,2025-10-22 05:45:00,184.2,56,197.69,183.13,0.524,6.88,-6.336,lose
5,SOLUSDT,SELL,544,1761111000000,2025-10-22 05:30:00,545,1761111900000,2025-10-22 05:45:00,184.2,649,1761206400000,2025-10-23 08:00:00,187.41,105,176.85,187.94,3.99,2.03,-1.743,win
6,SOLUSDT,BUY,649,1761205500000,2025-10-23 07:45:00,650,1761206400000,2025-10-23 08:00:00,187.41,1179,1761683400000,2025-10-28 20:30:00,193.11,530,205.3,186.5,9.546,0.486,3.041,win
7,SOLUSDT,SELL,1179,1761682500000,2025-10-28 20:15:00,1180,1761683400000,2025-10-28 20:30:00,193.11,1247,1761744600000,2025-10-29 13:30:00,201.13,68,190.02,201.66,1.6,4.428,-4.153,lose
8,SOLUSDT,BUY,1247,1761743700000,2025-10-29 13:15:00,1248,1761744600000,2025-10-29 13:30:00,201.13,1331,1761820200000,2025-10-30 10:30:00,191.91,84,201.32,188.88,0.094,6.091,-4.584,lose
9,SOLUSDT,SELL,1331,1761819300000,2025-10-30 10:15:00,1332,1761820200000,2025-10-30 10:30:00,191.91,1944,1762371900000,2025-11-05 19:45:00,163.05,613,145.67,192.55,24.095,0.333,15.038,win
10,SOLUSDT,BUY,1944,1762371000000,2025-11-05 19:30:00,1945,1762371900000,2025-11-05 19:45:00,163.05,2035,1762453800000,2025-11-06 18:30:00,155.96,91,163.88,153.75,0.509,5.704,-4.348,lose
11,SOLUSDT,SELL,2035,1762452900000,2025-11-06 18:15:00,2036,1762453800000,2025-11-06 18:30:00,155.96,2133,1762542000000,2025-11-07 19:00:00,162.03,98,149.69,162.87,4.02,4.431,-3.892,win
12,SOLUSDT,BUY,2133,1762541100000,2025-11-07 18:45:00,2134,1762542000000,2025-11-07 19:00:00,162.03,2217,1762617600000,2025-11-08 16:00:00,156.61,84,164.82,155.82,1.722,3.833,-3.345,lose
