entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
1,XRPUSDT,SELL,17,1760636700000,2025-10-16 17:45:00,18,1760637600000,2025-10-16 18:00:00,2.3659,175,1760779800000,2025-10-18 09:30:00,2.3593,158,2.1881,2.4008,7.515,1.475,0.279,win
2,XRPUSDT,BUY,175,1760778900000,2025-10-18 09:15:00,176,1760779800000,2025-10-18 09:30:00,2.3593,454,1761030900000,2025-10-21 07:15:00,2.4165,279,2.5514,2.3164,8.142,1.818,2.424,win
3,XRPUSDT,SELL,454,1761030000000,2025-10-21 07:00:00,455,1761030900000,2025-10-21 07:15:00,2.4165,492,1761065100000,2025-10-21 16:45:00,2.5114,38,2.4003,2.5315,0.67,4.759,-3.927,lose
4,XRPUSDT,BUY,492,1761064200000,2025-10-21 16:30:00,493,1761065100000,2025-10-21 16:45:00,2.5114,550,1761117300000,2025-10-22 07:15:00,2.3904,58,2.5208,2.3883,0.374,4.902,-4.818,lose
5,XRPUSDT,SELL,550,1761116400000,2025-10-22 07:00:00,551,1761117300000,2025-10-22 07:15:00,2.3904,733,1761282000000,2025-10-24 05:00:00,2.4285,183,2.3235,2.4328,2.799,1.774,-1.594,win
6,XRPUSDT,BUY,733,1761281100000,2025-10-24 04:45:00,734,1761282000000,2025-10-24 05:00:00,2.4285,1283,1761777000000,2025-10-29 22:30:00,2.5951,550,2.6969,2.4261,11.052,0.099,6.86,win
7,XRPUSDT,SELL,1283,1761776100000,2025-10-29 22:15:00,1284,1761777000000,2025-10-29 22:30:00,2.5951,1465,1761940800000,2025-10-31 20:00:00,2.5423,182,2.3755,2.5986,8.462,0.135,2.035,win
8,XRPUSDT,BUY,1465,1761939900000,2025-10-31 19:45:00,1466,1761940800000,2025-10-31 20:00:00,2.5423,1686,1762139700000,2025-11-03 03:15:00,2.4425,221,2.5545,2.4401,0.48,4.02,-3.926,lose
9,XRPUSDT,SELL,1686,1762138800000,2025-11-03 03:00:00,1687,1762139700000,2025-11-03 03:15:00,2.4425,1946,1762373700000,2025-11-05 20:15:00,2.3426,260,2.0655,2.452,15.435,0.389,4.09,win
10,XRPUSDT,BUY,1946,1762372800000,2025-11-05 20:00:00,1947,1762373700000,2025-11-05 20:15:00,2.3426,2028,1762447500000,2025-11-06 16:45:00,2.2167,82,2.416,2.2076,3.133,5.763,-5.374,win
11,XRPUSDT,SELL,2028,1762446600000,2025-11-06 16:30:00,2029,1762447500000,2025-11-06 16:45:00,2.2167,2129,1762538400000,2025-11-07 18:00:00,2.3086,101,2.1529,2.3382,2.878,5.481,-4.146,win
12,XRPUSDT,BUY,2129,1762537500000,2025-11-07 17:45:00,2130,1762538400000,2025-11-07 18:00:00,2.3086,2222,1762622100000,2025-11-08 17:15:00,2.2529,93,2.3727,2.2399,2.777,2.976,-2.413,win
13,XRPUSDT,SELL,2222,1762621200000,2025-11-08 17:00:00,2223,1762622100000,2025-11-08 17:15:00,2.2529,2329,1762718400000,2025-11-09 20:00:00,2.3476,107,2.2374,2.3485,0.688,4.243,-4.203,lose
14,XRPUSDT,BUY,2329,1762717500000,2025-11-09 19:45:00,2330,1762718400000,2025-11-09 20:00:00,2.3476,2492,1762865100000,2025-11-11 12:45:00,2.4511,163,2.5799,2.322,9.895,1.09,4.409,win
15,XRPUSDT,SELL,2492,1762864200000,2025-11-11 12:30:00,2493,1762865100000,2025-11-11 12:45:00,2.4511,2652,1763009100000,2025-11-13 04:45:00,2.4766,160,2.3146,2.5111,5.569,2.448,-1.04,win
16,XRPUSDT,BUY,2652,1763008200000,2025-11-13 04:30:00,2653,1763009100000,2025-11-13 04:45:00,2.4766,2709,1763060400000,2025-11-13 19:00:00,2.3401,57,2.5263,2.3259,2.007,6.085,-5.512,win
17,XRPUSDT,SELL,2709,1763059500000,2025-11-13 18:45:00,2710,1763060400000,2025-11-13 19:00:00,2.3401,3061,1763377200000,2025-11-17 11:00:00,2.2723,352,2.1542,2.3528,7.944,0.543,2.897,win
18,XRPUSDT,BUY,3061,1763376300000,2025-11-17 10:45:00,3062,1763377200000,2025-11-17 11:00:00,2.2723,3090,1763403300000,2025-11-17 18:15:00,2.1523,29,2.3067,2.1468,1.514,5.523,-5.281,lose
19,XRPUSDT,SELL,3090,1763402400000,2025-11-17 18:00:00,3091,1763403300000,2025-11-17 18:15:00,2.1523,3601,1763863200000,2025-11-23 02:00:00,1.9982,511,1.8201,2.2402,15.435,4.084,7.16,win
20,XRPUSDT,BUY,3601,1763862300000,2025-11-23 01:45:00,3602,1763863200000,2025-11-23 02:00:00,1.9982,3932,1764161100000,2025-11-26 12:45:00,2.1485,331,2.285,1.9947,14.353,0.175,7.522,win
21,XRPUSDT,SELL,3932,1764160200000,2025-11-26 12:30:00,3933,1764161100000,2025-11-26 12:45:00,2.1485,3957,1764183600000,2025-11-26 19:00:00,2.2411,25,2.1429,2.2536,0.261,4.892,-4.31,lose
22,XRPUSDT,BUY,3957,1764182700000,2025-11-26 18:45:00,3958,1764183600000,2025-11-26 19:00:00,2.2411,4204,1764405900000,2025-11-29 08:45:00,2.1796,247,2.2747,2.1549,1.499,3.846,-2.744,lose
23,XRPUSDT,SELL,4204,1764405000000,2025-11-29 08:30:00,4205,1764405900000,2025-11-29 08:45:00,2.1796,4518,1764688500000,2025-12-02 15:15:00,2.1303,314,1.9825,2.223,9.043,1.991,2.262,win
