symbol,total_trades,wins,losses,winrate_pct,avg_max_roe_pct,max_single_roe_pct,avg_max_drawdown_pct,avg_net_pnl_pct,total_net_pnl_pct,avg_duration_bars
ADAUSDT,143,91,52,63.64,5.68,42.59,3.03,0.07,9.86,209.7
AVAXUSDT,166,99,67,59.64,4.53,36.12,2.58,-0.17,-27.58,180.6
BNBUSDT,162,81,81,50.0,3.07,22.4,1.81,-0.15,-24.42,185.1
BTCUSDT,150,78,72,52.0,3.16,25.36,1.61,0.1,14.53,199.9
DOGEUSDT,153,92,61,60.13,4.87,44.03,2.57,-0.03,-5.29,196.0
ETHUSDT,146,87,59,59.59,4.42,41.26,2.26,0.22,32.21,205.3
LINKUSDT,163,89,74,54.6,4.23,49.87,2.78,-0.6,-98.46,183.9
NEARUSDT,140,97,43,69.29,7.35,79.94,3.46,0.51,71.34,214.2
SOLUSDT,154,91,63,59.09,4.58,45.2,2.65,-0.24,-37.44,194.7
XRPUSDT,154,83,71,53.9,4.48,69.3,2.29,-0.04,-6.06,194.7
