entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
1,AVAXUSDT,SELL,12,2025-10-16 16:30:00,13,2025-10-16 16:45:00,21.035,2025-10-19 05:45:00,20.174,244,9.627,2.239,4.093,win,False,,
2,AVAXUSDT,BUY,256,2025-10-19 05:30:00,257,2025-10-19 05:45:00,20.174,2025-10-21 00:15:00,20.267,170,5.086,2.166,0.461,win,False,5.217,BSL
3,AVAXUSDT,SELL,426,2025-10-21 00:00:00,427,2025-10-21 00:15:00,20.267,2025-10-21 15:30:00,20.768,61,3.997,2.842,-2.472,win,False,6.111,SSL
4,AVAXUSDT,BUY,487,2025-10-21 15:15:00,488,2025-10-21 15:30:00,20.768,2025-10-22 00:45:00,19.468,37,0.347,6.736,-6.26,lose,False,,
5,AVAXUSDT,SELL,524,2025-10-22 00:30:00,525,2025-10-22 00:45:00,19.468,2025-10-23 08:45:00,19.536,128,5.553,1.264,-0.349,win,False,2.258,SSL
7,AVAXUSDT,SELL,712,2025-10-23 23:30:00,713,2025-10-23 23:45:00,19.053,2025-10-24 07:30:00,19.554,31,0.226,3.133,-2.63,lose,False,,
8,AVAXUSDT,BUY,743,2025-10-24 07:15:00,744,2025-10-24 07:30:00,19.554,2025-10-28 12:00:00,20.179,402,7.819,2.24,3.196,win,False,,
9,AVAXUSDT,SELL,1145,2025-10-28 11:45:00,1146,2025-10-28 12:00:00,20.179,2025-11-01 10:30:00,18.577,378,13.197,1.472,7.939,win,False,5.499,SSL
11,AVAXUSDT,SELL,1641,2025-11-02 15:45:00,1642,2025-11-02 16:00:00,18.263,2025-11-05 19:00:00,16.915,300,18.009,3.526,7.381,win,False,,
13,AVAXUSDT,SELL,2022,2025-11-06 15:00:00,2023,2025-11-06 15:15:00,16.034,2025-11-07 08:00:00,16.91,67,2.782,5.582,-5.463,win,False,6.727,SSL
15,AVAXUSDT,SELL,2261,2025-11-09 02:45:00,2262,2025-11-09 03:00:00,16.905,2025-11-09 14:45:00,17.767,47,0.68,5.732,-5.099,lose,False,7.329,SSL
16,AVAXUSDT,BUY,2308,2025-11-09 14:30:00,2309,2025-11-09 14:45:00,17.767,2025-11-11 19:15:00,17.335,210,4.683,2.899,-2.431,win,False,3.369,BSL
17,AVAXUSDT,SELL,2518,2025-11-11 19:00:00,2519,2025-11-11 19:15:00,17.335,2025-11-13 07:30:00,17.562,145,4.13,2.452,-1.309,win,False,2.827,SSL
18,AVAXUSDT,BUY,2663,2025-11-13 07:15:00,2664,2025-11-13 07:30:00,17.562,2025-11-13 18:15:00,16.274,43,0.216,7.562,-7.334,lose,False,,
19,AVAXUSDT,SELL,2706,2025-11-13 18:00:00,2707,2025-11-13 18:15:00,16.274,2025-11-24 05:15:00,13.501,1004,24.727,0.363,17.039,win,False,3.736,SSL
20,AVAXUSDT,BUY,3710,2025-11-24 05:00:00,3711,2025-11-24 05:15:00,13.501,2025-11-29 02:30:00,14.825,469,13.006,1.874,9.807,win,False,3.777,BSL
21,AVAXUSDT,SELL,4179,2025-11-29 02:15:00,4180,2025-11-29 02:30:00,14.825,2025-12-02 15:30:00,13.44,340,15.386,0.513,9.342,win,False,6.024,SSL
22,AVAXUSDT,BUY,4519,2025-12-02 15:15:00,4520,2025-12-02 15:30:00,13.44,2025-12-04 20:30:00,14.386,212,12.173,0.0,7.039,win,False,6.551,BSL
23,AVAXUSDT,SELL,4731,2025-12-04 20:15:00,4732,2025-12-04 20:30:00,14.386,2025-12-07 19:00:00,13.766,282,10.329,0.918,4.31,win,False,10.691,SSL
25,AVAXUSDT,SELL,5323,2025-12-11 00:15:00,5324,2025-12-11 00:30:00,13.982,2025-12-12 10:00:00,13.626,134,7.953,0.007,2.546,win,False,8.11,SSL
28,AVAXUSDT,BUY,5550,2025-12-13 09:00:00,5551,2025-12-13 09:15:00,13.399,2025-12-14 10:15:00,13.116,100,0.455,2.358,-2.112,lose,False,3.153,BSL
29,AVAXUSDT,SELL,5650,2025-12-14 10:00:00,5651,2025-12-14 10:15:00,13.116,2025-12-19 09:45:00,11.933,478,14.143,1.815,9.02,win,False,3.766,SSL
30,AVAXUSDT,BUY,6128,2025-12-19 09:30:00,6129,2025-12-19 09:45:00,11.933,2025-12-21 08:00:00,12.117,185,4.408,0.142,1.542,win,False,3.662,BSL
31,AVAXUSDT,SELL,6313,2025-12-21 07:45:00,6314,2025-12-21 08:00:00,12.117,2025-12-22 12:45:00,12.363,115,1.428,2.682,-2.03,lose,False,7.221,SSL
33,AVAXUSDT,SELL,6533,2025-12-23 14:45:00,6534,2025-12-23 15:00:00,11.932,2025-12-25 08:30:00,12.214,166,0.511,3.771,-2.363,lose,False,5.783,SSL
