entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
6,AVAXUSDT,BUY,652,2025-10-23 08:30:00,653,2025-10-23 08:45:00,19.536,2025-10-23 23:45:00,19.053,60,1.044,2.846,-2.472,lose,True,0.768,BSL
10,AVAXUSDT,BUY,1523,2025-11-01 10:15:00,1524,2025-11-01 10:30:00,18.577,2025-11-02 16:00:00,18.263,118,2.277,2.132,-1.69,win,True,0.396,BSL
12,AVAXUSDT,BUY,1941,2025-11-05 18:45:00,1942,2025-11-05 19:00:00,16.915,2025-11-06 15:15:00,16.034,81,0.053,5.439,-5.208,lose,True,0.29,BSL
14,AVAXUSDT,BUY,2089,2025-11-07 07:45:00,2090,2025-11-07 08:00:00,16.91,2025-11-09 03:00:00,16.905,172,8.829,4.926,-0.03,win,True,0.319,BSL
24,AVAXUSDT,BUY,5013,2025-12-07 18:45:00,5014,2025-12-07 19:00:00,13.766,2025-12-11 00:30:00,13.982,310,7.664,3.69,1.569,win,True,0.438,BSL
26,AVAXUSDT,BUY,5457,2025-12-12 09:45:00,5458,2025-12-12 10:00:00,13.626,2025-12-12 16:30:00,12.969,26,0.352,6.113,-4.822,lose,True,1.435,BSL
27,AVAXUSDT,SELL,5483,2025-12-12 16:15:00,5484,2025-12-12 16:30:00,12.969,2025-12-13 09:15:00,13.399,67,1.373,3.778,-3.316,lose,True,0.933,SSL
32,AVAXUSDT,BUY,6428,2025-12-22 12:30:00,6429,2025-12-22 12:45:00,12.363,2025-12-23 15:00:00,11.932,105,1.456,4.554,-3.486,lose,True,0.057,BSL
35,AVAXUSDT,SELL,6763,2025-12-26 00:15:00,6764,2025-12-26 00:30:00,12.041,2025-12-26 04:30:00,12.537,16,0.208,4.75,-4.119,lose,True,0.684,SSL
37,AVAXUSDT,SELL,6827,2025-12-26 16:15:00,6828,2025-12-26 16:30:00,12.254,2025-12-27 13:15:00,12.482,83,0.816,1.959,-1.861,lose,True,0.612,SSL
39,AVAXUSDT,SELL,7036,2025-12-28 20:30:00,7037,2025-12-28 20:45:00,12.552,2025-12-29 03:00:00,12.863,25,0.239,3.258,-2.478,lose,True,0.983,SSL
41,AVAXUSDT,SELL,7100,2025-12-29 12:30:00,7101,2025-12-29 12:45:00,12.568,2026-01-01 16:00:00,12.522,301,3.016,1.321,0.366,win,True,1.109,SSL
43,AVAXUSDT,SELL,7974,2026-01-07 15:00:00,7975,2026-01-07 15:15:00,14.11,2026-01-11 19:30:00,13.886,401,3.756,0.907,1.588,win,True,1.384,SSL
45,AVAXUSDT,SELL,8439,2026-01-12 11:15:00,8440,2026-01-12 11:30:00,13.63,2026-01-13 14:45:00,14.067,109,1.959,3.39,-3.206,lose,True,1.135,SSL
49,AVAXUSDT,SELL,9015,2026-01-18 11:15:00,9016,2026-01-18 11:30:00,13.57,2026-01-21 22:30:00,12.54,332,12.587,1.356,7.59,win,True,0.571,SSL
51,AVAXUSDT,SELL,9415,2026-01-22 15:15:00,9416,2026-01-22 15:30:00,12.046,2026-01-27 04:15:00,11.805,435,6.832,3.669,2.001,win,True,0.725,SSL
56,AVAXUSDT,BUY,11408,2026-02-12 09:30:00,11409,2026-02-12 09:45:00,8.862,2026-02-15 18:00:00,9.25,321,9.964,2.844,4.378,win,True,0.638,BSL
63,AVAXUSDT,SELL,13086,2026-03-01 21:00:00,13087,2026-03-01 21:15:00,8.87,2026-03-02 16:00:00,9.31,75,0.124,5.953,-4.961,lose,True,0.126,SSL
64,AVAXUSDT,BUY,13161,2026-03-02 15:45:00,13162,2026-03-02 16:00:00,9.31,2026-03-03 12:00:00,9.009,80,1.794,4.006,-3.233,lose,True,1.281,BSL
77,AVAXUSDT,SELL,15926,2026-03-31 11:00:00,15927,2026-03-31 11:15:00,8.756,2026-04-01 06:00:00,9.081,75,0.514,4.089,-3.712,lose,True,0.234,SSL
79,AVAXUSDT,SELL,16084,2026-04-02 02:30:00,16085,2026-04-02 02:45:00,8.768,2026-04-03 08:45:00,8.894,120,1.779,2.042,-1.437,lose,True,0.371,SSL
81,AVAXUSDT,SELL,16390,2026-04-05 07:00:00,16391,2026-04-05 07:15:00,8.815,2026-04-06 00:15:00,9.185,68,0.839,4.277,-4.197,lose,True,0.902,SSL
87,AVAXUSDT,SELL,16975,2026-04-11 09:15:00,16976,2026-04-11 09:30:00,9.283,2026-04-11 19:00:00,9.488,38,1.066,2.542,-2.208,lose,True,0.571,SSL
89,AVAXUSDT,SELL,17043,2026-04-12 02:15:00,17044,2026-04-12 02:30:00,9.087,2026-04-13 17:45:00,9.331,157,1.794,3.301,-2.685,lose,True,1.034,SSL
