entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
2,BNBUSDT,BUY,169,2025-10-18 07:45:00,170,2025-10-18 08:00:00,1118.02,2025-10-19 09:30:00,1069.44,102,0.563,4.501,-4.345,lose,True,1.25,BSL
3,BNBUSDT,SELL,271,2025-10-19 09:15:00,272,2025-10-19 09:30:00,1069.44,2025-10-19 16:30:00,1120.11,28,0.035,4.952,-4.738,lose,True,0.46,SSL
4,BNBUSDT,BUY,299,2025-10-19 16:15:00,300,2025-10-19 16:30:00,1120.11,2025-10-20 19:00:00,1097.9,106,2.02,2.968,-1.983,win,True,1.061,BSL
7,BNBUSDT,SELL,782,2025-10-24 17:00:00,783,2025-10-24 17:15:00,1100.82,2025-10-26 10:45:00,1124.27,166,0.074,2.881,-2.13,lose,True,0.242,SSL
11,BNBUSDT,SELL,2112,2025-11-07 13:30:00,2113,2025-11-07 13:45:00,935.47,2025-11-07 19:15:00,983.58,22,1.032,5.181,-5.143,lose,True,1.06,SSL
13,BNBUSDT,SELL,2413,2025-11-10 16:45:00,2414,2025-11-10 17:00:00,979.49,2025-11-15 19:15:00,944.19,489,9.333,2.996,3.604,win,True,0.548,SSL
15,BNBUSDT,SELL,2988,2025-11-16 16:30:00,2989,2025-11-16 16:45:00,917.27,2025-11-18 18:45:00,936.54,200,3.619,2.537,-2.101,win,True,0.966,SSL
16,BNBUSDT,BUY,3188,2025-11-18 18:30:00,3189,2025-11-18 18:45:00,936.54,2025-11-19 16:15:00,897.87,86,0.567,4.653,-4.129,lose,True,0.869,BSL
22,BNBUSDT,BUY,4321,2025-11-30 13:45:00,4322,2025-11-30 14:00:00,896.82,2025-12-01 00:30:00,849.75,42,0.394,5.477,-5.249,lose,True,0.713,BSL
26,BNBUSDT,BUY,4948,2025-12-07 02:30:00,4949,2025-12-07 02:45:00,895.04,2025-12-07 15:00:00,874.0,49,0.379,2.735,-2.351,lose,True,0.37,BSL
28,BNBUSDT,BUY,5019,2025-12-07 20:15:00,5020,2025-12-07 20:30:00,905.26,2025-12-09 02:45:00,893.66,121,0.942,2.648,-1.281,lose,True,0.173,BSL
29,BNBUSDT,SELL,5140,2025-12-09 02:30:00,5141,2025-12-09 02:45:00,893.66,2025-12-09 16:45:00,921.75,56,1.325,3.739,-3.143,lose,True,1.114,SSL
30,BNBUSDT,BUY,5196,2025-12-09 16:30:00,5197,2025-12-09 16:45:00,921.75,2025-12-10 03:15:00,891.13,42,0.738,3.711,-3.322,lose,True,0.615,BSL
31,BNBUSDT,SELL,5238,2025-12-10 03:00:00,5239,2025-12-10 03:15:00,891.13,2025-12-11 23:45:00,888.2,178,3.583,2.761,0.329,win,True,0.833,SSL
33,BNBUSDT,SELL,5678,2025-12-14 17:00:00,5679,2025-12-14 17:15:00,883.61,2025-12-16 23:00:00,874.05,215,4.849,1.408,1.082,win,True,1.487,SSL
34,BNBUSDT,BUY,5893,2025-12-16 22:45:00,5894,2025-12-16 23:00:00,874.05,2025-12-17 11:15:00,859.14,49,0.262,2.119,-1.706,lose,True,0.268,BSL
37,BNBUSDT,SELL,6502,2025-12-23 07:00:00,6503,2025-12-23 07:15:00,849.27,2025-12-25 02:15:00,846.5,172,1.639,0.5,0.326,lose,True,0.572,SSL
38,BNBUSDT,BUY,6674,2025-12-25 02:00:00,6675,2025-12-25 02:15:00,846.5,2025-12-25 11:30:00,838.2,37,0.214,1.317,-0.981,lose,True,0.326,BSL
39,BNBUSDT,SELL,6711,2025-12-25 11:15:00,6712,2025-12-25 11:30:00,838.2,2025-12-27 08:45:00,841.8,181,2.051,1.11,-0.429,win,True,0.347,SSL
40,BNBUSDT,BUY,6892,2025-12-27 08:30:00,6893,2025-12-27 08:45:00,841.8,2025-12-29 12:15:00,848.05,206,3.677,0.513,0.742,win,True,0.319,BSL
41,BNBUSDT,SELL,7098,2025-12-29 12:00:00,7099,2025-12-29 12:15:00,848.05,2025-12-30 16:45:00,859.57,114,0.196,1.96,-1.358,lose,True,1.308,SSL
45,BNBUSDT,SELL,7979,2026-01-07 16:15:00,7980,2026-01-07 16:30:00,902.0,2026-01-10 01:15:00,899.78,227,2.993,0.373,0.246,win,True,1.127,SSL
46,BNBUSDT,BUY,8206,2026-01-10 01:00:00,8207,2026-01-10 01:15:00,899.78,2026-01-11 20:45:00,901.37,174,2.025,0.123,0.177,win,True,0.613,BSL
47,BNBUSDT,SELL,8380,2026-01-11 20:30:00,8381,2026-01-11 20:45:00,901.37,2026-01-13 15:00:00,910.98,169,0.811,1.588,-1.066,lose,True,0.288,SSL
50,BNBUSDT,BUY,8915,2026-01-17 10:15:00,8916,2026-01-17 10:30:00,942.75,2026-01-19 00:15:00,913.66,151,1.883,4.464,-3.086,lose,True,1.243,BSL
53,BNBUSDT,SELL,9625,2026-01-24 19:45:00,9626,2026-01-24 20:00:00,888.59,2026-01-27 02:15:00,882.96,217,3.664,0.171,0.634,win,True,0.984,SSL
54,BNBUSDT,BUY,9842,2026-01-27 02:00:00,9843,2026-01-27 02:15:00,882.96,2026-01-29 13:30:00,892.68,237,3.06,0.649,1.101,win,True,1.088,BSL
56,BNBUSDT,BUY,10534,2026-02-03 07:00:00,10535,2026-02-03 07:15:00,780.16,2026-02-03 19:00:00,737.12,47,0.464,5.624,-5.517,lose,True,0.841,BSL
58,BNBUSDT,BUY,10864,2026-02-06 17:30:00,10865,2026-02-06 17:45:00,665.07,2026-02-07 10:00:00,636.24,65,0.514,4.95,-4.335,lose,True,0.196,BSL
60,BNBUSDT,BUY,11388,2026-02-12 04:30:00,11389,2026-02-12 04:45:00,615.58,2026-02-13 06:30:00,593.18,103,0.846,3.782,-3.639,lose,True,0.942,BSL
61,BNBUSDT,SELL,11491,2026-02-13 06:15:00,11492,2026-02-13 06:30:00,593.18,2026-02-13 18:00:00,615.9,46,0.101,4.381,-3.83,lose,True,0.98,SSL
62,BNBUSDT,BUY,11537,2026-02-13 17:45:00,11538,2026-02-13 18:00:00,615.9,2026-02-15 18:00:00,613.92,192,4.351,0.95,-0.321,win,True,0.889,BSL
64,BNBUSDT,BUY,11852,2026-02-17 00:30:00,11853,2026-02-17 00:45:00,626.46,2026-02-17 17:45:00,613.06,68,0.884,2.754,-2.139,lose,True,1.159,BSL
77,BNBUSDT,SELL,14253,2026-03-14 00:45:00,14254,2026-03-14 01:00:00,653.16,2026-03-15 05:30:00,659.88,114,0.488,1.237,-1.029,lose,True,0.016,SSL
80,BNBUSDT,BUY,15165,2026-03-23 12:45:00,15166,2026-03-23 13:00:00,644.92,2026-03-24 06:00:00,629.24,68,0.699,2.758,-2.431,lose,True,0.176,BSL
81,BNBUSDT,SELL,15233,2026-03-24 05:45:00,15234,2026-03-24 06:00:00,629.24,2026-03-25 02:45:00,639.88,83,0.41,1.955,-1.691,lose,True,0.939,SSL
82,BNBUSDT,BUY,15316,2026-03-25 02:30:00,15317,2026-03-25 02:45:00,639.88,2026-03-26 06:45:00,634.44,112,2.079,1.017,-0.85,win,True,0.965,BSL
87,BNBUSDT,SELL,15919,2026-03-31 09:15:00,15920,2026-03-31 09:30:00,605.54,2026-03-31 23:00:00,617.22,54,1.146,2.393,-1.929,lose,True,1.36,SSL
88,BNBUSDT,BUY,15973,2026-03-31 22:45:00,15974,2026-03-31 23:00:00,617.22,2026-04-02 02:30:00,599.91,110,0.881,2.928,-2.805,lose,True,0.601,BSL
91,BNBUSDT,SELL,16561,2026-04-07 01:45:00,16562,2026-04-07 02:00:00,597.46,2026-04-07 21:15:00,612.19,77,0.877,2.767,-2.465,lose,True,1.307,SSL
92,BNBUSDT,BUY,16638,2026-04-07 21:00:00,16639,2026-04-07 21:15:00,612.19,2026-04-08 16:45:00,606.41,78,2.155,1.753,-0.944,win,True,1.428,BSL
94,BNBUSDT,BUY,16922,2026-04-10 20:00:00,16923,2026-04-10 20:15:00,609.92,2026-04-12 02:00:00,593.81,119,0.762,3.228,-2.641,lose,True,0.265,BSL
95,BNBUSDT,SELL,17041,2026-04-12 01:45:00,17042,2026-04-12 02:00:00,593.81,2026-04-13 16:00:00,603.8,152,0.781,1.953,-1.682,lose,True,0.701,SSL
97,BNBUSDT,SELL,17656,2026-04-18 11:30:00,17657,2026-04-18 11:45:00,632.27,2026-04-20 17:30:00,629.4,215,2.709,0.465,0.454,win,True,0.482,SSL
98,BNBUSDT,BUY,17871,2026-04-20 17:15:00,17872,2026-04-20 17:30:00,629.4,2026-04-23 03:00:00,635.09,230,4.05,0.68,0.904,win,True,0.935,BSL
100,BNBUSDT,BUY,18459,2026-04-26 20:15:00,18460,2026-04-26 20:30:00,635.57,2026-04-27 07:15:00,626.41,43,0.757,1.611,-1.441,lose,True,0.593,BSL
101,BNBUSDT,SELL,18502,2026-04-27 07:00:00,18503,2026-04-27 07:15:00,626.41,2026-04-29 10:30:00,629.8,205,1.221,0.549,-0.541,lose,True,0.473,SSL
103,BNBUSDT,SELL,18729,2026-04-29 15:45:00,18730,2026-04-29 16:00:00,616.75,2026-05-01 14:15:00,622.44,185,1.047,1.041,-0.923,lose,True,0.422,SSL
105,BNBUSDT,SELL,18987,2026-05-02 08:15:00,18988,2026-05-02 08:30:00,616.07,2026-05-02 23:00:00,620.0,58,0.174,0.997,-0.638,lose,True,0.312,SSL
107,BNBUSDT,SELL,19524,2026-05-07 22:30:00,19525,2026-05-07 22:45:00,634.27,2026-05-08 19:15:00,648.15,82,0.076,2.486,-2.188,lose,True,0.424,SSL
108,BNBUSDT,BUY,19606,2026-05-08 19:00:00,19607,2026-05-08 19:15:00,648.15,2026-05-10 03:45:00,648.0,130,1.308,0.455,-0.023,lose,True,0.969,BSL
111,BNBUSDT,SELL,19978,2026-05-12 16:00:00,19979,2026-05-12 16:15:00,653.7,2026-05-12 22:15:00,668.36,24,0.415,2.255,-2.243,lose,True,0.675,SSL
114,BNBUSDT,BUY,20174,2026-05-14 17:00:00,20175,2026-05-14 17:15:00,684.33,2026-05-15 23:45:00,672.57,122,0.909,2.179,-1.718,lose,True,0.337,BSL
118,BNBUSDT,BUY,21047,2026-05-23 19:15:00,21048,2026-05-23 19:30:00,653.26,2026-05-26 02:00:00,657.93,218,3.1,0.499,0.715,win,True,1.091,BSL
119,BNBUSDT,SELL,21265,2026-05-26 01:45:00,21266,2026-05-26 02:00:00,657.93,2026-05-30 01:30:00,648.08,382,4.485,1.607,1.497,win,True,0.775,SSL
123,BNBUSDT,SELL,22660,2026-06-09 14:30:00,22661,2026-06-09 14:45:00,586.12,2026-06-11 08:45:00,600.93,168,0.891,3.03,-2.527,lose,True,0.197,SSL
125,BNBUSDT,SELL,23162,2026-06-14 20:00:00,23163,2026-06-14 20:15:00,603.1,2026-06-14 23:15:00,615.54,12,0.002,2.409,-2.063,lose,True,0.787,SSL
