entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
2,BTCUSDT,BUY,281,2025-10-19 11:45:00,282,2025-10-19 12:00:00,107730.6,2025-10-21 04:30:00,108181.9,162,3.638,0.388,0.419,win,True,1.457,BSL
3,BTCUSDT,SELL,443,2025-10-21 04:15:00,444,2025-10-21 04:30:00,108181.9,2025-10-21 15:30:00,112899.9,44,0.723,4.546,-4.361,lose,True,0.733,SSL
5,BTCUSDT,SELL,525,2025-10-22 00:45:00,526,2025-10-22 01:00:00,107930.1,2025-10-23 13:30:00,109106.1,146,1.454,2.173,-1.09,lose,True,1.436,SSL
8,BTCUSDT,BUY,1433,2025-10-31 11:45:00,1434,2025-10-31 12:00:00,110375.7,2025-11-03 03:30:00,108079.9,254,0.777,2.243,-2.08,lose,True,0.872,BSL
12,BTCUSDT,BUY,2139,2025-11-07 20:15:00,2140,2025-11-07 20:30:00,103145.0,2025-11-09 09:15:00,102009.2,147,0.897,1.789,-1.101,lose,True,1.081,BSL
18,BTCUSDT,BUY,3200,2025-11-18 21:30:00,3201,2025-11-18 21:45:00,92591.1,2025-11-19 06:30:00,90769.3,35,0.874,2.835,-1.968,lose,True,1.391,BSL
20,BTCUSDT,BUY,3317,2025-11-20 02:45:00,3318,2025-11-20 03:00:00,92556.0,2025-11-20 16:45:00,88199.0,55,0.642,4.846,-4.707,lose,True,1.43,BSL
23,BTCUSDT,SELL,3925,2025-11-26 10:45:00,3926,2025-11-26 11:00:00,86916.1,2025-11-26 18:15:00,90001.1,29,0.754,3.652,-3.549,lose,True,0.869,SSL
28,BTCUSDT,BUY,5012,2025-12-07 18:30:00,5013,2025-12-07 18:45:00,91337.3,2025-12-08 16:30:00,90249.7,87,1.013,2.679,-1.191,lose,True,0.211,BSL
29,BTCUSDT,SELL,5099,2025-12-08 16:15:00,5100,2025-12-08 16:30:00,90249.7,2025-12-09 16:30:00,93344.8,96,0.976,3.812,-3.429,lose,True,0.683,SSL
32,BTCUSDT,BUY,5409,2025-12-11 21:45:00,5410,2025-12-11 22:00:00,92823.6,2025-12-12 16:45:00,89602.7,75,0.372,3.657,-3.47,lose,True,0.691,BSL
33,BTCUSDT,SELL,5484,2025-12-12 16:30:00,5485,2025-12-12 16:45:00,89602.7,2025-12-16 21:45:00,87843.7,404,5.055,1.133,1.963,win,True,0.403,SSL
36,BTCUSDT,BUY,6051,2025-12-18 14:15:00,6052,2025-12-18 14:30:00,88488.4,2025-12-18 23:45:00,85444.7,37,0.954,4.611,-3.44,lose,True,1.339,BSL
39,BTCUSDT,SELL,6484,2025-12-23 02:30:00,6485,2025-12-23 02:45:00,88229.0,2025-12-25 16:30:00,88377.0,247,2.124,0.414,-0.168,win,True,1.499,SSL
41,BTCUSDT,SELL,6826,2025-12-26 16:00:00,6827,2025-12-26 16:15:00,86980.1,2025-12-28 09:00:00,87771.1,163,0.253,1.123,-0.909,lose,True,0.084,SSL
42,BTCUSDT,BUY,6989,2025-12-28 08:45:00,6990,2025-12-28 09:00:00,87771.1,2025-12-29 11:00:00,87747.2,104,2.965,0.42,-0.027,win,True,0.106,BSL
43,BTCUSDT,SELL,7093,2025-12-29 10:45:00,7094,2025-12-29 11:00:00,87747.2,2025-12-30 16:00:00,88966.8,116,1.125,1.571,-1.39,lose,True,0.958,SSL
45,BTCUSDT,SELL,7311,2025-12-31 17:15:00,7312,2025-12-31 17:30:00,87588.4,2026-01-01 21:45:00,88286.3,113,0.456,1.013,-0.797,lose,True,0.778,SSL
47,BTCUSDT,SELL,7890,2026-01-06 18:00:00,7891,2026-01-06 18:15:00,91784.2,2026-01-11 14:45:00,90987.1,466,2.77,2.223,0.868,win,True,0.963,SSL
48,BTCUSDT,BUY,8356,2026-01-11 14:30:00,8357,2026-01-11 14:45:00,90987.1,2026-01-12 15:00:00,90852.7,97,1.65,1.012,-0.148,lose,True,0.706,BSL
50,BTCUSDT,BUY,8520,2026-01-13 07:30:00,8521,2026-01-13 07:45:00,91908.8,2026-01-15 21:45:00,95453.9,248,6.554,0.227,3.857,win,True,0.63,BSL
51,BTCUSDT,SELL,8768,2026-01-15 21:30:00,8769,2026-01-15 21:45:00,95453.9,2026-01-23 18:45:00,90700.9,756,8.641,0.402,4.979,win,True,0.883,SSL
53,BTCUSDT,SELL,9610,2026-01-24 16:00:00,9611,2026-01-24 16:15:00,89207.3,2026-01-27 03:00:00,88785.7,235,3.571,0.266,0.473,win,True,0.075,SSL
54,BTCUSDT,BUY,9845,2026-01-27 02:45:00,9846,2026-01-27 03:00:00,88785.7,2026-01-29 04:30:00,88033.9,198,2.035,1.712,-0.847,win,True,0.153,BSL
56,BTCUSDT,BUY,10539,2026-02-03 08:15:00,10540,2026-02-03 08:30:00,78846.7,2026-02-03 17:45:00,75120.3,37,0.257,4.738,-4.726,lose,True,0.434,BSL
59,BTCUSDT,SELL,11127,2026-02-09 11:15:00,11128,2026-02-09 11:30:00,68832.9,2026-02-13 15:30:00,68864.1,400,5.451,3.272,-0.045,win,True,0.479,SSL
60,BTCUSDT,BUY,11527,2026-02-13 15:15:00,11528,2026-02-13 15:30:00,68864.1,2026-02-15 15:15:00,69174.0,191,3.012,0.783,0.45,win,True,1.237,BSL
62,BTCUSDT,BUY,12167,2026-02-20 07:15:00,12168,2026-02-20 07:30:00,67910.6,2026-02-22 15:30:00,67574.2,224,1.143,2.212,-0.495,lose,True,0.559,BSL
63,BTCUSDT,SELL,12391,2026-02-22 15:15:00,12392,2026-02-22 15:30:00,67574.2,2026-02-25 02:00:00,65860.4,234,7.655,0.334,2.536,win,True,0.158,SSL
74,BTCUSDT,BUY,15164,2026-03-23 12:30:00,15165,2026-03-23 12:45:00,70680.5,2026-03-24 17:15:00,69205.2,114,1.569,2.253,-2.087,lose,True,1.218,BSL
76,BTCUSDT,BUY,15331,2026-03-25 06:15:00,15332,2026-03-25 06:30:00,71195.8,2026-03-26 08:00:00,70053.8,102,1.129,2.069,-1.604,lose,True,0.486,BSL
78,BTCUSDT,BUY,15659,2026-03-28 16:15:00,15660,2026-03-28 16:30:00,67038.9,2026-03-31 11:00:00,66329.4,266,1.996,3.163,-1.058,lose,True,0.228,BSL
79,BTCUSDT,SELL,15925,2026-03-31 10:45:00,15926,2026-03-31 11:00:00,66329.4,2026-03-31 23:30:00,68224.2,50,0.188,3.423,-2.857,lose,True,0.218,SSL
81,BTCUSDT,SELL,16088,2026-04-02 03:30:00,16089,2026-04-02 03:45:00,66571.4,2026-04-04 13:45:00,67209.9,232,1.345,1.245,-0.959,lose,True,0.581,SSL
82,BTCUSDT,BUY,16320,2026-04-04 13:30:00,16321,2026-04-04 13:45:00,67209.9,2026-04-05 13:30:00,66676.6,95,0.513,0.944,-0.793,lose,True,0.335,BSL
85,BTCUSDT,SELL,16602,2026-04-07 12:00:00,16603,2026-04-07 12:15:00,68243.0,2026-04-07 22:45:00,70726.3,42,0.78,4.462,-3.639,lose,True,0.401,SSL
91,BTCUSDT,SELL,18146,2026-04-23 14:00:00,18147,2026-04-23 14:15:00,77483.0,2026-04-26 07:15:00,77967.4,260,0.752,1.504,-0.625,lose,True,1.138,SSL
