entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
1,DOGEUSDT,SELL,13,2025-10-16 16:45:00,14,2025-10-16 17:00:00,0.1947,2025-10-18 18:00:00,0.1899,196,9.909,0.01,2.445,win,False,,
4,DOGEUSDT,BUY,488,2025-10-21 15:30:00,489,2025-10-21 15:45:00,0.2051,2025-10-22 03:45:00,0.193,48,0.224,6.221,-5.914,lose,False,,
5,DOGEUSDT,SELL,536,2025-10-22 03:30:00,537,2025-10-22 03:45:00,0.193,2025-10-23 11:30:00,0.1943,127,4.405,1.503,-0.684,win,False,3.85,SSL
6,DOGEUSDT,BUY,663,2025-10-23 11:15:00,664,2025-10-23 11:30:00,0.1943,2025-10-26 04:45:00,0.1953,261,3.521,1.493,0.515,win,False,,
7,DOGEUSDT,SELL,924,2025-10-26 04:30:00,925,2025-10-26 04:45:00,0.1953,2025-10-26 10:30:00,0.1989,23,0.133,2.868,-1.864,lose,False,9.957,SSL
8,DOGEUSDT,BUY,947,2025-10-26 10:15:00,948,2025-10-26 10:30:00,0.1989,2025-10-27 22:15:00,0.2021,143,5.288,0.337,1.588,win,False,,
9,DOGEUSDT,SELL,1090,2025-10-27 22:00:00,1091,2025-10-27 22:15:00,0.2021,2025-10-31 23:15:00,0.1861,388,12.757,0.455,7.932,win,False,12.987,SSL
13,DOGEUSDT,SELL,2023,2025-11-06 15:15:00,2024,2025-11-06 15:30:00,0.1608,2025-11-07 10:00:00,0.165,74,2.449,3.998,-2.561,win,False,,
14,DOGEUSDT,BUY,2097,2025-11-07 09:45:00,2098,2025-11-07 10:00:00,0.165,2025-11-09 03:15:00,0.1726,165,11.105,3.298,4.655,win,False,,
15,DOGEUSDT,SELL,2262,2025-11-09 03:00:00,2263,2025-11-09 03:15:00,0.1726,2025-11-09 20:00:00,0.18,67,0.886,4.298,-4.275,lose,False,7.799,SSL
16,DOGEUSDT,BUY,2329,2025-11-09 19:45:00,2330,2025-11-09 20:00:00,0.18,2025-11-11 18:30:00,0.175,186,3.516,3.244,-2.788,win,False,1.911,BSL
17,DOGEUSDT,SELL,2515,2025-11-11 18:15:00,2516,2025-11-11 18:30:00,0.175,2025-11-12 14:30:00,0.1778,80,2.383,1.983,-1.577,win,False,2.303,SSL
19,DOGEUSDT,SELL,2606,2025-11-12 17:00:00,2607,2025-11-12 17:15:00,0.1687,2025-11-13 08:15:00,0.1758,60,0.931,4.95,-4.239,lose,False,5.623,SSL
21,DOGEUSDT,SELL,2706,2025-11-13 18:00:00,2707,2025-11-13 18:15:00,0.1645,2025-11-18 18:30:00,0.1611,481,9.274,0.997,2.115,win,False,3.255,SSL
22,DOGEUSDT,BUY,3187,2025-11-18 18:15:00,3188,2025-11-18 18:30:00,0.1611,2025-11-19 16:30:00,0.1533,88,1.142,5.004,-4.799,lose,False,,
23,DOGEUSDT,SELL,3275,2025-11-19 16:15:00,3276,2025-11-19 16:30:00,0.1533,2025-11-20 05:00:00,0.1584,50,4.096,3.385,-3.3,win,False,,
26,DOGEUSDT,BUY,3612,2025-11-23 04:30:00,3613,2025-11-23 04:45:00,0.1437,2025-11-25 15:45:00,0.1483,236,7.082,1.294,3.145,win,False,6.797,BSL
28,DOGEUSDT,BUY,3953,2025-11-26 17:45:00,3954,2025-11-26 18:00:00,0.1557,2025-11-28 02:00:00,0.1502,128,0.681,3.655,-3.527,lose,False,,
30,DOGEUSDT,BUY,4515,2025-12-02 14:15:00,4516,2025-12-02 14:30:00,0.1389,2025-12-05 01:30:00,0.1479,236,10.426,0.194,6.523,win,False,11.021,BSL
31,DOGEUSDT,SELL,4751,2025-12-05 01:15:00,4752,2025-12-05 01:30:00,0.1479,2025-12-07 21:00:00,0.1421,270,8.902,0.223,3.981,win,False,8.912,SSL
32,DOGEUSDT,BUY,5021,2025-12-07 20:45:00,5022,2025-12-07 21:00:00,0.1421,2025-12-09 11:30:00,0.1402,154,2.063,4.435,-1.323,win,False,7.395,BSL
33,DOGEUSDT,SELL,5175,2025-12-09 11:15:00,5176,2025-12-09 11:30:00,0.1402,2025-12-09 16:15:00,0.1492,19,0.064,6.592,-6.399,lose,False,3.863,SSL
34,DOGEUSDT,BUY,5194,2025-12-09 16:00:00,5195,2025-12-09 16:15:00,0.1492,2025-12-11 00:00:00,0.1432,127,2.668,4.64,-3.962,win,False,2.29,BSL
35,DOGEUSDT,SELL,5321,2025-12-10 23:45:00,5322,2025-12-11 00:00:00,0.1432,2025-12-13 12:15:00,0.1396,241,6.339,0.195,2.52,win,False,5.917,SSL
36,DOGEUSDT,BUY,5562,2025-12-13 12:00:00,5563,2025-12-13 12:15:00,0.1396,2025-12-14 12:00:00,0.1367,95,0.244,2.858,-2.084,lose,False,10.433,BSL
37,DOGEUSDT,SELL,5657,2025-12-14 11:45:00,5658,2025-12-14 12:00:00,0.1367,2025-12-16 23:30:00,0.1315,238,7.446,1.221,3.811,win,False,3.397,SSL
38,DOGEUSDT,BUY,5895,2025-12-16 23:15:00,5896,2025-12-16 23:30:00,0.1315,2025-12-17 18:45:00,0.1258,77,3.627,4.768,-4.365,win,False,17.252,BSL
39,DOGEUSDT,SELL,5972,2025-12-17 18:30:00,5973,2025-12-17 18:45:00,0.1258,2025-12-19 07:45:00,0.1278,148,4.707,3.904,-1.59,win,False,,
40,DOGEUSDT,BUY,6120,2025-12-19 07:30:00,6121,2025-12-19 07:45:00,0.1278,2025-12-21 15:15:00,0.1291,222,4.477,0.29,1.025,win,False,6.293,BSL
41,DOGEUSDT,SELL,6342,2025-12-21 15:00:00,6343,2025-12-21 15:15:00,0.1291,2025-12-22 09:00:00,0.1322,71,0.139,3.951,-2.433,lose,False,6.891,SSL
42,DOGEUSDT,BUY,6413,2025-12-22 08:45:00,6414,2025-12-22 09:00:00,0.1322,2025-12-23 15:00:00,0.1288,120,2.36,3.328,-2.556,win,False,2.715,BSL
43,DOGEUSDT,SELL,6533,2025-12-23 14:45:00,6534,2025-12-23 15:00:00,0.1288,2025-12-28 04:15:00,0.1241,437,6.458,1.583,3.671,win,False,6.718,SSL
46,DOGEUSDT,BUY,7377,2026-01-01 09:45:00,7378,2026-01-01 10:00:00,0.1203,2026-01-06 18:30:00,0.1451,514,30.098,0.141,20.542,win,False,28.135,BSL
47,DOGEUSDT,SELL,7891,2026-01-06 18:15:00,7892,2026-01-06 18:30:00,0.1451,2026-01-13 14:30:00,0.1406,656,7.045,6.191,3.054,win,False,4.48,SSL
48,DOGEUSDT,BUY,8547,2026-01-13 14:15:00,8548,2026-01-13 14:30:00,0.1406,2026-01-15 03:45:00,0.1427,149,7.566,0.946,1.444,win,False,,
49,DOGEUSDT,SELL,8696,2026-01-15 03:30:00,8697,2026-01-15 03:45:00,0.1427,2026-01-21 22:15:00,0.1281,650,16.389,1.668,10.234,win,False,4.807,SSL
51,DOGEUSDT,SELL,9424,2026-01-22 17:30:00,9425,2026-01-22 17:45:00,0.1248,2026-01-27 16:15:00,0.125,474,5.787,2.461,-0.2,win,False,1.678,SSL
52,DOGEUSDT,BUY,9898,2026-01-27 16:00:00,9899,2026-01-27 16:15:00,0.125,2026-01-29 03:30:00,0.1221,141,2.136,2.632,-2.304,win,False,2.464,BSL
53,DOGEUSDT,SELL,10039,2026-01-29 03:15:00,10040,2026-01-29 03:30:00,0.1221,2026-02-02 16:30:00,0.1097,436,22.55,0.278,10.202,win,False,5.998,SSL
55,DOGEUSDT,SELL,10666,2026-02-04 16:00:00,10667,2026-02-04 16:15:00,0.1037,2026-02-06 16:45:00,0.0995,194,22.934,1.755,4.07,win,False,,
56,DOGEUSDT,BUY,10860,2026-02-06 16:30:00,10861,2026-02-06 16:45:00,0.0995,2026-02-09 07:45:00,0.0952,252,2.734,4.916,-4.323,win,False,18.568,BSL
57,DOGEUSDT,SELL,11112,2026-02-09 07:30:00,11113,2026-02-09 07:45:00,0.0952,2026-02-12 11:45:00,0.0939,304,7.713,1.881,1.334,win,False,16.549,SSL
