entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
2,DOGEUSDT,BUY,209,2025-10-18 17:45:00,210,2025-10-18 18:00:00,0.1899,2025-10-21 05:15:00,0.1934,237,6.582,2.085,1.827,win,True,0.288,BSL
3,DOGEUSDT,SELL,446,2025-10-21 05:00:00,447,2025-10-21 05:15:00,0.1934,2025-10-21 15:45:00,0.2051,42,0.719,6.247,-6.061,lose,True,0.82,SSL
10,DOGEUSDT,BUY,1478,2025-10-31 23:00:00,1479,2025-10-31 23:15:00,0.1861,2025-11-02 16:00:00,0.1834,163,1.457,1.806,-1.457,lose,True,1.014,BSL
11,DOGEUSDT,SELL,1641,2025-11-02 15:45:00,1642,2025-11-02 16:00:00,0.1834,2025-11-06 04:15:00,0.1671,337,17.393,1.827,8.89,win,True,0.668,SSL
12,DOGEUSDT,BUY,1978,2025-11-06 04:00:00,1979,2025-11-06 04:15:00,0.1671,2025-11-06 15:30:00,0.1608,45,0.174,4.119,-3.711,lose,True,0.674,BSL
18,DOGEUSDT,BUY,2595,2025-11-12 14:15:00,2596,2025-11-12 14:30:00,0.1778,2025-11-12 17:15:00,0.1687,11,0.028,5.614,-5.119,lose,True,0.3,BSL
20,DOGEUSDT,BUY,2666,2025-11-13 08:00:00,2667,2025-11-13 08:15:00,0.1758,2025-11-13 18:15:00,0.1645,40,1.035,6.677,-6.416,lose,True,1.412,BSL
24,DOGEUSDT,BUY,3325,2025-11-20 04:45:00,3326,2025-11-20 05:00:00,0.1584,2025-11-20 17:45:00,0.148,51,0.852,6.654,-6.535,lose,True,0.84,BSL
25,DOGEUSDT,SELL,3376,2025-11-20 17:30:00,3377,2025-11-20 17:45:00,0.148,2025-11-23 04:45:00,0.1437,236,10.051,3.418,2.905,win,True,1.0,SSL
27,DOGEUSDT,SELL,3848,2025-11-25 15:30:00,3849,2025-11-25 15:45:00,0.1483,2025-11-26 18:00:00,0.1557,105,0.492,5.214,-4.998,lose,True,1.217,SSL
29,DOGEUSDT,SELL,4081,2025-11-28 01:45:00,4082,2025-11-28 02:00:00,0.1502,2025-12-02 14:30:00,0.1389,434,12.339,3.529,7.518,win,True,0.555,SSL
44,DOGEUSDT,BUY,6970,2025-12-28 04:00:00,6971,2025-12-28 04:15:00,0.1241,2025-12-29 15:00:00,0.1236,139,3.134,1.362,-0.387,win,True,0.612,BSL
45,DOGEUSDT,SELL,7109,2025-12-29 14:45:00,7110,2025-12-29 15:00:00,0.1236,2026-01-01 10:00:00,0.1203,268,6.705,1.44,2.661,win,True,1.052,SSL
50,DOGEUSDT,BUY,9346,2026-01-21 22:00:00,9347,2026-01-21 22:15:00,0.1281,2026-01-22 17:45:00,0.1248,78,0.07,3.858,-2.577,lose,True,0.023,BSL
54,DOGEUSDT,BUY,10475,2026-02-02 16:15:00,10476,2026-02-02 16:30:00,0.1097,2026-02-04 16:15:00,0.1037,191,0.793,6.811,-5.453,lose,True,0.766,BSL
58,DOGEUSDT,BUY,11416,2026-02-12 11:30:00,11417,2026-02-12 11:45:00,0.0939,2026-02-15 17:45:00,0.1057,312,25.229,3.482,12.556,win,True,0.135,BSL
62,DOGEUSDT,BUY,12475,2026-02-23 12:15:00,12476,2026-02-23 12:30:00,0.0967,2026-02-23 20:00:00,0.0928,30,0.868,4.466,-4.053,lose,True,0.889,BSL
68,DOGEUSDT,BUY,13162,2026-03-02 16:00:00,13163,2026-03-02 16:15:00,0.097,2026-03-03 07:15:00,0.0917,60,0.721,6.059,-5.472,lose,True,1.219,BSL
72,DOGEUSDT,BUY,13830,2026-03-09 15:00:00,13831,2026-03-09 15:15:00,0.0915,2026-03-11 06:00:00,0.0916,155,9.724,1.562,0.087,win,True,0.575,BSL
73,DOGEUSDT,SELL,13985,2026-03-11 05:45:00,13986,2026-03-11 06:00:00,0.0916,2026-03-12 12:30:00,0.0956,122,0.611,4.574,-4.388,lose,True,1.321,SSL
75,DOGEUSDT,SELL,14267,2026-03-14 04:15:00,14268,2026-03-14 04:30:00,0.0959,2026-03-15 04:30:00,0.0958,96,2.085,1.511,0.125,win,True,1.357,SSL
76,DOGEUSDT,BUY,14363,2026-03-15 04:15:00,14364,2026-03-15 04:30:00,0.0958,2026-03-18 11:45:00,0.097,317,9.006,1.482,1.284,win,True,0.71,BSL
