entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
1,ETHUSDT,SELL,19,2025-10-16 18:15:00,20,2025-10-16 18:30:00,3887.38,2025-10-18 18:15:00,3884.95,191,5.566,1.561,0.063,win,False,,
2,ETHUSDT,BUY,210,2025-10-18 18:00:00,211,2025-10-18 18:15:00,3884.95,2025-10-20 18:45:00,3961.61,194,5.149,1.929,1.973,win,False,,
3,ETHUSDT,SELL,404,2025-10-20 18:30:00,405,2025-10-20 18:45:00,3961.61,2025-10-21 16:00:00,4080.41,85,3.115,3.084,-2.999,win,False,7.251,SSL
5,ETHUSDT,SELL,529,2025-10-22 01:45:00,530,2025-10-22 02:00:00,3867.95,2025-10-23 10:00:00,3888.88,128,4.179,0.97,-0.541,win,False,5.005,SSL
6,ETHUSDT,BUY,657,2025-10-23 09:45:00,658,2025-10-23 10:00:00,3888.88,2025-10-28 03:15:00,4069.17,453,9.363,2.105,4.636,win,False,,
7,ETHUSDT,SELL,1110,2025-10-28 03:00:00,1111,2025-10-28 03:15:00,4069.17,2025-10-31 23:30:00,3853.87,369,9.62,2.578,5.291,win,False,3.714,SSL
9,ETHUSDT,SELL,1685,2025-11-03 02:45:00,1686,2025-11-03 03:00:00,3797.4,2025-11-05 18:00:00,3433.78,252,19.55,0.2,9.575,win,False,,
10,ETHUSDT,BUY,1937,2025-11-05 17:45:00,1938,2025-11-05 18:00:00,3433.78,2025-11-06 16:45:00,3259.71,91,1.317,5.402,-5.069,lose,False,6.386,BSL
14,ETHUSDT,BUY,2307,2025-11-09 14:15:00,2308,2025-11-09 14:30:00,3553.74,2025-11-11 15:30:00,3485.46,196,2.934,1.971,-1.921,win,False,2.795,BSL
15,ETHUSDT,SELL,2503,2025-11-11 15:15:00,2504,2025-11-11 15:30:00,3485.46,2025-11-12 12:00:00,3548.24,82,2.365,2.397,-1.801,win,False,3.599,SSL
17,ETHUSDT,SELL,2606,2025-11-12 17:00:00,2607,2025-11-12 17:15:00,3400.98,2025-11-13 08:00:00,3537.16,59,0.887,4.823,-4.004,lose,False,9.982,SSL
18,ETHUSDT,BUY,2665,2025-11-13 07:45:00,2666,2025-11-13 08:00:00,3537.16,2025-11-13 16:30:00,3366.66,34,0.335,5.204,-4.82,lose,False,,
19,ETHUSDT,SELL,2699,2025-11-13 16:15:00,2700,2025-11-13 16:30:00,3366.66,2025-11-18 18:45:00,3157.0,489,12.575,0.64,6.228,win,False,9.064,SSL
20,ETHUSDT,BUY,3188,2025-11-18 18:30:00,3189,2025-11-18 18:45:00,3157.0,2025-11-19 06:30:00,3030.15,47,0.389,5.285,-4.018,lose,False,2.378,BSL
21,ETHUSDT,SELL,3235,2025-11-19 06:15:00,3236,2025-11-19 06:30:00,3030.15,2025-11-23 02:30:00,2816.7,368,13.536,2.733,7.044,win,False,,
22,ETHUSDT,BUY,3603,2025-11-23 02:15:00,3604,2025-11-23 02:30:00,2816.7,2025-11-29 12:15:00,2993.33,615,10.022,1.964,6.271,win,False,2.773,BSL
23,ETHUSDT,SELL,4218,2025-11-29 12:00:00,4219,2025-11-29 12:15:00,2993.33,2025-11-30 15:00:00,3036.64,107,1.113,1.967,-1.447,lose,False,8.382,SSL
25,ETHUSDT,SELL,4363,2025-12-01 00:15:00,4364,2025-12-01 00:30:00,2891.77,2025-12-02 14:45:00,2885.99,153,6.007,0.111,0.2,win,False,5.165,SSL
26,ETHUSDT,BUY,4516,2025-12-02 14:30:00,4517,2025-12-02 14:45:00,2885.99,2025-12-05 15:00:00,3102.42,289,12.241,0.128,7.499,win,False,5.46,BSL
27,ETHUSDT,SELL,4805,2025-12-05 14:45:00,4806,2025-12-05 15:00:00,3102.42,2025-12-07 19:15:00,3129.02,209,6.404,1.759,-0.857,win,False,4.139,SSL
28,ETHUSDT,BUY,5014,2025-12-07 19:00:00,5015,2025-12-07 19:15:00,3129.02,2025-12-11 03:00:00,3209.79,319,10.134,3.804,2.581,win,False,1.832,BSL
29,ETHUSDT,SELL,5333,2025-12-11 02:45:00,5334,2025-12-11 03:00:00,3209.79,2025-12-15 11:30:00,3158.6,418,5.835,1.952,1.595,win,False,4.423,SSL
31,ETHUSDT,SELL,5768,2025-12-15 15:30:00,5769,2025-12-15 15:45:00,3011.82,2025-12-18 14:15:00,2934.57,282,7.381,0.604,2.565,win,False,3.808,SSL
32,ETHUSDT,BUY,6050,2025-12-18 14:00:00,6051,2025-12-18 14:15:00,2934.57,2025-12-22 22:45:00,2992.43,418,4.887,5.507,1.972,win,False,2.911,BSL
33,ETHUSDT,SELL,6468,2025-12-22 22:30:00,6469,2025-12-22 22:45:00,2992.43,2025-12-26 06:45:00,2979.08,320,3.532,1.423,0.446,win,False,1.576,SSL
34,ETHUSDT,BUY,6788,2025-12-26 06:30:00,6789,2025-12-26 06:45:00,2979.08,2025-12-26 17:00:00,2908.36,41,0.463,2.889,-2.374,lose,False,2.627,BSL
39,ETHUSDT,SELL,7963,2026-01-07 12:15:00,7964,2026-01-07 12:30:00,3214.4,2026-01-11 13:15:00,3113.84,387,5.039,0.423,3.128,win,False,2.838,SSL
41,ETHUSDT,SELL,8501,2026-01-13 02:45:00,8502,2026-01-13 03:00:00,3100.13,2026-01-13 16:00:00,3183.11,52,0.01,2.837,-2.677,lose,False,6.281,SSL
42,ETHUSDT,BUY,8553,2026-01-13 15:45:00,8554,2026-01-13 16:00:00,3183.11,2026-01-16 04:30:00,3296.49,242,6.932,0.405,3.562,win,False,,
44,ETHUSDT,BUY,8936,2026-01-17 15:30:00,8937,2026-01-17 15:45:00,3327.08,2026-01-19 00:30:00,3202.7,131,1.229,4.571,-3.738,lose,False,1.729,BSL
45,ETHUSDT,SELL,9067,2026-01-19 00:15:00,9068,2026-01-19 00:30:00,3202.7,2026-01-26 15:15:00,2943.77,731,13.069,0.999,8.085,win,False,9.282,SSL
47,ETHUSDT,SELL,10052,2026-01-29 06:30:00,10053,2026-01-29 06:45:00,2955.33,2026-02-06 17:15:00,2041.4,810,41.258,0.463,30.925,win,False,7.204,SSL
48,ETHUSDT,BUY,10862,2026-02-06 17:00:00,10863,2026-02-06 17:15:00,2041.4,2026-02-09 10:30:00,2026.98,261,5.418,2.354,-0.706,win,False,5.064,BSL
49,ETHUSDT,SELL,11123,2026-02-09 10:15:00,11124,2026-02-09 10:30:00,2026.98,2026-02-09 19:15:00,2124.85,35,0.936,5.715,-4.828,lose,False,1.576,SSL
52,ETHUSDT,BUY,11527,2026-02-13 15:15:00,11528,2026-02-13 15:30:00,2038.73,2026-02-15 14:00:00,2001.2,186,3.35,2.292,-1.841,win,False,5.202,BSL
53,ETHUSDT,SELL,11713,2026-02-15 13:45:00,11714,2026-02-15 14:00:00,2001.2,2026-02-18 08:30:00,2029.29,266,3.716,1.852,-1.404,win,False,4.455,SSL
54,ETHUSDT,BUY,11979,2026-02-18 08:15:00,11980,2026-02-18 08:30:00,2029.29,2026-02-18 19:00:00,1951.37,42,0.035,4.06,-3.84,lose,False,5.691,BSL
55,ETHUSDT,SELL,12021,2026-02-18 18:45:00,12022,2026-02-18 19:00:00,1951.37,2026-02-21 11:00:00,1973.29,256,2.351,1.821,-1.123,win,False,2.015,SSL
57,ETHUSDT,SELL,12388,2026-02-22 14:30:00,12389,2026-02-22 14:45:00,1946.55,2026-02-25 02:15:00,1933.91,238,7.734,0.691,0.649,win,False,4.711,SSL
58,ETHUSDT,BUY,12626,2026-02-25 02:00:00,12627,2026-02-25 02:15:00,1933.91,2026-02-26 18:00:00,1987.44,159,11.171,2.94,2.768,win,False,10.904,BSL
59,ETHUSDT,SELL,12785,2026-02-26 17:45:00,12786,2026-02-26 18:00:00,1987.44,2026-02-28 21:45:00,1958.23,207,7.717,3.838,1.47,win,False,9.129,SSL
60,ETHUSDT,BUY,12992,2026-02-28 21:30:00,12993,2026-02-28 21:45:00,1958.23,2026-03-01 22:15:00,1944.79,98,4.925,2.672,-0.686,win,False,4.617,BSL
64,ETHUSDT,BUY,13327,2026-03-04 09:15:00,13328,2026-03-04 09:30:00,2075.44,2026-03-06 00:30:00,2071.8,156,5.976,1.939,-0.175,win,False,13.366,BSL
65,ETHUSDT,SELL,13483,2026-03-06 00:15:00,13484,2026-03-06 00:30:00,2071.8,2026-03-09 09:45:00,2014.94,325,7.972,0.994,2.744,win,False,5.804,SSL
66,ETHUSDT,BUY,13808,2026-03-09 09:30:00,13809,2026-03-09 09:45:00,2014.94,2026-03-14 07:30:00,2078.66,471,9.655,1.734,3.162,win,False,3.634,BSL
67,ETHUSDT,SELL,14279,2026-03-14 07:15:00,14280,2026-03-14 07:30:00,2078.66,2026-03-15 05:30:00,2108.4,88,0.893,1.813,-1.431,lose,False,2.601,SSL
68,ETHUSDT,BUY,14367,2026-03-15 05:15:00,14368,2026-03-15 05:30:00,2108.4,2026-03-18 12:30:00,2262.53,316,13.156,1.105,7.31,win,False,11.594,BSL
69,ETHUSDT,SELL,14683,2026-03-18 12:15:00,14684,2026-03-18 12:30:00,2262.53,2026-03-23 12:45:00,2144.18,481,10.65,0.0,5.231,win,False,10.517,SSL
70,ETHUSDT,BUY,15164,2026-03-23 12:30:00,15165,2026-03-23 12:45:00,2144.18,2026-03-26 07:00:00,2120.71,265,2.608,1.967,-1.095,win,False,1.98,BSL
71,ETHUSDT,SELL,15429,2026-03-26 06:45:00,15430,2026-03-26 07:00:00,2120.71,2026-03-28 15:45:00,2027.21,227,7.286,0.261,4.409,win,False,4.533,SSL
72,ETHUSDT,BUY,15656,2026-03-28 15:30:00,15657,2026-03-28 15:45:00,2027.21,2026-03-29 11:00:00,1994.88,77,0.087,1.926,-1.595,lose,False,2.937,BSL
