entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
4,ETHUSDT,BUY,489,2025-10-21 15:45:00,490,2025-10-21 16:00:00,4080.41,2025-10-22 02:00:00,3867.95,40,0.686,6.495,-5.207,lose,True,0.399,BSL
8,ETHUSDT,BUY,1479,2025-10-31 23:15:00,1480,2025-10-31 23:30:00,3853.87,2025-11-03 03:00:00,3797.4,206,1.638,1.917,-1.465,lose,True,1.077,BSL
11,ETHUSDT,SELL,2028,2025-11-06 16:30:00,2029,2025-11-06 16:45:00,3259.71,2025-11-07 19:30:00,3426.63,107,2.049,5.485,-5.121,win,True,0.033,SSL
12,ETHUSDT,BUY,2135,2025-11-07 19:15:00,2136,2025-11-07 19:30:00,3426.63,2025-11-09 05:00:00,3373.08,134,1.849,2.14,-1.563,lose,True,1.384,BSL
13,ETHUSDT,SELL,2269,2025-11-09 04:45:00,2270,2025-11-09 05:00:00,3373.08,2025-11-09 14:30:00,3553.74,38,0.062,5.356,-5.356,lose,True,0.387,SSL
16,ETHUSDT,BUY,2585,2025-11-12 11:45:00,2586,2025-11-12 12:00:00,3548.24,2025-11-12 17:15:00,3400.98,21,1.099,5.023,-4.15,lose,True,1.18,BSL
24,ETHUSDT,BUY,4325,2025-11-30 14:45:00,4326,2025-11-30 15:00:00,3036.64,2025-12-01 00:30:00,2891.77,38,0.389,5.232,-4.771,lose,True,0.228,BSL
30,ETHUSDT,BUY,5751,2025-12-15 11:15:00,5752,2025-12-15 11:30:00,3158.6,2025-12-15 15:45:00,3011.82,17,0.013,5.496,-4.647,lose,True,0.408,BSL
35,ETHUSDT,SELL,6829,2025-12-26 16:45:00,6830,2025-12-26 17:00:00,2908.36,2025-12-28 11:00:00,2941.99,168,0.075,1.77,-1.156,lose,True,0.101,SSL
36,ETHUSDT,BUY,6997,2025-12-28 10:45:00,6998,2025-12-28 11:00:00,2941.99,2025-12-29 12:15:00,2918.77,101,3.875,1.031,-0.789,win,True,1.043,BSL
37,ETHUSDT,SELL,7098,2025-12-29 12:00:00,7099,2025-12-29 12:15:00,2918.77,2025-12-30 16:30:00,2990.5,113,0.349,3.08,-2.458,lose,True,0.458,SSL
38,ETHUSDT,BUY,7211,2025-12-30 16:15:00,7212,2025-12-30 16:30:00,2990.5,2026-01-07 12:30:00,3214.4,752,10.617,1.646,7.487,win,True,0.41,BSL
40,ETHUSDT,BUY,8350,2026-01-11 13:00:00,8351,2026-01-11 13:15:00,3113.84,2026-01-13 03:00:00,3100.13,151,1.832,1.686,-0.44,lose,True,1.048,BSL
43,ETHUSDT,SELL,8795,2026-01-16 04:15:00,8796,2026-01-16 04:30:00,3296.49,2026-01-17 15:45:00,3327.08,141,1.367,0.948,-0.928,lose,True,0.687,SSL
