entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
1,LINKUSDT,SELL,20,2025-10-16 18:30:00,21,2025-10-16 18:45:00,17.693,2025-10-19 10:45:00,17.106,256,11.36,0.43,3.318,win,False,,
2,LINKUSDT,BUY,276,2025-10-19 10:30:00,277,2025-10-19 10:45:00,17.106,2025-10-21 05:00:00,17.731,169,12.124,1.081,3.654,win,False,3.297,BSL
3,LINKUSDT,SELL,445,2025-10-21 04:45:00,446,2025-10-21 05:00:00,17.731,2025-10-24 07:30:00,17.687,298,5.865,6.926,0.248,win,False,8.214,SSL
4,LINKUSDT,BUY,743,2025-10-24 07:15:00,744,2025-10-24 07:30:00,17.687,2025-10-26 06:15:00,17.756,187,3.149,1.38,0.39,win,False,7.237,BSL
5,LINKUSDT,SELL,930,2025-10-26 06:00:00,931,2025-10-26 06:15:00,17.756,2025-10-26 12:00:00,18.309,23,0.107,3.272,-3.114,lose,False,1.678,SSL
6,LINKUSDT,BUY,953,2025-10-26 11:45:00,954,2025-10-26 12:00:00,18.309,2025-10-28 00:00:00,18.206,144,4.08,1.497,-0.563,win,False,3.594,BSL
8,LINKUSDT,BUY,1521,2025-11-01 09:45:00,1522,2025-11-01 10:00:00,17.334,2025-11-03 03:30:00,16.525,166,1.875,4.794,-4.667,lose,False,,
9,LINKUSDT,SELL,1687,2025-11-03 03:15:00,1688,2025-11-03 03:30:00,16.525,2025-11-05 23:15:00,15.176,271,17.18,0.079,8.163,win,False,,
10,LINKUSDT,BUY,1958,2025-11-05 23:00:00,1959,2025-11-05 23:15:00,15.176,2025-11-06 17:15:00,14.388,72,0.593,6.207,-5.192,lose,False,,
12,LINKUSDT,BUY,2127,2025-11-07 17:15:00,2128,2025-11-07 17:30:00,15.797,2025-11-09 02:45:00,15.195,133,2.633,4.355,-3.811,win,False,,
14,LINKUSDT,BUY,2313,2025-11-09 15:45:00,2314,2025-11-09 16:00:00,15.813,2025-11-11 19:45:00,15.669,207,6.172,1.454,-0.911,win,False,,
15,LINKUSDT,SELL,2520,2025-11-11 19:30:00,2521,2025-11-11 19:45:00,15.669,2025-11-12 12:00:00,16.107,65,3.159,3.306,-2.795,win,False,3.642,SSL
17,LINKUSDT,SELL,2605,2025-11-12 16:45:00,2606,2025-11-12 17:00:00,15.161,2025-11-13 07:45:00,15.879,59,1.675,5.626,-4.736,lose,False,6.18,SSL
18,LINKUSDT,BUY,2664,2025-11-13 07:30:00,2665,2025-11-13 07:45:00,15.879,2025-11-13 17:45:00,14.767,40,0.428,7.299,-7.003,lose,False,,
19,LINKUSDT,SELL,2704,2025-11-13 17:30:00,2705,2025-11-13 17:45:00,14.767,2025-11-18 23:30:00,13.802,503,11.627,0.352,6.535,win,False,3.677,SSL
21,LINKUSDT,SELL,3235,2025-11-19 06:15:00,3236,2025-11-19 06:30:00,13.275,2025-11-20 05:00:00,13.769,90,3.902,3.729,-3.721,win,False,,
22,LINKUSDT,BUY,3325,2025-11-20 04:45:00,3326,2025-11-20 05:00:00,13.769,2025-11-20 17:15:00,12.837,49,1.678,7.197,-6.769,lose,False,1.641,BSL
24,LINKUSDT,BUY,3609,2025-11-23 03:45:00,3610,2025-11-23 04:00:00,12.455,2025-11-28 19:15:00,13.155,541,8.936,1.309,5.62,win,False,6.592,BSL
25,LINKUSDT,SELL,4150,2025-11-28 19:00:00,4151,2025-11-28 19:15:00,13.155,2025-11-30 16:00:00,13.24,179,1.908,1.3,-0.646,lose,False,10.812,SSL
26,LINKUSDT,BUY,4329,2025-11-30 15:45:00,4330,2025-11-30 16:00:00,13.24,2025-12-01 00:30:00,12.49,34,1.307,6.088,-5.665,lose,False,,
27,LINKUSDT,SELL,4363,2025-12-01 00:15:00,4364,2025-12-01 00:30:00,12.49,2025-12-02 14:30:00,12.481,152,6.013,0.384,0.072,win,False,6.064,SSL
28,LINKUSDT,BUY,4515,2025-12-02 14:15:00,4516,2025-12-02 14:30:00,12.481,2025-12-05 06:15:00,14.21,255,19.55,0.184,13.853,win,False,,
29,LINKUSDT,SELL,4770,2025-12-05 06:00:00,4771,2025-12-05 06:15:00,14.21,2025-12-06 22:00:00,13.958,159,6.017,0.802,1.773,win,False,15.475,SSL
