entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
7,LINKUSDT,SELL,1097,2025-10-27 23:45:00,1098,2025-10-28 00:00:00,18.206,2025-11-01 10:00:00,17.334,424,10.409,3.34,4.79,win,True,1.035,SSL
11,LINKUSDT,SELL,2030,2025-11-06 17:00:00,2031,2025-11-06 17:15:00,14.388,2025-11-07 17:30:00,15.797,97,0.612,9.842,-9.793,lose,True,1.14,SSL
13,LINKUSDT,SELL,2260,2025-11-09 02:30:00,2261,2025-11-09 02:45:00,15.195,2025-11-09 16:00:00,15.813,53,1.204,4.883,-4.067,lose,True,0.636,SSL
16,LINKUSDT,BUY,2585,2025-11-12 11:45:00,2586,2025-11-12 12:00:00,16.107,2025-11-12 17:00:00,15.161,20,0.851,6.469,-5.873,lose,True,0.987,BSL
20,LINKUSDT,BUY,3207,2025-11-18 23:15:00,3208,2025-11-18 23:30:00,13.802,2025-11-19 06:30:00,13.275,28,0.254,5.036,-3.818,lose,True,1.398,BSL
23,LINKUSDT,SELL,3374,2025-11-20 17:00:00,3375,2025-11-20 17:15:00,12.837,2025-11-23 04:00:00,12.455,235,9.621,3.887,2.976,win,True,0.615,SSL
30,LINKUSDT,BUY,4929,2025-12-06 21:45:00,4930,2025-12-06 22:00:00,13.958,2025-12-07 15:00:00,13.23,68,0.509,5.38,-5.216,lose,True,1.157,BSL
32,LINKUSDT,BUY,5194,2025-12-09 16:00:00,5195,2025-12-09 16:15:00,14.726,2025-12-11 01:15:00,13.79,132,1.901,6.451,-6.356,lose,True,1.433,BSL
37,LINKUSDT,SELL,6337,2025-12-21 13:45:00,6338,2025-12-21 14:00:00,12.244,2025-12-22 10:45:00,12.664,83,0.147,4.035,-3.43,lose,True,0.237,SSL
40,LINKUSDT,BUY,6791,2025-12-26 07:15:00,6792,2025-12-26 07:30:00,12.454,2025-12-26 17:15:00,12.153,39,0.321,3.348,-2.417,lose,True,0.723,BSL
41,LINKUSDT,SELL,6830,2025-12-26 17:00:00,6831,2025-12-26 17:15:00,12.153,2025-12-27 22:15:00,12.433,116,0.214,2.362,-2.304,lose,True,0.749,SSL
42,LINKUSDT,BUY,6946,2025-12-27 22:00:00,6947,2025-12-27 22:15:00,12.433,2025-12-29 12:45:00,12.367,154,4.842,1.576,-0.531,win,True,0.893,BSL
43,LINKUSDT,SELL,7100,2025-12-29 12:30:00,7101,2025-12-29 12:45:00,12.367,2026-01-01 18:45:00,12.443,312,1.819,1.868,-0.615,lose,True,0.566,SSL
52,LINKUSDT,BUY,9376,2026-01-22 05:30:00,9377,2026-01-22 05:45:00,12.485,2026-01-22 20:45:00,12.205,60,0.104,2.964,-2.243,lose,True,0.915,BSL
53,LINKUSDT,SELL,9436,2026-01-22 20:30:00,9437,2026-01-22 20:45:00,12.205,2026-01-26 20:45:00,11.902,384,6.964,2.376,2.483,win,True,0.885,SSL
56,LINKUSDT,BUY,10477,2026-02-02 16:45:00,10478,2026-02-02 17:00:00,9.919,2026-02-03 18:00:00,9.307,100,0.524,6.241,-6.17,lose,True,1.408,BSL
59,LINKUSDT,SELL,11121,2026-02-09 09:45:00,11122,2026-02-09 10:00:00,8.598,2026-02-09 20:15:00,8.963,41,1.628,4.838,-4.245,lose,True,1.233,SSL
60,LINKUSDT,BUY,11162,2026-02-09 20:00:00,11163,2026-02-09 20:15:00,8.963,2026-02-10 07:30:00,8.542,45,0.011,5.456,-4.697,lose,True,0.752,BSL
61,LINKUSDT,SELL,11207,2026-02-10 07:15:00,11208,2026-02-10 07:30:00,8.542,2026-02-13 15:45:00,8.723,321,4.917,3.266,-2.119,win,True,0.585,SSL
64,LINKUSDT,BUY,12202,2026-02-20 16:00:00,12203,2026-02-20 16:15:00,8.89,2026-02-22 14:15:00,8.714,184,1.879,2.283,-1.98,lose,True,1.012,BSL
69,LINKUSDT,SELL,13086,2026-03-01 21:00:00,13087,2026-03-01 21:15:00,8.574,2026-03-02 16:15:00,9.194,76,0.117,7.523,-7.231,lose,True,0.245,SSL
70,LINKUSDT,BUY,13162,2026-03-02 16:00:00,13163,2026-03-02 16:15:00,9.194,2026-03-03 09:45:00,8.636,70,0.805,6.559,-6.069,lose,True,1.149,BSL
71,LINKUSDT,SELL,13232,2026-03-03 09:30:00,13233,2026-03-03 09:45:00,8.636,2026-03-04 09:30:00,9.217,95,0.973,6.959,-6.728,lose,True,0.961,SSL
84,LINKUSDT,BUY,16342,2026-04-04 19:00:00,16343,2026-04-04 19:15:00,8.763,2026-04-05 07:00:00,8.548,47,0.171,3.058,-2.453,lose,True,0.337,BSL
85,LINKUSDT,SELL,16389,2026-04-05 06:45:00,16390,2026-04-05 07:00:00,8.548,2026-04-06 00:00:00,8.82,68,0.901,3.79,-3.182,lose,True,1.223,SSL
91,LINKUSDT,SELL,17042,2026-04-12 02:00:00,17043,2026-04-12 02:15:00,8.796,2026-04-13 19:45:00,8.964,166,1.342,2.058,-1.91,lose,True,0.21,SSL
93,LINKUSDT,SELL,17309,2026-04-14 20:45:00,17310,2026-04-14 21:00:00,9.0,2026-04-15 18:30:00,9.233,86,0.289,3.022,-2.589,lose,True,0.269,SSL
94,LINKUSDT,BUY,17395,2026-04-15 18:15:00,17396,2026-04-15 18:30:00,9.233,2026-04-18 10:45:00,9.398,257,6.845,1.202,1.787,win,True,1.166,BSL
96,LINKUSDT,BUY,17883,2026-04-20 20:15:00,17884,2026-04-20 20:30:00,9.337,2026-04-23 01:00:00,9.287,210,2.346,1.778,-0.536,win,True,0.723,BSL
97,LINKUSDT,SELL,18093,2026-04-23 00:45:00,18094,2026-04-23 01:00:00,9.287,2026-04-24 02:30:00,9.339,102,1.594,1.12,-0.56,lose,True,1.183,SSL
98,LINKUSDT,BUY,18195,2026-04-24 02:15:00,18196,2026-04-24 02:30:00,9.339,2026-04-25 19:30:00,9.292,164,1.114,1.06,-0.503,lose,True,0.414,BSL
99,LINKUSDT,SELL,18359,2026-04-25 19:15:00,18360,2026-04-25 19:30:00,9.292,2026-04-26 09:15:00,9.422,55,0.075,1.668,-1.399,lose,True,1.237,SSL
100,LINKUSDT,BUY,18414,2026-04-26 09:00:00,18415,2026-04-26 09:15:00,9.422,2026-04-27 07:45:00,9.318,90,1.762,1.38,-1.104,lose,True,1.23,BSL
103,LINKUSDT,SELL,18729,2026-04-29 15:45:00,18730,2026-04-29 16:00:00,9.09,2026-05-01 14:15:00,9.249,185,2.046,2.046,-1.749,win,True,1.256,SSL
104,LINKUSDT,BUY,18914,2026-05-01 14:00:00,18915,2026-05-01 14:15:00,9.249,2026-05-02 02:45:00,9.103,50,0.119,2.033,-1.579,lose,True,0.784,BSL
105,LINKUSDT,SELL,18964,2026-05-02 02:30:00,18965,2026-05-02 02:45:00,9.103,2026-05-02 21:45:00,9.209,76,0.472,1.659,-1.164,lose,True,0.298,SSL
106,LINKUSDT,BUY,19040,2026-05-02 21:30:00,19041,2026-05-02 21:45:00,9.209,2026-05-03 04:45:00,9.088,28,0.141,1.488,-1.314,lose,True,1.222,BSL
