entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
10,NEARUSDT,BUY,1533,2025-11-01 12:45:00,1534,2025-11-01 13:00:00,2.175,2025-11-03 03:45:00,2.058,155,1.241,5.563,-5.379,lose,True,0.904,BSL
12,NEARUSDT,BUY,1939,2025-11-05 18:15:00,1940,2025-11-05 18:30:00,1.938,2025-11-11 02:00:00,2.746,510,64.293,2.683,41.692,win,True,0.843,BSL
19,NEARUSDT,SELL,3823,2025-11-25 09:15:00,3824,2025-11-25 09:30:00,1.84,2025-11-26 19:30:00,1.943,136,1.359,6.467,-5.598,lose,True,1.25,SSL
20,NEARUSDT,BUY,3959,2025-11-26 19:15:00,3960,2025-11-26 19:30:00,1.943,2025-11-28 02:30:00,1.867,124,0.566,3.911,-3.911,lose,True,0.463,BSL
30,NEARUSDT,BUY,5887,2025-12-16 21:15:00,5888,2025-12-16 21:30:00,1.59,2025-12-17 18:45:00,1.485,85,1.447,7.107,-6.604,lose,True,1.352,BSL
38,NEARUSDT,BUY,6685,2025-12-25 04:45:00,6686,2025-12-25 05:00:00,1.509,2025-12-26 00:15:00,1.436,77,0.133,5.169,-4.838,lose,True,0.679,BSL
50,NEARUSDT,BUY,9922,2026-01-27 22:00:00,9923,2026-01-27 22:15:00,1.491,2026-01-29 07:00:00,1.453,131,0.671,3.823,-2.549,lose,True,1.288,BSL
57,NEARUSDT,SELL,11208,2026-02-10 07:30:00,11209,2026-02-10 07:45:00,0.997,2026-02-12 10:00:00,0.996,201,5.918,1.103,0.1,win,True,1.471,SSL
58,NEARUSDT,BUY,11409,2026-02-12 09:45:00,11410,2026-02-12 10:00:00,0.996,2026-02-12 18:30:00,0.948,34,1.506,6.325,-4.819,lose,True,0.87,BSL
59,NEARUSDT,SELL,11443,2026-02-12 18:15:00,11444,2026-02-12 18:30:00,0.948,2026-02-13 14:45:00,0.999,81,0.949,6.224,-5.38,lose,True,0.105,SSL
60,NEARUSDT,BUY,11524,2026-02-13 14:30:00,11525,2026-02-13 14:45:00,0.999,2026-02-15 19:45:00,1.038,212,10.31,0.601,3.904,win,True,0.567,BSL
68,NEARUSDT,BUY,13731,2026-03-08 14:15:00,13732,2026-03-08 14:30:00,1.23,2026-03-14 06:15:00,1.316,543,15.61,3.496,6.992,win,True,1.199,BSL
69,NEARUSDT,SELL,14274,2026-03-14 06:00:00,14275,2026-03-14 06:15:00,1.316,2026-03-15 02:30:00,1.344,81,1.368,3.04,-2.128,lose,True,0.371,SSL
72,NEARUSDT,BUY,15187,2026-03-23 18:15:00,15188,2026-03-23 18:30:00,1.302,2026-03-25 07:00:00,1.276,146,2.074,2.919,-1.997,win,True,0.634,BSL
76,NEARUSDT,BUY,15949,2026-03-31 16:45:00,15950,2026-03-31 17:00:00,1.195,2026-04-02 03:15:00,1.161,137,2.845,3.264,-2.845,win,True,0.628,BSL
77,NEARUSDT,SELL,16086,2026-04-02 03:00:00,16087,2026-04-02 03:15:00,1.161,2026-04-03 06:30:00,1.189,109,1.981,2.67,-2.412,lose,True,1.163,SSL
81,NEARUSDT,SELL,16556,2026-04-07 00:30:00,16557,2026-04-07 00:45:00,1.239,2026-04-07 22:00:00,1.307,85,1.533,6.053,-5.488,lose,True,0.908,SSL
83,NEARUSDT,SELL,17050,2026-04-12 04:00:00,17051,2026-04-12 04:15:00,1.338,2026-04-13 06:45:00,1.388,106,1.121,3.961,-3.737,lose,True,0.762,SSL
85,NEARUSDT,SELL,17300,2026-04-14 18:30:00,17301,2026-04-14 18:45:00,1.366,2026-04-15 14:00:00,1.384,77,1.83,2.562,-1.318,lose,True,0.964,SSL
88,NEARUSDT,BUY,17935,2026-04-21 09:15:00,17936,2026-04-21 09:30:00,1.379,2026-04-23 05:00:00,1.383,174,3.771,2.175,0.29,win,True,0.508,BSL
90,NEARUSDT,BUY,18211,2026-04-24 06:15:00,18212,2026-04-24 06:30:00,1.414,2026-04-25 19:15:00,1.391,147,1.273,1.909,-1.627,lose,True,0.808,BSL
91,NEARUSDT,SELL,18358,2026-04-25 19:00:00,18359,2026-04-25 19:15:00,1.391,2026-04-29 06:15:00,1.367,332,4.529,1.582,1.725,win,True,0.848,SSL
95,NEARUSDT,SELL,19831,2026-05-11 03:15:00,19832,2026-05-11 03:30:00,1.526,2026-05-12 10:15:00,1.602,123,1.507,5.177,-4.98,lose,True,0.393,SSL
96,NEARUSDT,BUY,19954,2026-05-12 10:00:00,19955,2026-05-12 10:15:00,1.602,2026-05-13 23:00:00,1.575,147,5.493,5.556,-1.685,win,True,1.014,BSL
97,NEARUSDT,SELL,20101,2026-05-13 22:45:00,20102,2026-05-13 23:00:00,1.575,2026-05-17 07:45:00,1.533,323,6.286,3.683,2.667,win,True,1.302,SSL
118,NEARUSDT,BUY,25187,2026-07-05 22:15:00,25188,2026-07-05 22:30:00,2.034,2026-07-08 02:00:00,1.919,206,3.638,5.949,-5.654,win,True,1.065,BSL
125,NEARUSDT,SELL,26701,2026-07-21 16:45:00,26702,2026-07-21 17:00:00,1.938,2026-07-27 00:00:00,1.837,508,8.359,0.722,5.212,win,True,1.238,SSL
129,NEARUSDT,SELL,28088,2026-08-05 03:30:00,28089,2026-08-05 03:45:00,1.699,2026-08-09 15:00:00,1.623,429,7.357,1.825,4.473,win,True,0.51,SSL
131,NEARUSDT,SELL,28633,2026-08-10 19:45:00,28634,2026-08-10 20:00:00,1.605,2026-08-12 00:15:00,1.623,113,4.299,1.184,-1.121,win,True,1.223,SSL
134,NEARUSDT,BUY,29038,2026-08-15 01:00:00,29039,2026-08-15 01:15:00,1.65,2026-08-16 01:15:00,1.613,96,1.152,2.424,-2.242,lose,True,0.952,BSL
137,NEARUSDT,SELL,29408,2026-08-18 21:30:00,29409,2026-08-18 21:45:00,1.592,2026-08-19 15:00:00,1.638,69,1.884,3.078,-2.889,lose,True,0.54,SSL
