entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
7,SOLUSDT,SELL,1179,2025-10-28 20:15:00,1180,2025-10-28 20:30:00,193.11,2025-10-29 13:30:00,201.13,68,1.6,4.428,-4.153,lose,True,1.132,SSL
10,SOLUSDT,BUY,1944,2025-11-05 19:30:00,1945,2025-11-05 19:45:00,163.05,2025-11-06 18:30:00,155.96,91,0.509,5.704,-4.348,lose,True,0.941,BSL
18,SOLUSDT,BUY,3315,2025-11-20 02:15:00,3316,2025-11-20 02:30:00,142.94,2025-11-20 17:00:00,132.53,58,1.287,8.024,-7.283,lose,True,0.645,BSL
19,SOLUSDT,SELL,3373,2025-11-20 16:45:00,3374,2025-11-20 17:00:00,132.53,2025-11-23 04:30:00,130.77,238,8.685,3.063,1.328,win,True,1.354,SSL
22,SOLUSDT,BUY,4330,2025-11-30 16:00:00,4331,2025-11-30 16:15:00,138.78,2025-12-01 00:30:00,129.87,33,0.728,6.831,-6.42,lose,True,1.474,BSL
27,SOLUSDT,SELL,5129,2025-12-08 23:45:00,5130,2025-12-09 00:00:00,133.18,2025-12-09 16:30:00,141.41,66,1.246,6.563,-6.18,lose,True,0.931,SSL
31,SOLUSDT,SELL,5484,2025-12-12 16:30:00,5485,2025-12-12 16:45:00,131.86,2025-12-17 15:15:00,133.39,474,6.317,2.685,-1.16,win,True,1.437,SSL
32,SOLUSDT,BUY,5958,2025-12-17 15:00:00,5959,2025-12-17 15:15:00,133.39,2025-12-17 19:30:00,121.91,17,0.045,9.026,-8.606,lose,True,1.181,BSL
33,SOLUSDT,SELL,5975,2025-12-17 19:15:00,5976,2025-12-17 19:30:00,121.91,2025-12-19 08:00:00,124.37,146,4.265,5.816,-2.018,win,True,0.366,SSL
36,SOLUSDT,BUY,6433,2025-12-22 13:45:00,6434,2025-12-22 14:00:00,126.96,2025-12-23 11:00:00,124.77,84,1.402,2.662,-1.725,lose,True,1.483,BSL
38,SOLUSDT,BUY,6739,2025-12-25 18:15:00,6740,2025-12-25 18:30:00,123.76,2025-12-26 00:15:00,120.05,23,0.323,3.507,-2.998,lose,True,0.8,BSL
