entry_id,symbol,direction,signal_index,signal_datetime,entry_index,entry_datetime,entry_price,exit_datetime,exit_price,duration_bars,max_roe_pct,max_stoploss_pct,net_pnl_pct,label,liq_filtered,danger_liq_dist_pct,danger_zone_type
5,XRPUSDT,SELL,550,2025-10-22 07:00:00,551,2025-10-22 07:15:00,2.3904,2025-10-24 05:00:00,2.4285,183,2.799,1.774,-1.594,win,True,1.341,SSL
8,XRPUSDT,BUY,1465,2025-10-31 19:45:00,1466,2025-10-31 20:00:00,2.5423,2025-11-03 03:15:00,2.4425,221,0.48,4.02,-3.926,lose,True,0.458,BSL
10,XRPUSDT,BUY,1946,2025-11-05 20:00:00,1947,2025-11-05 20:15:00,2.3426,2025-11-06 16:45:00,2.2167,82,3.133,5.763,-5.374,win,True,1.17,BSL
13,XRPUSDT,SELL,2222,2025-11-08 17:00:00,2223,2025-11-08 17:15:00,2.2529,2025-11-09 20:00:00,2.3476,107,0.688,4.243,-4.203,lose,True,0.734,SSL
18,XRPUSDT,BUY,3061,2025-11-17 10:45:00,3062,2025-11-17 11:00:00,2.2723,2025-11-17 18:15:00,2.1523,29,1.514,5.523,-5.281,lose,True,1.122,BSL
21,XRPUSDT,SELL,3932,2025-11-26 12:30:00,3933,2025-11-26 12:45:00,2.1485,2025-11-26 19:00:00,2.2411,25,0.261,4.892,-4.31,lose,True,0.011,SSL
22,XRPUSDT,BUY,3957,2025-11-26 18:45:00,3958,2025-11-26 19:00:00,2.2411,2025-11-29 08:45:00,2.1796,247,1.499,3.846,-2.744,lose,True,0.457,BSL
23,XRPUSDT,SELL,4204,2025-11-29 08:30:00,4205,2025-11-29 08:45:00,2.1796,2025-12-02 15:15:00,2.1303,314,9.043,1.991,2.262,win,True,0.315,SSL
26,XRPUSDT,BUY,5011,2025-12-07 18:15:00,5012,2025-12-07 18:30:00,2.1024,2025-12-09 11:15:00,2.0537,163,0.994,4.366,-2.316,lose,True,0.598,BSL
27,XRPUSDT,SELL,5174,2025-12-09 11:00:00,5175,2025-12-09 11:15:00,2.0537,2025-12-09 16:45:00,2.1656,22,0.297,5.488,-5.449,lose,True,0.847,SSL
29,XRPUSDT,SELL,5278,2025-12-10 13:00:00,5279,2025-12-10 13:15:00,2.0613,2025-12-13 12:00:00,2.0325,283,4.614,2.329,1.397,win,True,1.213,SSL
30,XRPUSDT,BUY,5561,2025-12-13 11:45:00,5562,2025-12-13 12:00:00,2.0325,2025-12-14 11:45:00,1.9929,95,0.512,1.988,-1.948,lose,True,1.005,BSL
37,XRPUSDT,SELL,6343,2025-12-21 15:15:00,6344,2025-12-21 15:30:00,1.9003,2025-12-27 23:15:00,1.8628,607,4.047,2.552,1.973,win,True,0.304,SSL
38,XRPUSDT,BUY,6950,2025-12-27 23:00:00,6951,2025-12-27 23:15:00,1.8628,2025-12-29 13:30:00,1.8619,153,2.91,0.596,-0.048,win,True,0.963,BSL
39,XRPUSDT,SELL,7103,2025-12-29 13:15:00,7104,2025-12-29 13:30:00,1.8619,2025-12-31 08:00:00,1.8717,170,1.047,1.278,-0.526,lose,True,1.099,SSL
40,XRPUSDT,BUY,7273,2025-12-31 07:45:00,7274,2025-12-31 08:00:00,1.8717,2025-12-31 17:00:00,1.843,36,0.572,1.849,-1.533,lose,True,0.478,BSL
49,XRPUSDT,SELL,9417,2026-01-22 15:45:00,9418,2026-01-22 16:00:00,1.9136,2026-01-26 13:30:00,1.9118,374,5.44,2.681,0.094,win,True,0.7,SSL
55,XRPUSDT,SELL,11259,2026-02-10 20:15:00,11260,2026-02-10 20:30:00,1.3963,2026-02-13 16:15:00,1.4164,271,3.96,1.776,-1.44,win,True,0.829,SSL
56,XRPUSDT,BUY,11530,2026-02-13 16:00:00,11531,2026-02-13 16:15:00,1.4164,2026-02-15 18:45:00,1.48,202,17.855,1.341,4.49,win,True,0.638,BSL
66,XRPUSDT,BUY,13162,2026-03-02 16:00:00,13163,2026-03-02 16:15:00,1.4161,2026-03-03 11:00:00,1.3495,75,0.459,5.303,-4.703,lose,True,0.763,BSL
67,XRPUSDT,SELL,13237,2026-03-03 10:45:00,13238,2026-03-03 11:00:00,1.3495,2026-03-04 09:45:00,1.4175,91,1.06,5.661,-5.039,lose,True,0.955,SSL
73,XRPUSDT,SELL,14308,2026-03-14 14:30:00,14309,2026-03-14 14:45:00,1.3873,2026-03-15 02:15:00,1.4144,46,0.086,2.062,-1.953,lose,True,0.849,SSL
76,XRPUSDT,BUY,15168,2026-03-23 13:30:00,15169,2026-03-23 13:45:00,1.434,2026-03-24 16:30:00,1.3974,107,2.211,2.755,-2.552,win,True,0.679,BSL
78,XRPUSDT,BUY,15338,2026-03-25 08:00:00,15339,2026-03-25 08:15:00,1.4177,2026-03-26 06:30:00,1.3876,89,1.375,2.264,-2.123,lose,True,0.604,BSL
80,XRPUSDT,BUY,15660,2026-03-28 16:30:00,15661,2026-03-28 16:45:00,1.35,2026-03-29 10:15:00,1.3332,70,0.096,1.674,-1.244,lose,True,1.085,BSL
82,XRPUSDT,BUY,15803,2026-03-30 04:15:00,15804,2026-03-30 04:30:00,1.3538,2026-03-30 20:15:00,1.3231,63,0.923,2.822,-2.268,lose,True,0.801,BSL
83,XRPUSDT,SELL,15866,2026-03-30 20:00:00,15867,2026-03-30 20:15:00,1.3231,2026-04-01 06:15:00,1.3539,136,1.534,2.434,-2.328,lose,True,0.004,SSL
84,XRPUSDT,BUY,16002,2026-04-01 06:00:00,16003,2026-04-01 06:15:00,1.3539,2026-04-02 03:15:00,1.3129,84,1.034,3.036,-3.028,lose,True,0.794,BSL
85,XRPUSDT,SELL,16086,2026-04-02 03:00:00,16087,2026-04-02 03:15:00,1.3129,2026-04-03 17:00:00,1.3239,151,2.574,1.729,-0.838,win,True,0.985,SSL
86,XRPUSDT,BUY,16237,2026-04-03 16:45:00,16238,2026-04-03 17:00:00,1.3239,2026-04-05 06:15:00,1.2968,149,0.053,2.153,-2.047,lose,True,0.144,BSL
89,XRPUSDT,SELL,16556,2026-04-07 00:30:00,16557,2026-04-07 00:45:00,1.322,2026-04-07 22:45:00,1.3543,88,2.118,3.2,-2.443,win,True,0.167,SSL
91,XRPUSDT,SELL,16750,2026-04-09 01:00:00,16751,2026-04-09 01:15:00,1.332,2026-04-09 21:00:00,1.3561,79,0.833,2.11,-1.809,lose,True,0.917,SSL
93,XRPUSDT,SELL,17046,2026-04-12 03:00:00,17047,2026-04-12 03:15:00,1.3336,2026-04-13 21:15:00,1.3491,168,1.162,1.612,-1.162,lose,True,1.036,SSL
95,XRPUSDT,SELL,17653,2026-04-18 10:45:00,17654,2026-04-18 11:00:00,1.439,2026-04-21 05:30:00,1.4308,266,3.523,0.486,0.57,win,True,1.401,SSL
96,XRPUSDT,BUY,17919,2026-04-21 05:15:00,17920,2026-04-21 05:30:00,1.4308,2026-04-23 01:30:00,1.4207,176,2.195,1.433,-0.706,win,True,0.718,BSL
97,XRPUSDT,SELL,18095,2026-04-23 01:15:00,18096,2026-04-23 01:30:00,1.4207,2026-04-24 08:00:00,1.432,122,0.894,1.732,-0.795,lose,True,0.119,SSL
98,XRPUSDT,BUY,18217,2026-04-24 07:45:00,18218,2026-04-24 08:00:00,1.432,2026-04-25 18:00:00,1.4191,136,1.278,0.964,-0.901,lose,True,1.409,BSL
99,XRPUSDT,SELL,18353,2026-04-25 17:45:00,18354,2026-04-25 18:00:00,1.4191,2026-04-27 02:00:00,1.4442,128,0.148,1.874,-1.769,lose,True,0.006,SSL
100,XRPUSDT,BUY,18481,2026-04-27 01:45:00,18482,2026-04-27 02:00:00,1.4442,2026-04-27 08:00:00,1.4134,24,0.145,2.278,-2.133,lose,True,0.553,BSL
101,XRPUSDT,SELL,18505,2026-04-27 07:45:00,18506,2026-04-27 08:00:00,1.4134,2026-04-29 10:00:00,1.4031,200,3.297,0.361,0.729,win,True,1.245,SSL
104,XRPUSDT,BUY,18912,2026-05-01 13:30:00,18913,2026-05-01 13:45:00,1.3911,2026-05-07 02:30:00,1.411,531,4.723,0.784,1.431,win,True,0.521,BSL
105,XRPUSDT,SELL,19443,2026-05-07 02:15:00,19444,2026-05-07 02:30:00,1.411,2026-05-08 19:00:00,1.4186,162,2.417,0.914,-0.539,win,True,0.471,SSL
106,XRPUSDT,BUY,19605,2026-05-08 18:45:00,19606,2026-05-08 19:00:00,1.4186,2026-05-12 14:00:00,1.4337,364,6.288,0.592,1.064,win,True,0.564,BSL
107,XRPUSDT,SELL,19969,2026-05-12 13:45:00,19970,2026-05-12 14:00:00,1.4337,2026-05-13 07:45:00,1.4603,71,1.123,2.141,-1.855,lose,True,1.453,SSL
108,XRPUSDT,BUY,20040,2026-05-13 07:30:00,20041,2026-05-13 07:45:00,1.4603,2026-05-13 14:30:00,1.4289,27,0.589,2.746,-2.15,lose,True,0.651,BSL
109,XRPUSDT,SELL,20067,2026-05-13 14:15:00,20068,2026-05-13 14:30:00,1.4289,2026-05-14 15:00:00,1.4706,98,1.295,3.149,-2.918,lose,True,1.122,SSL
111,XRPUSDT,SELL,20257,2026-05-15 13:45:00,20258,2026-05-15 14:00:00,1.4315,2026-05-21 04:00:00,1.3837,536,5.938,1.341,3.339,win,True,1.302,SSL
112,XRPUSDT,BUY,20793,2026-05-21 03:45:00,20794,2026-05-21 04:00:00,1.3837,2026-05-21 15:00:00,1.3562,44,0.108,2.414,-1.987,lose,True,0.587,BSL
115,XRPUSDT,SELL,21153,2026-05-24 21:45:00,21154,2026-05-24 22:00:00,1.335,2026-05-28 17:45:00,1.3245,367,5.109,2.27,0.787,win,True,0.191,SSL
116,XRPUSDT,BUY,21520,2026-05-28 17:30:00,21521,2026-05-28 17:45:00,1.3245,2026-05-31 16:45:00,1.3263,284,3.088,2.341,0.136,win,True,0.856,BSL
121,XRPUSDT,SELL,23140,2026-06-14 14:30:00,23141,2026-06-14 14:45:00,1.128,2026-06-14 22:15:00,1.1702,30,0.062,4.184,-3.741,lose,True,0.005,SSL
122,XRPUSDT,BUY,23170,2026-06-14 22:00:00,23171,2026-06-14 22:15:00,1.1702,2026-06-16 15:15:00,1.2149,164,10.494,0.299,3.82,win,True,0.857,BSL
124,XRPUSDT,BUY,23709,2026-06-20 12:45:00,23710,2026-06-20 13:00:00,1.1454,2026-06-21 23:00:00,1.1312,136,0.838,2.279,-1.24,lose,True,0.758,BSL
129,XRPUSDT,SELL,24436,2026-06-28 02:30:00,24437,2026-06-28 02:45:00,1.0462,2026-06-29 20:15:00,1.0692,166,1.424,2.868,-2.198,lose,True,0.314,SSL
130,XRPUSDT,BUY,24602,2026-06-29 20:00:00,24603,2026-06-29 20:15:00,1.0692,2026-06-30 10:45:00,1.0419,58,0.037,2.684,-2.553,lose,True,0.514,BSL
132,XRPUSDT,BUY,24779,2026-07-01 16:15:00,24780,2026-07-01 16:30:00,1.0621,2026-07-05 04:15:00,1.1382,335,11.458,1.685,7.165,win,True,1.186,BSL
134,XRPUSDT,BUY,25192,2026-07-05 23:30:00,25193,2026-07-05 23:45:00,1.1576,2026-07-06 13:45:00,1.1159,56,0.294,4.216,-3.602,lose,True,0.523,BSL
135,XRPUSDT,SELL,25248,2026-07-06 13:30:00,25249,2026-07-06 13:45:00,1.1159,2026-07-10 02:45:00,1.106,340,4.31,4.355,0.887,win,True,0.218,SSL
137,XRPUSDT,SELL,25771,2026-07-12 00:15:00,25772,2026-07-12 00:30:00,1.0921,2026-07-14 13:30:00,1.1035,244,3.617,1.135,-1.044,win,True,0.838,SSL
138,XRPUSDT,BUY,26015,2026-07-14 13:15:00,26016,2026-07-14 13:30:00,1.1035,2026-07-16 18:45:00,1.0893,213,2.374,1.459,-1.287,win,True,0.567,BSL
140,XRPUSDT,BUY,26469,2026-07-19 06:45:00,26470,2026-07-19 07:00:00,1.0956,2026-07-23 13:00:00,1.1213,408,6.252,1.214,2.346,win,True,1.292,BSL
142,XRPUSDT,BUY,27085,2026-07-25 16:45:00,27086,2026-07-25 17:00:00,1.1022,2026-07-27 17:15:00,1.0934,193,1.279,1.597,-0.798,lose,True,0.804,BSL
145,XRPUSDT,SELL,27643,2026-07-31 12:15:00,27644,2026-07-31 12:30:00,1.0711,2026-08-02 03:00:00,1.0756,154,2.306,0.439,-0.42,win,True,0.689,SSL
146,XRPUSDT,BUY,27797,2026-08-02 02:45:00,27798,2026-08-02 03:00:00,1.0756,2026-08-03 08:15:00,1.0672,117,1.608,0.958,-0.781,lose,True,1.175,BSL
147,XRPUSDT,SELL,27914,2026-08-03 08:00:00,27915,2026-08-03 08:15:00,1.0672,2026-08-03 17:45:00,1.082,38,0.478,1.837,-1.387,lose,True,0.326,SSL
