symbol,total_signals,taken,skipped,orig_wins,orig_loses,orig_winrate,taken_wins,taken_loses,taken_winrate,skipped_wins,skipped_loses,skipped_winrate,winrate_gain,orig_avg_net_pnl,taken_avg_net_pnl,orig_total_pnl,taken_total_pnl
ADAUSDT,143,105,38,91,52,63.64,75,30,71.43,16,22,42.11,7.79,0.069,0.998,9.86,104.8
AVAXUSDT,166,114,52,99,67,59.64,82,32,71.93,17,35,32.69,12.29,-0.166,0.228,-27.58,25.96
BNBUSDT,162,82,80,81,81,50.0,56,26,68.29,25,55,31.25,18.29,-0.151,0.992,-24.42,81.32
BTCUSDT,150,83,67,78,72,52.0,54,29,65.06,24,43,35.82,13.06,0.097,0.529,14.53,43.93
DOGEUSDT,153,96,57,92,61,60.13,67,29,69.79,25,32,43.86,9.66,-0.035,0.056,-5.29,5.4
ETHUSDT,146,88,58,87,59,59.59,66,22,75.0,21,37,36.21,15.41,0.221,0.774,32.21,68.08
LINKUSDT,163,99,64,89,74,54.6,71,28,71.72,18,46,28.12,17.12,-0.604,0.169,-98.46,16.76
NEARUSDT,140,109,31,97,43,69.29,83,26,76.15,14,17,45.16,6.86,0.51,0.766,71.34,83.49
SOLUSDT,154,88,66,91,63,59.09,60,28,68.18,31,35,46.97,9.09,-0.243,-0.258,-37.44,-22.67
XRPUSDT,154,86,68,83,71,53.9,54,32,62.79,29,39,42.65,8.89,-0.039,0.844,-6.06,72.61
